journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-17,MVST: A Multi-View Spatial-Temporal Model for Fine-Grained Crime Prediction,Chang Ping Wei; Wengen Li; Yichao Zhang; Jihong Guan; Shuigeng Zhou,16,2,10.1145/3712607,https://doi.org/10.1145/3712607,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406533580
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-20,Amalgamating Knowledge for Object Detection in Rainy Weather Conditions,Trung-Hieu Le; Shih-Chia Huang; Quoc-Viet Hoang; Zdeněk Lokaj; Zhihui Lu,16,2,10.1145/3712703,https://doi.org/10.1145/3712703,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406615007
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-20,Integrated Image-Text Augmentation for Few-Shot Learning in Vision-Language Models,Ran Wang; Hua Zuo; Zhen Fang; Jie Lü,16,2,10.1145/3712700,https://doi.org/10.1145/3712700,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406613241
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-20,MGRL4RE: A Multi-Graph Representation Learning Approach for Urban Region Embedding,Meng Chen; Zechen Li; Hongwei Jia; Xin Yu Shao; Jun Zhao; Qiang Gao; Min Yang; Yilong Yin,16,2,10.1145/3712698,https://doi.org/10.1145/3712698,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406613689
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-20,Reasoning Abilities of Large Language Models: In-Depth Analysis on the Abstraction and Reasoning Corpus,Seungpil Lee; Woochang Sim; Donghyeon Shin; Wongyu Seo; Jiwon Park; S. C. Lee; Sanha Hwang; Sejin Kim; Sundong Kim,16,6,10.1145/3712701,https://doi.org/10.1145/3712701,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406614997
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-20,Towards Predicting Urban Land Use Changes: A Dynamic Graph Alignment Perspective,Fan Yu; Xinjiang Lu; Hao Liu; Pengfei Wang; Liang Liu; Huadóng Ma; Jingbo Zhou,16,2,10.1145/3712702,https://doi.org/10.1145/3712702,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406614269
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-21,QATCH: Automatic Evaluation of SQL-Centric Tasks on Proprietary Data,Simone Papicchio; Paolo Papotti; Luca Cagliero,16,2,10.1145/3712704,https://doi.org/10.1145/3712704,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406685683
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-21,SAug: Structural Imbalance Aware Augmentation for Graph Neural Networks,Kejia Chen; W. Mu; Zulong Liu; Zheng Liu,16,2,10.1145/3712699,https://doi.org/10.1145/3712699,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406686078
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-22,Enriching Responses with Crowd-Sourced Knowledge for Task-Oriented Conversational Agents,Ze-Xiu WEI; Lizi Liao; Xinguang Xiang; Xiaoyu Du,16,2,10.1145/3714474,https://doi.org/10.1145/3714474,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406697062
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-23,A GPT-assisted Multi-Granularity Contrastive Learning Approach for Knowledge Graph Entity Typing,Hongbin Zhang; Tao Wang; Zhuowei Wang; Nankai Lin; Chong Chen; Lianglun Cheng,17,6,10.1145/3714429,https://doi.org/10.1145/3714429,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406760780
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-23,Hire : Hybrid-Modal Interaction with Multiple Relational Enhancements for Image-Text Matching,Xuri Ge; Fuhai Chen; Songpei Xu; Fuxiang Tao; Jie Wang; Joemon M. Jose,16,3,10.1145/3714431,https://doi.org/10.1145/3714431,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406761700
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-24,Cost-aware Best Arm Identification in Stochastic Bandits,Zhida Qin; Wenhao Xue; Lu Zheng; Xiaoying Gan; Hongqiu Wu; Haiming Jin; Luoyi Fu,16,2,10.1145/3712290,https://doi.org/10.1145/3712290,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406801206
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-01-27,"Causal Inference for Recommendation: Foundations, Methods, and Applications",Shuyuan Xu; Jianchao Ji; Yunqi Li; Yingqiang Ge; Juntao Tan; Yongfeng Zhang,16,3,10.1145/3714430,https://doi.org/10.1145/3714430,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4406847088
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-11,ATE-FS: An Average Treatment Effect-based Feature Selection Technique for Software Fault Prediction,Akshat Mangal; Santosh Singh Rathore,,,10.1145/3716857,https://doi.org/10.1145/3716857,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407370258
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-11,Do Large Language Models Have Spatial Cognitive Abilities?,Ruoling Wu; Danhuai Guo,17,4,10.1145/3716855,https://doi.org/10.1145/3716855,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407370288
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-11,Improving the Summarization Effectiveness of Abstractive Datasets through Contrastive Learning,Junho Shin; Younghoon Lee,16,3,10.1145/3716851,https://doi.org/10.1145/3716851,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407370240
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-11,LLM-enhanced Multiple Instance Learning for Joint Rumor and Stance Detection with Social Context Information,Ruichao Yang; Jing Ma; Wei Guang Gao; Hongzhan Lin,,,10.1145/3716856,https://doi.org/10.1145/3716856,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407369317
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-12,JASRNet: Learning Joint Adaptive Sampling and Reconstruction for Depth Sensing,Chunyang Bi; Ming Yang Teng; Tianhao Xie; Kun Li; Jingyu Yang,16,2,10.1145/3716852,https://doi.org/10.1145/3716852,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407405824
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-13,Considering Time and Feature Entropy in Calibrated Recommendations,Diego Corrêa da Silva; Dietmar Jannach; Frederico Araújo Dur�ão,16,3,10.1145/3716858,https://doi.org/10.1145/3716858,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407450016
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-13,The Evaluation Framework and Benchmark for Large Language Models in the Government Affairs Domain,Shuangtong Liu; Lin Zhang; Weidong Liu; Jianfeng Zhang; Donghui Gao; Xiaofeng Jia,16,6,10.1145/3716854,https://doi.org/10.1145/3716854,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407450298
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-17,Comparative Evaluation of GPT Models in FHIR Proficiency,Tia Pope; Ahmad Patooghy,17,4,10.1145/3718095,https://doi.org/10.1145/3718095,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407626609
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-18,Cosine Additive Angular Margin Loss for Breast Cancer Classification in Histopathological Images with Small AI Systems,Pendar Alirezazadeh; Fadi Dornaika; Abdelmalik Moujahid,,,10.1145/3718093,https://doi.org/10.1145/3718093,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407682179
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-18,Efficiency and Performance Optimization in Large Language Models through IB Fine-Tuning,Ashly Ann Jo; Ebin Deni Raj; Jayakrushna Sahoo,16,3,10.1145/3718096,https://doi.org/10.1145/3718096,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407682194
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,2025,2025-02-18,Generative AI in Fashion: Overview,Wei-Pei Shi; Wai Keung Wong; Xingxing Zou,,,10.1145/3718098,https://doi.org/10.1145/3718098,article,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/W4407682177
