journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-01-09,SEPPDL: A Secure and Efficient Privacy-Preserving Deep Learning Inference Framework for Autonomous Driving,Wang Bobo; Hongwei Yang; Meng Hao; Jiannan Zhang; Hui Xin He; Weizhe Zhang,20,1,10.1145/3708505,https://doi.org/10.1145/3708505,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4406217446
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-01-09,StatuScale: Status-aware and Elastic Scaling Strategy for Microservice Applications,Linfeng Wen; Minxian Xu; Sukhpal Singh Gill; Muhammad Hafizhuddin Hilman; Satish Narayana Srirama; Kejiang Ye; Chengzhong Xu,20,1,10.1145/3686253,https://doi.org/10.1145/3686253,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4406216305
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-01-27,An Extended Study of the Performance of Flexible Controllers Composed of Micro-controllers,Bento R. Siqueira; Fabiano Cutigi Ferrari; Rogério de Lemos,20,2,10.1145/3715145,https://doi.org/10.1145/3715145,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4406865872
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-01-29,VoI-based Situation-Aware Routing Protocol for Non-linear Underwater Communication Networks,Kiran Saleem; Lei Wang; R. Badlishah Ahmed; Thippa Reddy Gadekallu; Ahmad S. Almadhor; Yang Li,,,10.1145/3715701,https://doi.org/10.1145/3715701,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4406956362
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-01-29,Web 3.0-Enabled Microservice Re-Scheduling for Heterogenous Resources Co-Optimization in Metaverse-Integrated Edge Networks,Yihong Yang; Zhangbing Zhou; Lei Shu; Feng Zhou; Walid Gaaloul; Arif Ali Khan,20,3,10.1145/3715700,https://doi.org/10.1145/3715700,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4406956356
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-03,DSADA: Detecting Spoofing Attacks in Driver Assistance Systems Using Objects’ Spatial Shapes,Mahdieh Safarzadehvahed; Mohammad Zulkernine,,,10.1145/3716139,https://doi.org/10.1145/3716139,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407102832
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-03,Satellite Edge Computing for Mobile Multimedia Communications: A Multi-agent Federated Reinforcement Learning Approach,Weiwei Jiang; Yafeng Zhan; Xin Fang,20,4,10.1145/3715146,https://doi.org/10.1145/3715146,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407102704
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-04,Calibration-Free Feedforward Temperature Compensation for Wireless Clock Synchronisation,Federico Terraneo; Zaigham Khalid; William Fornaciari; Alberto Leva,20,1,10.1145/3716138,https://doi.org/10.1145/3716138,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407131761
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-04,LyDRL: Lyapunov-guided Deep Reinforcement Learning for Stable Task Offloading in Connected Autonomous Vehicles,Yanming Chen; Ziyang Huang; Yiwen Zhang; Weiwei W. Fang; Naixue N. Xiong,20,3,10.1145/3715333,https://doi.org/10.1145/3715333,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407134728
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-13,Deceiving LLM through Compositional Instruction with Hidden Attacks,Shuyu Jiang; Xingshu Chen; Rui Tang,,,10.1145/3717067,https://doi.org/10.1145/3717067,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407506574
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-17,FedGPL: Gradient Priority-based Federated Learning Enhancement for In-Vehicle Language Models,Haomiao Yang; Dongyun Xue; Tianyi Wang; Jin Kwak; Hyunsung Kim,,,10.1145/3717835,https://doi.org/10.1145/3717835,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407639953
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-21,EPAuto: Efficient Privacy-Preserving Machine Learning on AI-powered Autonomous Driving Systems using Multi-Party Computation,Chenkai Zeng; Debiao He; Qi Feng; Xiaolin Yang; Qingcai Luo,,,10.1145/3718743,https://doi.org/10.1145/3718743,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407843599
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-02-26,Many-objective Self-adaptation under Model Uncertainty,Matteo Camilli; Raffaela Mirandola; Patrizia Scandurra,20,2,10.1145/3719349,https://doi.org/10.1145/3719349,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4407960330
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-03-20,GSFL: A Privacy-Preserving Grouping-Split Federated Learning Approach in Resource-Constrained Edge Computing Scenarios,Qi Fang Liu; Zhilu Wang; Xiaokang Zhou; Yonghong Zhang; Xiaodong Liu; He Lin,20,4,10.1145/3725221,https://doi.org/10.1145/3725221,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4408655791
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-03-21,Efficient Training Approaches for Performance Anomaly Detection Models in Edge Computing Environments,Duneesha Fernando; Maria A. Rodriguez; Patricia Arroba; Leila Cheikh Ismail; Rajkumar Buyya,20,2,10.1145/3725736,https://doi.org/10.1145/3725736,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4408717636
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-03-28,Introduction to the SEAMS 2023 Special Issue,Raffaela Mirandola; Radu Călinescu; Pooyan Jamshidi,20,2,10.1145/3725987,https://doi.org/10.1145/3725987,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4408926774
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,2025,2025-04-01,Vehicle Dynamics and Interaction for Trajectory Prediction and Traffic Control,Jian Chen; Shaorui Zhou; Wei Wang; Yuzhu Hu; Jianqing Li; Ben‐Guo He; Junxin Chen; Marwan Omar; Ali Kashif Bashir; Xiping Hu,20,2,10.1145/3727342,https://doi.org/10.1145/3727342,article,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/W4409078886
