journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-01-23,Combining Multi-Objective Bayesian Optimization with Reinforcement Learning for TinyML,Mark Deutel; Georgios D. Kontes; Christopher Mutschler; Jürgen Teich,5,3,10.1145/3715012,https://doi.org/10.1145/3715012,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4406762543
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-02-07,Multi-Objectivising Acquisition Functions in Bayesian Optimisation,Chao Jiang; Miqing Li,5,2,10.1145/3716504,https://doi.org/10.1145/3716504,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4407252927
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-02-11,Explainable Benchmarking for Iterative Optimization Heuristics,Bas van Stein; Diederick Vermetten; Anna V. Kononova; Thomas Bäck,5,2,10.1145/3716638,https://doi.org/10.1145/3716638,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4407373036
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-02-12,Dynamic Task Allocation in Intelligent Warehouses with Hybrid Workforce of Automated Guided Vehicles and Human Pickers,Arash Dehghan; Mücahit Çevik; Merve Bodur,5,4,10.1145/3716862,https://doi.org/10.1145/3716862,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4407410817
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-02-15,A Class Inference Scheme with Dempster–Shafer Theory for Learning Fuzzy-Classifier Systems,Hiroki Shiraishi; Hisao Ishibuchi; Masaya Nakata,6,1,10.1145/3717613,https://doi.org/10.1145/3717613,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4407602321
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-02-26,Fully Autonomous Programming Using Iterative Multi-Agent Debugging with Large Language Models,Anastasiia Grishina; Vadim Liventsev; Aki Härmä; Leon Moonen,5,1,10.1145/3719351,https://doi.org/10.1145/3719351,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4407961382
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-03-04,Enhancing Batch Diversity in Surrogate Optimization: A Determinantal Point Processes Approach,Nazanin Nezami; Hadis Anahideh,5,3,10.1145/3721296,https://doi.org/10.1145/3721296,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4408147994
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-03-04,Introduction to the “Best of GECCO 2023” Special Issue,Luís Paquete; Sara Silva,5,1,10.1145/3721461,https://doi.org/10.1145/3721461,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4408147705
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-03-13,Density-Assisted Evolutionary Dynamic Multimodal Optimization,Ying Zhu; Peilan Xu; Jiahao Huang; Xin Bo Lin; Wenjian Luo,6,1,10.1145/3723171,https://doi.org/10.1145/3723171,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4408404548
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,2025,2025-03-26,A Performance Analysis of Lexicase-Based and Traditional Selection Methods in GP for Symbolic Regression,Alina Geiger; Dominik Sobania; Franz Rothlauf,6,1,10.1145/3725860,https://doi.org/10.1145/3725860,article,ACM Transactions on Evolutionary Learning and Optimization,https://openalex.org/W4408847055
