journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-01-08,Applications of Certainty Scoring for Machine Learning Classification and Out-of-Distribution Detection,Alexander Berenbeim; Adam D. Cobb; Anirban Roy; Susmit Jha; Nathaniel D. Bastian,1,4,10.1145/3711713,https://doi.org/10.1145/3711713,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4406174899
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-02-15,Turing.jl: A General-Purpose Probabilistic Programming Language,Tor Erlend Fjelde; Kai Xu; David Widmann; Mohamed Tarek; Cameron Pfiffer; Martin A. Trapp; Seth D. Axen; X. Sun; Markus Hauru; Penelope Yong; Will Tebbutt; Zoubin Ghahramani; Hong Ge,1,3,10.1145/3711897,https://doi.org/10.1145/3711897,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4407590417
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-11,Moment-based Density Elicitation with Applications in Probabilistic Loops,Andrey Kofnov; Ezio Bartocci; Efstathia Bura,1,3,10.1145/3728648,https://doi.org/10.1145/3728648,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409362378
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-11,Multi-Length Skills with Priors for Reinforcement Learning,Carlos Ivan Jerez; Jun Zhang,1,2,10.1145/3728647,https://doi.org/10.1145/3728647,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409362396
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-11,Uncertainty-guided Active Learning with Theoretical Bounds on Label Complexity,Deepesh Agarwal; Balasubramaniam Natarajan,1,2,10.1145/3728716,https://doi.org/10.1145/3728716,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409362415
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-18,Performance Evaluation for Detecting and Alleviating Biases in Predictive Machine Learning Models,Utsab B. Khakurel; Ghada Abdelmoumin; Danda B. Rawat,1,2,10.1145/3729432,https://doi.org/10.1145/3729432,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409572902
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-22,Annotated Automatic Pruning of Universal Probabilistic Programming Languages,Gizem Çaylak; Emma Granqvist; Thimothée Virgoulay; Fredrik Ronquist; David Broman,1,3,10.1145/3731457,https://doi.org/10.1145/3731457,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409667666
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-04-28,Semantics of Probabilistic Programs Using s-Finite Kernels in Dependent Type Theory,Reynald Affeldt; Cyril Cohen; Ayumu Saito,1,3,10.1145/3732291,https://doi.org/10.1145/3732291,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4409887521
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-05-12,Gaussian Graphical Model Selection Using Graph Compression,Mojtaba Abolfazli; Anders Høst-Madsen; June Zhang; András Bratincsák,1,2,10.1145/3733109,https://doi.org/10.1145/3733109,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4410305596
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-06-03,Schedule Agnostic Semantics for Reactive Probabilistic Programming,Guillaume Baudart; Louis Mandel; Christine Tasson,1,3,10.1145/3737889,https://doi.org/10.1145/3737889,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4410996193
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-06-03,Towards Explaining Deep Neural Network Compression through a Probabilistic Latent Space,Mahsa Mozafari-Nia; Salimeh Yasaei Sekeh,2,1,10.1145/3737888,https://doi.org/10.1145/3737888,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4392425969
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-09-30,"Guaranteed Inference for Probabilistic Programs: A Parallelisable, Small-Step Operational Approach",Michele Boreale; Luisa Collodi,2,1,10.1145/3769870,https://doi.org/10.1145/3769870,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4414654485
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-11-13,G enesys : A Novel Evolutionary Program Synthesis Tool with Continuous Optimization,Shantanu Mandal; Todd A. Anderson; Javier S. Turek; Justin Gottschlich; Abdullah Muzahid,2,1,10.1145/3776736,https://doi.org/10.1145/3776736,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4416187200
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2025,2025-11-27,SAFES: Sequential Privacy and Fairness Enhancing Data Synthesis for Responsible AI,Spencer Giddens; Xiaoan Lang; Fang Liu,2,1,10.1145/3777907,https://doi.org/10.1145/3777907,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4416767165
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-02-09,Functional Diversity in Deep Ensembles via Wasserstein Representation Alignment,Haowei Huang; Junyu Xuan,2,2,10.1145/3795796,https://doi.org/10.1145/3795796,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7128430973
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-02-28,Bayesian Inference Reuse in Multilevel Models,David Tolpin,2,2,10.1145/3799415,https://doi.org/10.1145/3799415,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7132837905
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-03-17,Physical Simulator-Based Neural Networks for Real-Time Fouling Tomography,Burla Nur Korkmaz; Shayan Gharib; Haoyu Wei; Julius Korsimaa; Petteri Salminen; Martin Weber; Denys Iablonskyi; Ari Salmi; Arto Klami,2,3,10.1145/3801966,https://doi.org/10.1145/3801966,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7137875835
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-03-25,Interactive Distance-Dependent IBP Compound Dirichlet Process,Fatma Najar; Nizar Bouguila,2,3,10.1145/3802576,https://doi.org/10.1145/3802576,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7140293466
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-04-01,A Langevin sampling algorithm inspired by the Adam optimizer,Benedict Leimkuhler; René Lohmann; Peter A. Whalley,,,10.1145/3806203,https://doi.org/10.1145/3806203,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7147452459
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-04-25,Erratum: Annotated Automatic Pruning of Universal Probabilistic Programming Languages,Gizem Çaylak; Emma Granqvist; Thimothée Virgoulay; Fredrik Ronquist; David Broman,2,2,10.1145/3770863,https://doi.org/10.1145/3770863,erratum,ACM transactions on probabilistic machine learning.,https://openalex.org/W7155624187
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-05-22,A Graph Sufficiency Perspective for Neural Networks,Cencheng Shen; Yuexiao Dong,2,3,10.1145/3816434,https://doi.org/10.1145/3816434,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W7162133215
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-05-23,Improved Bi-point Rounding Algorithms and a Golden Barrier for \(k\) -Median,Kishen N. Gowda; Thomas Pensyl; Aravind Srinivasan; Khoa Trinh,,,10.1145/3817044,https://doi.org/10.1145/3817044,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4307323335
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,2026,2026-08-06,Complexity-Aware Training of Deep Neural Networks for Optimal Structure Discovery,Valentin Frank Ingmar Guenter; Athanasios Sideris,,,10.1145/3838716,https://doi.org/10.1145/3838716,article,ACM transactions on probabilistic machine learning.,https://openalex.org/W4404450420
