journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-15,C 3 -GAN+: Complex-Condition-Controlled Generative Adversarial Networks with Enhanced Embedding,Yingxue Zhang; Yanhua Li; Xun S. Zhou; Zhenming Liu; Jun Luo,19,2,10.1145/3712264,https://doi.org/10.1145/3712264,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406423271
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-15,Introduction for the Special Issue on Trustworthy Artificial Intelligence,Wenqi Fan; Shu Guo Zhao; Jiliang Tang,19,2,10.1145/3712184,https://doi.org/10.1145/3712184,editorial,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406423273
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-16,Efficient Distributed Sparse Relative Similarity Learning,Dezhong Yao; Sanmu Li; Zhiwei Wang; Peilin Zhao; Gang Wu; Yu Chen; Hai Jin,19,3,10.1145/3712603,https://doi.org/10.1145/3712603,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406428816
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-17,Dual-View Learning from Crowds,Huan Zhang; Liangxiao Jiang; Wenjun Zhang; Geoffrey I. Webb,19,3,10.1145/3712605,https://doi.org/10.1145/3712605,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406530548
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-17,Pattern-oriented Attention Mechanism for Multivariate Time Series Forecasting,Hanwen Hu; Zhengjie Han; Shiyou Qian; Dingyu Yang; Jian Cao; Guangtao Xue,19,2,10.1145/3712606,https://doi.org/10.1145/3712606,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406530572
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-21,Multi-modal Twitter Data Analysis for Identifying Offensive Posts Using a Deep Cross-Attention–based Transformer Framework,Jayanta Paul; Siddhartha Mallick; Atindra K. Mitra; Anuska Roy; Jaya Sil,19,3,10.1145/3713077,https://doi.org/10.1145/3713077,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406686519
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-21,Nonlinear Correct and Smooth for Graph-Based Semi-Supervised Learning,Yuanhang Shao; Xiuwen Liu,19,3,10.1145/3712604,https://doi.org/10.1145/3712604,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406686634
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-22,Stochastic Block Models for Complex Network Analysis: A Survey,Xueyan Liu; Wenzhuo Song; Katarzyna Musiał; Yang Li; Xuehua Zhao; Bo Xiong Yang,19,3,10.1145/3713076,https://doi.org/10.1145/3713076,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406708380
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-23,Stacking Factorizing Partitioned Expressions in Hybrid Bayesian Network Models,Peng Lin; Martin Neil; Norman Fenton,19,3,10.1145/3714473,https://doi.org/10.1145/3714473,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406761237
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-24,An Interpretable Deep Learning-based Model for Decision-making through Piecewise Linear Approximation,Mengzhuo Guo; Qingpeng Zhang; Daniel Dajun Zeng,19,3,10.1145/3715150,https://doi.org/10.1145/3715150,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406798094
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-24,Disentangled Multi-Graph Convolution for Cross-Domain Recommendation,Yibo Gao; Zhen Liu; Xinxin Yang; Sibo Lu; Yafan Yuan,19,3,10.1145/3715151,https://doi.org/10.1145/3715151,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406798303
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-24,Evaluation-free Time-series Forecasting Model Selection via Meta-learning,Mustafa Abdallah; Ryan A. Rossi; Kanak Mahadik; Sungchul Kim; Handong Zhao; Saurabh Bagchi,19,3,10.1145/3715149,https://doi.org/10.1145/3715149,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406798103
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-29,Fuzzy Weighted Principal Component Analysis for Anomaly Detection,Sisi Wang; Feiping Nie; Zheng Wang; Rong Wang; Xuelong Li,19,3,10.1145/3715148,https://doi.org/10.1145/3715148,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406956957
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-29,GFairHint: Improving Individual Fairness for Graph Neural Networks via Fairness Hint,Paiheng Xu; Yuhang Zhou; Bang An; Wei Ai; Fang Huang,19,3,10.1145/3714472,https://doi.org/10.1145/3714472,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406956692
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-29,Time Series Classification with Elasticity Using Augmented Path Signatures,Chenyang Wang; Ling Luo; Uwe Aickelin,19,3,10.1145/3715702,https://doi.org/10.1145/3715702,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4406956946
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-31,Automating Research Synthesis with Domain-Specific Large Language Model Fine-Tuning,Teo Sušnjak; P. Hwang; Napoleon H. Reyes; Andre L. C. Barczak; Timothy R. McIntosh; Surangika Ranathunga,19,3,10.1145/3715964,https://doi.org/10.1145/3715964,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4407028609
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,2025,2025-01-31,Online Stable Streaming Feature Selection via Feature Aggregation,Peng Zhou; Qi Wang; Yunyun Zhang; Zhaolong Ling; Shu Guo Zhao; Xindong Wu,19,3,10.1145/3715918,https://doi.org/10.1145/3715918,article,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/W4407028966
