journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-03,A Contrastive Pretrain Model with Prompt Tuning for Multi-center Medication Recommendation,Qidong Liu; Zhaopeng Qiu; Xiangyu Zhao; Xian Wei Wu; Zijian Zhang; Tong Xu; Feng Tian,43,3,10.1145/3706631,https://doi.org/10.1145/3706631,article,ACM Transactions on Information Systems,https://openalex.org/W4406024872
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-09,C2lRec: Causal Contrastive Learning for User Cold-start Recommendation with Social Variables,Xiaolong Xu; Hongsheng Dong; Haolong Xiang; Xiyuan Hu; Xiaoyong Li; Xiaoyu Xia; Xuyun Zhang; Lianyong Qi; Wanchun Dou,43,6,10.1145/3711858,https://doi.org/10.1145/3711858,article,ACM Transactions on Information Systems,https://openalex.org/W4406213719
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-10,Domain Counterfactual Data Augmentation for Explainable Recommendation,Yi Yu; Kazunari Sugiyama; Adam Jatowt,43,3,10.1145/3711856,https://doi.org/10.1145/3711856,article,ACM Transactions on Information Systems,https://openalex.org/W4406243060
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-10,Efficient and Effective Role Player: A Compact Knowledge-grounded Persona-based Dialogue Model Enhanced by LLM Distillation,Linmei Hu; Xinyu Zhang; Dandan Song; Changzhi Zhou; Hongyu He; Liqiang Nie,43,3,10.1145/3711857,https://doi.org/10.1145/3711857,article,ACM Transactions on Information Systems,https://openalex.org/W4406243029
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-13,Pre-Trained Models for Search and Recommendation: Introduction to the Special Issue—Part 1,Wenjie Wang; Zheng Liu; Fuli Feng; Zhicheng Dou; Qingyao Ai; Grace Hui Yang; Defu Lian; Lu Hou; Aixin Sun; Hamed Zamani; Donald Metzler; Maarten de Rijke,43,2,10.1145/3709134,https://doi.org/10.1145/3709134,editorial,ACM Transactions on Information Systems,https://openalex.org/W4406334257
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-16,Structure-Aware Conversational Legal Case Retrieval,Bulou Liu; Yiran Hu; Qingyao Ai; Yueyue Wu; Yiqun Liu; Chenliang Li; Fan Zhang; Weixing Shen; Chong Chen; Qi Chuan Tian,43,3,10.1145/3711854,https://doi.org/10.1145/3711854,article,ACM Transactions on Information Systems,https://openalex.org/W4406469500
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-17,A Thorough Performance Benchmarking on Lightweight Embedding-based Recommender Systems,Hung Vinh Tran; Tong Chen; Quoc Viet Hung Nguyen; Zi Helen Huang; Lizhen Cui; Hongzhi Yin,43,3,10.1145/3712589,https://doi.org/10.1145/3712589,article,ACM Transactions on Information Systems,https://openalex.org/W4406495324
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-17,Augmentation with Neighboring Information for Conversational Recommendation,Yuanxing Liu; Jiahuan Pei; Weinan Zhang; Ming Li; Wanxiang Che; Maarten de Rijke,43,3,10.1145/3712588,https://doi.org/10.1145/3712588,article,ACM Transactions on Information Systems,https://openalex.org/W4406495284
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-21,"CAFE+: Towards Compact, Adaptive, and Fast Embedding for Large-scale Online Recommendation Models",Zirui Liu; Hailin Zhang; Boxuan Chen; Zihan Jiang; Yikai Zhao; Yangyu Tao; Tong Yang; Bin Cui,43,3,10.1145/3713072,https://doi.org/10.1145/3713072,article,ACM Transactions on Information Systems,https://openalex.org/W4406679564
ACM Transactions on Information Systems (TOIS),ACM,2025,2025-01-21,KG4RecEval : Does Knowledge Graph Really Matter for Recommender Systems?,Haonan Zhang; Dongxia Wang; Zhu Sun; Yanhui Li; Youcheng Sun; Huizhi Liang; Wenhai Wang,43,3,10.1145/3713071,https://doi.org/10.1145/3713071,article,ACM Transactions on Information Systems,https://openalex.org/W4406679435
