journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Computing Surveys (CSUR),ACM,2025,2025-01-01,A Comprehensive Survey on Legal Summarization: Challenges and Future Directions,Mousumi Akter; Erion Çano; Erik Weber; Dennis Dobler; Ivan Habernal,,,10.18154/rwth-2026-01005,https://doi.org/10.18154/rwth-2026-01005,preprint,ACM Computing Surveys,https://openalex.org/W4406975846
ACM Computing Surveys (CSUR),ACM,2025,2025-01-03,A Survey of Heuristics for Profile and Wavefront Reductions,Sanderson L. Gonzaga de Oliveira,57,5,10.1145/3711120,https://doi.org/10.1145/3711120,article,ACM Computing Surveys,https://openalex.org/W4406037903
ACM Computing Surveys (CSUR),ACM,2025,2025-01-04,A Survey on Online Aggression: Content Detection and Behavioral Analysis on Social Media,Swapnil Mane; Suman Kundu; Rajesh R. Sharma,57,7,10.1145/3711125,https://doi.org/10.1145/3711125,article,ACM Computing Surveys,https://openalex.org/W4406053368
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,An In-Depth Analysis of Password Managers and Two-Factor Authentication Tools,Mohammed Jubur; Prakash Sunder Shrestha; Nitesh Saxena,57,5,10.1145/3711117,https://doi.org/10.1145/3711117,article,ACM Computing Surveys,https://openalex.org/W4406085150
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,Can Graph Neural Networks be Adequately Explained? A Survey,Xuyan Li; Jie Wang; Zheng Yan,57,5,10.1145/3711122,https://doi.org/10.1145/3711122,article,ACM Computing Surveys,https://openalex.org/W4406085173
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,Characterization of Android Malwares and their families,Tejpal Sharma; Dhavleesh Rattan,57,5,10.1145/3708500,https://doi.org/10.1145/3708500,article,ACM Computing Surveys,https://openalex.org/W4406085105
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,Data-centric Artificial Intelligence: A Survey,Daochen Zha; Zaid Pervaiz Bhat; Kwei-Herng Lai; Fan Yang; Zhimeng Jiang; Shaochen Zhong; Xia Hu,57,5,10.1145/3711118,https://doi.org/10.1145/3711118,article,ACM Computing Surveys,https://openalex.org/W4406085118
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,"Deep Learning on Network Traffic Prediction: Recent Advances, Analysis, and Future Directions",Ons Aouedi; Van An Le; Kandaraj Piamrat; Yusheng Ji,57,6,10.1145/3703447,https://doi.org/10.1145/3703447,article,ACM Computing Surveys,https://openalex.org/W4404872680
ACM Computing Surveys (CSUR),ACM,2025,2025-01-06,Regulating Information and Network Security: Review and Challenges,Tayssir Bouraffa; Kai-Lung Hui,57,5,10.1145/3711124,https://doi.org/10.1145/3711124,article,ACM Computing Surveys,https://openalex.org/W4406085225
ACM Computing Surveys (CSUR),ACM,2025,2025-01-09,Trustworthy AI-based Performance Diagnosis Systems for Cloud Applications: A Review,Ruyue Xin; Jingye Wang; Peng Chen; Zhiming Zhao,57,5,10.1145/3701740,https://doi.org/10.1145/3701740,article,ACM Computing Surveys,https://openalex.org/W4406213410
