journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-01-01,RockNet: Distributed Learning on Ultra-Low-Power Devices,Alexander Gräfe; Fabian Mager; Marco Zimmerling; Sebastian Trimpe,,,10.18154/rwth-2026-00578,https://doi.org/10.18154/rwth-2026-00578,preprint,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4415275667
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-01-16,Differentially Private Real-Time Pricing Control for Smart Grids,Soumyadyuti Ghosh; Suman Maiti; Debdeep Mukhopadhyay; Soumyajit Dey,9,2,10.1145/3712304,https://doi.org/10.1145/3712304,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4406465938
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-01-20,Introduction to the Special Issue on Fault-Resilient Cyber-Physical Systems—Part 2,Kuan-Hsun Chen; Jing Li; Federico Reghenzani; Jian-Jia Chen,9,1,10.1145/3712019,https://doi.org/10.1145/3712019,editorial,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4406617858
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-01-22,Real-time Adversarial Image Perturbations for Autonomous Vehicles Using Reinforcement Learning,H. G. Yoon; Richard E. Holmes; Hamidreza Jafarnejadsani; Petros G. Voulgaris,9,2,10.1145/3712303,https://doi.org/10.1145/3712303,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4406708664
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-01-31,Semantic Diverse DMR and TMR for High-Integrity AI-Based Function Efficiency,Martí Caro; Axel Brando; Jaume Abella,9,2,10.1145/3716140,https://doi.org/10.1145/3716140,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4407029185
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-02-25,Cyber Physical Games: Rational Multi-Agent Decision-Making in Temporally Non-Deterministic Environments,Warisa Sritriratanarak; Paulo Garcia,9,2,10.1145/3719659,https://doi.org/10.1145/3719659,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4407911868
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-02-25,Game Theoretical Decision-Making of Dynamic Defense in Cyber-Physical Power Systems under Cyber-Attacks,Pengchao Yao; Bingjing Yan; Qiang Yang,9,2,10.1145/3719658,https://doi.org/10.1145/3719658,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4407912130
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-02-25,Impact Analysis of Inter-network Degree Correlation on Cascading Failures in Cyber-Physical Systems,Lin Ding; Z. Xu; Xiao-Ke Xu,9,2,10.1145/3719660,https://doi.org/10.1145/3719660,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4407912135
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-03-06,Cyber-Physical AI: Systematic Research Domain for Integrating AI and Cyber-Physical Systems,Sanghoon Lee; Jiyeong Chae; Haewon Jeon; Taehyun Kim; Yeong-Gi Hong; Doosik Um; Taewoo Kim; Kyung‐Joon Park,9,2,10.1145/3721437,https://doi.org/10.1145/3721437,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4408186872
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-03-07,PARD: A Dataflow Aware Profiler for ROS-Based Autonomous Driving Software,Shaohua Wang; Chen-Xuan Lin; Yu-Tsung Wu; Chia-Heng Tu,9,2,10.1145/3716547,https://doi.org/10.1145/3716547,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4408213263
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,2025,2025-03-17,Optimizing Confidential Deep Learning for Real-Time Systems,Mohammad Fakhruddin Babar; Monowar Hasan,9,3,10.1145/3724126,https://doi.org/10.1145/3724126,article,ACM Transactions on Cyber-Physical Systems,https://openalex.org/W4408528898
