journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-03,Morescient GAI for Software Engineering,Marcus Kessel; Colin Atkinson,34,5,10.1145/3709354,https://doi.org/10.1145/3709354,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406025986
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-06,Unified and Split Symbolic Execution for Exposing Semantic Differences,Hongliang Liang; Luming Yin; Wenying Hu; Yuxiang Li; Wuwei Shen,34,6,10.1145/3705299,https://doi.org/10.1145/3705299,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406085804
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-08,LLM-Powered Static Binary Taint Analysis,Puzhuo Liu; C. P. Sun; Yaowen Zheng; Xuan Feng; Chuan Qin; Y. F. Wang; Zhenyang Xu; Zhi Li; Peng Di; Yu Jiang; Limin Sun,34,3,10.1145/3711816,https://doi.org/10.1145/3711816,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406153408
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,Engineering Digital Systems for Humanity: A Research Roadmap,Marco Autili; Martina De Sanctis; Paola Inverardi; Patrizio Pelliccione,34,5,10.1145/3712006,https://doi.org/10.1145/3712006,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406324613
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,How Are We Detecting Inconsistent Method Names? An Empirical Study from Code Review Perspective,Kisub Kim; Xin Zhou; Dongsun Kim; Julia Lawall; Kui Liu; Tegawendé François Bissyandé; Jacques Klein; Jaekwon Lee; David Lo,34,6,10.1145/3711901,https://doi.org/10.1145/3711901,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406308383
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,How Low Can We Go? Minimizing Interaction Samples for Configurable Systems,Dominik Krupke; Ahmad Moradi; Michael Perk; Phillip Keldenich; Gabriel Gehrke; Sebastian Krieter; Thomas Thüm; Sándor P. Fekete,34,6,10.1145/3712193,https://doi.org/10.1145/3712193,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406308381
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,Introducing Interactions in Multi-Objective Optimization of Software Architectures,Vittorio Cortellessa; Jorge Andres Diaz-Pace; Daniele Di Pompeo; Sebastian Frank; Pooyan Jamshidi; Michele Tucci; André van Hoorn,34,6,10.1145/3712185,https://doi.org/10.1145/3712185,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406325819
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",Junda He; Christoph Treude; David Lo,34,5,10.1145/3712003,https://doi.org/10.1145/3712003,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406325768
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,Recommending Variable Names for Extract Local Variable Refactorings,Taiming Wang; Hui Liu; Yuxia Zhang; Yanjie Jiang,34,6,10.1145/3712191,https://doi.org/10.1145/3712191,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406325921
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,Software Engineering for Collective Cyber-Physical Ecosystems,Roberto Casadei; Gianluca Aguzzi; Giorgio Audrito; Ferruccio Damiani; Danilo Pianini; Giordano Scarso; Gianluca Torta; Mirko Viroli,34,5,10.1145/3712004,https://doi.org/10.1145/3712004,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406324483
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,The Current Challenges of Software Engineering in the Era of Large Language Models,Cuiyun Gao; Xing Hu; Shan Gao; Xin Xia; Zhi Gang Jin,34,5,10.1145/3712005,https://doi.org/10.1145/3712005,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406324010
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-13,You Don’t Have to Say Where to Edit! jLED—Joint Learning to Localize and Edit Source Code,Weiguo Pian; Yinghua Li; Haoye Tian; Tiezhu Sun; Yewei Song; Xunzhu Tang; Andrew Habib; Jacques Klein; Tegawendé François Bissyandé,34,6,10.1145/3712187,https://doi.org/10.1145/3712187,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406324690
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-15,Automatically Learning a Precise Measurement for Fault Diagnosis Capability of Test Cases,Yifan Zhao; Zeyu Sun; Guoqing Wang; Qingyuan Liang; Yakun Zhang; Yiling Lou; Dan Hao; Lu Zhang,34,6,10.1145/3712189,https://doi.org/10.1145/3712189,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406385977
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-15,Finding Information Leaks with Information Flow Fuzzing—RCR Report,Bernd Gruner; Clemens-Alexander Brust; Andreas Zeller,34,6,10.1145/3711905,https://doi.org/10.1145/3711905,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406385974
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-15,Mitigating Regression Faults Induced by Feature Evolution in Deep Learning Systems,Hanmo You; Zan Wang; Xuyang Chen; Junjie Chen; Jun Sun; Shuang Liu; Zishuo Dong,34,6,10.1145/3712199,https://doi.org/10.1145/3712199,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406386001
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-15,On the Practicability of Deep Learning Based Anomaly Detection for Modern Online Software Systems: A Pre-Train-and-Align Framework,Zilong He; Pengfei Chen; Zibin Zheng,34,6,10.1145/3712195,https://doi.org/10.1145/3712195,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406385978
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-15,System Safety Monitoring of Learned Components Using Temporal Metric Forecasting,Sepehr Sharifi; Andrea Stocco; Lionel Briand,34,6,10.1145/3712196,https://doi.org/10.1145/3712196,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406385999
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,A Roadmap for Simulation-Based Testing of Autonomous Cyber-Physical Systems: Challenges and Future Direction,Christian Birchler; Sajad Khatiri; Pooja Rani; Timo Kehrer; Sebastiano Panichella,34,5,10.1145/3711906,https://doi.org/10.1145/3711906,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406466506
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,AI for DevSecOps: A Landscape and Future Opportunities,Michael C. Fu; Jirat Pasuksmit; Chakkrit Kla Tantithamthavorn,34,4,10.1145/3712190,https://doi.org/10.1145/3712190,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406466792
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,Backsolver: Adapting Preceding Execution Paths to Solve Constraints for Concolic Execution,Yicheng Zeng; Zhanwei Song; Gang Lv; Yu Zhou; Hongsong Zhu; Limin Sun,34,3,10.1145/3712194,https://doi.org/10.1145/3712194,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406466719
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,"Making Software Development More Diverse and Inclusive: Key Themes, Challenges, and Future Directions",Sonja M. Hyrynsalmi; Sebastian Baltes; Chris Brown; Rafael Prikladnicki; Gema Rodríguez-Pérez; Alexander Serebrenik; Jocelyn Simmonds; Bianca Trinkenreich; Yi Wang; Grischa Liebel,34,5,10.1145/3711904,https://doi.org/10.1145/3711904,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406465537
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,Novelty Not Found: Exploring Input Shadowing in Fuzzing through Adaptive Fuzzer Restarts,Nico Schiller; Xinyi Xu; Lukas Bernhard; Nils Bars; Moritz Schloegel; Thorsten Holz,34,3,10.1145/3712186,https://doi.org/10.1145/3712186,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406466697
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-16,Novelty Not Found: Exploring Input Shadowing in Fuzzing through Adaptive Fuzzer Restarts—RCR Report,Nico Schiller; Xinyi Xu; Lukas Bernhard; Nils Bars; Moritz Schloegel; Thorsten Holz,34,3,10.1145/3712590,https://doi.org/10.1145/3712590,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406465878
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-17,"Automation in Model-Driven Engineering: A Look Back, and Ahead",Loli Burgueño; Davide Di Ruscio; Houari A. Sahraoui; Manuel Wimmer,34,5,10.1145/3712008,https://doi.org/10.1145/3712008,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406494387
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-17,Innovating for Tomorrow: The Convergence of Software Engineering and Green AI,Luís Cruz; Xavier Franch; Silverio Martínez‐Fernández,34,5,10.1145/3712007,https://doi.org/10.1145/3712007,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406494538
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-17,"Uncovering Community Smells in Machine Learning-Enabled Systems: Causes, Effects, and Mitigation Strategies",Giusy Annunziata; Stefano Lambiase; Damian A. Tamburri; Willem‐Jan van den Heuvel; Fabio Palomba; Gemma Catolino; Filomena Ferrucci; Andrea De Lucia,34,6,10.1145/3712198,https://doi.org/10.1145/3712198,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406494502
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-20,FLAT: Formal Languages as Types,Fengmin Zhu; Andreas Zeller,,,10.48550/arxiv.2501.11501,https://doi.org/10.60882/cispa.31959579,preprint,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406745009
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-20,Finding Information Leaks with Information Flow Fuzzing,Bernd Gruner; Clemens-Alexander Brust; Andreas Zeller,34,6,10.1145/3711902,https://doi.org/10.1145/3711902,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406620166
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-21,DDASR: Deep Diverse API Sequence Recommendation,Siyu Nan; Jian Wang; Neng Zhang; Duantengchuan Li; Bing Li,34,6,10.1145/3712188,https://doi.org/10.1145/3712188,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406674608
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-21,Grammar Mutation for Testing Input Parsers—RCR Report,Bachir Bendrissou; Cristian Cadar; Alastair F. Donaldson,34,4,10.1145/3712192,https://doi.org/10.1145/3712192,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406674512
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,Sai Zhang; Zhenchang Xing; Ronghui Guo; Fangzhou Xu; Lei Chen; Zhaoyuan Zhang; Xiaowang Zhang; Zhiyong Feng; Zhiqiang Zhuang,34,6,10.1145/3702987,https://doi.org/10.1145/3702987,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406698707
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models,Martin Weyssow; Xin Zhou; Kisub Kim; David Lo; Houari A. Sahraoui,34,7,10.1145/3714461,https://doi.org/10.1145/3714461,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406688098
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,Faster and Better Quantum Software Testing through Specification Reduction and Projective Measurements,Noah H. Oldfield; Christoph Laaber; Tao Yue; Shaukat Ali,34,7,10.1145/3714468,https://doi.org/10.1145/3714468,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406698716
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,JSimpo: Structural Deobfuscation of JavaScript Programs,Tianyu Chen; Ding Li; Ying Zhang; Tao Xie,34,7,10.1145/3714460,https://doi.org/10.1145/3714460,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406688111
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,Making Fault Localization in Online Service Systems More Actionable and Interpretable,Ke Xv; Shikai Guo; Hui Li; C. H. Li; Rong Chen; Xiaochen Li; He Jiang,34,6,10.1145/3714466,https://doi.org/10.1145/3714466,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406698715
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-22,Signal Feature Coverage and Testing for CPS Dataflow Models,Ezio Bartocci; Leonardo Mariani; Dejan Ničković; Drishti Yadav,34,7,10.1145/3714467,https://doi.org/10.1145/3714467,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406698759
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-23,An Empirical Study on Challenges for LLM Application Developers,Xiang Chen; Chaoyang Gao; Chunyang Chen; Guangbei Zhang; Yong Liu,34,7,10.1145/3715007,https://doi.org/10.1145/3715007,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406738283
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-23,Failure Diagnosis in Microservice Systems: A Comprehensive Survey and Analysis,Shenglin Zhang; Sibo Xia; Wenzhao Fan; Binpeng Shi; Xiao Xiong; Zhenyu Zhong; Minghua Ma; Yongqian Sun; Dan Pei,35,1,10.1145/3715005,https://doi.org/10.1145/3715005,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406738151
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-23,Research on WebAssembly Runtimes: A Survey,Yixuan Zhang; Mugeng Liu; Haoyu Wang; Yun Ma; Gang L. Huang; Xuanzhe Liu,34,8,10.1145/3714465,https://doi.org/10.1145/3714465,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406738193
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-23,"The Good, the Bad, and the Monstrous: Predicting Highly Change-Prone Source Code Methods at Their Inception",Shaiful Chowdhury,34,7,10.1145/3715006,https://doi.org/10.1145/3715006,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406738291
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-24,Hybrid Automated Program Repair by Combining Large Language Models and Program Analysis,Fengjie Li; Jiajun Jiang; Jiajun Sun; Hongyu Zhang,34,7,10.1145/3715004,https://doi.org/10.1145/3715004,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406798911
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-24,Testing and Debugging Quantum Programs: The Road to 2030,Neilson Carlos Leite Ramalho; Higor Amario de Souza; Marcos Lordello Chaim,34,5,10.1145/3715106,https://doi.org/10.1145/3715106,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406798224
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-24,The Future of AI-Driven Software Engineering,Valerio Terragni; Annie Vella; Partha S. Roop; Kelly Blincoe,34,5,10.1145/3715003,https://doi.org/10.1145/3715003,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406798194
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Assessing and Analyzing the Correctness of GitHub Copilot’s Code Suggestions,Ran Mo; Dongyu Wang; Wenjing Zhan; Yingjie Jiang; Yepeng Wang; Yuqi Zhao; Zengyang Li; Yutao Ma,34,7,10.1145/3715108,https://doi.org/10.1145/3715108,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866173
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Automated Detection and Repair of Floating-point Precision Problems in Convolutional Neural Network Operators,Jiawei Liu; Xufan Zhang; Lurong Xu; Chunrong Fang; Mingzheng Gu; Weisi Luo; Dong Chai; Jiang Wang; Zhihong Zhao; Zhenyu Chen,,,10.1145/3715104,https://doi.org/10.1145/3715104,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406867759
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Automated Recommendation of Extracting Local Variable Refactorings,Yanjie Jiang; Xiaye Chi; Yuxia Zhang; Weixing Ji; Guangjie Li; Weixiao Wang; Yunni Xia; Lu Zhang; Hui Liu,34,8,10.1145/3715110,https://doi.org/10.1145/3715110,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866396
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Distinguishing LLM-Generated from Human-Written Code by Contrastive Learning,Xiaodan Xu; Chao Ni; Xinrong Guo; Shaoxuan Liu; Xiaoya Wang; Kui Liu; Xiaohu Yang,34,4,10.1145/3705300,https://doi.org/10.1145/3705300,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406867827
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Finding Safety Violations of AI-Enabled Control Systems through the Lens of Synthesized Proxy Programs,Jieke Shi; Zhou Yang; Junda He; Bowen Xu; Dongsun Kim; DongGyun Han; David Lo,,,10.1145/3715105,https://doi.org/10.1145/3715105,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866240
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agent,Jie JW Wu; Fatemeh H. Fard,,,10.1145/3715109,https://doi.org/10.1145/3715109,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866661
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Introducing Phylogenetics in Search-based Software Engineering: Phylogenetics-aware SBSE,Daniel Blasco; Antonio Iglesias; Jorge Echeverría; Francisca Pérez; Carlos Cetina,,,10.1145/3715002,https://doi.org/10.1145/3715002,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866346
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,2025,2025-01-27,Research Directions in Software Supply Chain Security,Laurie A. Williams; Giacomo Benedetti; Sivana Hamer; Ranindya Paramitha; Ishtiaq Ali Rahman; Mahzabin Tamanna; Greg Tystahl; Nusrat Zahan; Patrick J. Morrison; Yasemin Acar; Michel Schatkin Cukier; Christian Kästner; Alexandros Kapravelos; Dominik Wermke; William Enck,34,5,10.1145/3714464,https://doi.org/10.1145/3714464,article,ACM Transactions on Software Engineering and Methodology,https://openalex.org/W4406866500
