journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Collective Intelligence,ACM/SAGE,2025,2025-01-01,The meta-aggregation approaches: Correctly choosing how to choose correctly in groups,Hilla Shinitzky; Ortal Parpara; Michal Ezrets; Raz Klein; Yuval Shaḥar,4,1,10.1177/26339137251315410,https://doi.org/10.1177/26339137251315410,article,Collective Intelligence,https://openalex.org/W4406748659
Collective Intelligence,ACM/SAGE,2025,2025-01-01,The potential and challenges of AI for collective intelligence,Christoph Riedl; David De Cremer; Gina Lucarelli; Erika Antoine-Souklaye; Seth Bullock; Nirav Ajmeri; Mike Batty; Michaela M. Black; John Cartlidge; Robert Challen; Cangxiong Chen; Chen Jing; Joan V. Condell; León Danon; Adam Dennett; Alison J Heppenstall; Paul Marshall; Phil Morgan; Aisling Ann O’Kane; Laura G. E. Smith; Theresa J. Smith; Hywel T. P. Williams; Niccolò Pescetelli; Georgina Denis,4,1,10.1177/26339137241308821,https://doi.org/10.1177/26339137241308821,article,Collective Intelligence,https://openalex.org/W4407622635
Collective Intelligence,ACM/SAGE,2025,2025-03-03,Book Review: A few recent books on Collective Intelligence,Geoff Mulgan,4,1,10.1177/26339137241285900,https://doi.org/10.1177/26339137241285900,book-review,Collective Intelligence,https://openalex.org/W4408145300
Collective Intelligence,ACM/SAGE,2025,2025-03-13,Social organization as the collective management of uncertainty,Jesse Hoey,4,1,10.1177/26339137251324131,https://doi.org/10.1177/26339137251324131,article,Collective Intelligence,https://openalex.org/W4408464548
Collective Intelligence,ACM/SAGE,2025,2025-04-01,A novel approach to studying the role influence plays in team collective intelligence,Lisa O'Bryan; Timothy A. Oxendahl; Simon Garnier; Santiago Segarra; Matthew A. Wettergreen; Ashutosh Sabharwal; Margaret E. Beier,4,2,10.1177/26339137251343584,https://doi.org/10.1177/26339137251343584,article,Collective Intelligence,https://openalex.org/W4411046800
Collective Intelligence,ACM/SAGE,2025,2025-04-01,AI for collective intelligence,Christoph Riedl; David De Cremer,4,2,10.1177/26339137251328909,https://doi.org/10.1177/26339137251328909,editorial,Collective Intelligence,https://openalex.org/W4409126354
Collective Intelligence,ACM/SAGE,2025,2025-04-01,Life works through emergent collective intelligence: A conversation with Philip Ball,Philip Ball; Scott E. Page,4,2,10.1177/26339137251343587,https://doi.org/10.1177/26339137251343587,article,Collective Intelligence,https://openalex.org/W4410529085
Collective Intelligence,ACM/SAGE,2025,2025-07-01,Collective incentives improve group accuracy by reducing reliance on shared news sources,Niccolò Pescetelli; Alex Rutherford; Iyad Rahwan; Albert B. Kao,4,3,10.1177/26339137251372605,https://doi.org/10.1177/26339137251372605,article,Collective Intelligence,https://openalex.org/W4414233436
Collective Intelligence,ACM/SAGE,2025,2025-07-01,"Everyone, everywhere, all at once LLMs and the new physics of collective intelligence",Scott E. Page,4,3,10.1177/26339137251367733,https://doi.org/10.1177/26339137251367733,article,Collective Intelligence,https://openalex.org/W4413796951
Collective Intelligence,ACM/SAGE,2025,2025-07-01,Exploring the impact of ChatGPT on Wikipedia engagement,Neal Reeves; Wenjie Yin; Elena Paslaru Bontas Simperl,4,3,10.1177/26339137251372599,https://doi.org/10.1177/26339137251372599,article,Collective Intelligence,https://openalex.org/W4414535549
Collective Intelligence,ACM/SAGE,2025,2025-07-01,Opinion for collective intelligence,Geoff Mulgan,4,3,10.1177/26339137251360003,https://doi.org/10.1177/26339137251360003,article,Collective Intelligence,https://openalex.org/W4412390697
