journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-06,Approximate Implication for Probabilistic Graphical Models,Batya Kenig,82,,10.1613/jair.1.16467,https://doi.org/10.1613/jair.1.16467,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406133960
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-06,Practical Parallel Algorithms for Non-Monotone Submodular Maximization,Shuang Cui; Kai Han; Jing Tang; Xueying Li; Aakas Zhiyuli; Hanxiao Li,82,,10.1613/jair.1.16801,https://doi.org/10.1613/jair.1.16801,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406133977
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-14,A Portfolio Approach to Massively Parallel Bayesian Optimization,Mickaël Binois; Nicholson T. Collier; Jonathan Ozik,82,,10.1613/jair.1.16868,https://doi.org/10.1613/jair.1.16868,article,Journal of Artificial Intelligence Research,https://openalex.org/W4286901125
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-14,A Selective Under-Sampling (SUS) Method for Imbalanced Regression,Jovana Aleksić; Miguel García-Remesal,82,,10.1613/jair.1.16062,https://doi.org/10.1613/jair.1.16062,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406408204
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-14,Prosociality in Microtransit,Divya Sundaresan; Akhira Watson; Eleni Bardaka; Crystal Chen Lee; Christopher B. Mayhorn; Munindar P. Singh,82,,10.1613/jair.1.16777,https://doi.org/10.1613/jair.1.16777,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406408080
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-17,"Decentralized, Decomposition-Based Observation Scheduling for a Large-Scale Satellite Constellation",Itai Zilberstein; Ananya Rao; Matthew Salis; Steve Chien,82,,10.1613/jair.1.16997,https://doi.org/10.1613/jair.1.16997,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406513504
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-20,Confidence-based Estimators for Predictive Performance in Model Monitoring,Juhani Kivimäki; Jukka K. Nurminen; Jakub Białek; Wojtek Kuberski,82,,10.1613/jair.1.16709,https://doi.org/10.1613/jair.1.16709,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406643990
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-20,The Complexity of Pure Maxmin Strategies in Two-Player Extensive-Form Games,Junkang Li; Bruno Zanuttini; Véronique Ventos,82,,10.1613/jair.1.16872,https://doi.org/10.1613/jair.1.16872,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406644586
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-25,TOMA: Computational Theory of Mind with Abstractions for Hybrid Intelligence,Emre Erdogan; Frank P. M. Dignum; Rineke Verbrugge; Pınar Yolum,82,,10.1613/jair.1.16402,https://doi.org/10.1613/jair.1.16402,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406829560
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-27,CADS: A Systematic Literature Review on the Challenges of Abstractive Dialogue Summarization,Frederic Kirstein; Jan Philip Wahle; Béla Gipp; Terry Ruas,82,,10.1613/jair.1.16674,https://doi.org/10.1613/jair.1.16674,review,Journal of Artificial Intelligence Research,https://openalex.org/W4406890922
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-28,CPM-based Hierarchical Text Classification,Biqing Zeng; Yi-Hao Peng; Jichen Yang; Peilin Hong; Junjie Liang,82,,10.1613/jair.1.16943,https://doi.org/10.1613/jair.1.16943,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406938064
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-01-28,Forgetting in Abstract Argumentation: Limits and Possibilities,Ringo Baumann; Matti Berthold; Dov Gabbay; Odinaldo Rodrigues,82,,10.1613/jair.1.17149,https://doi.org/10.1613/jair.1.17149,article,Journal of Artificial Intelligence Research,https://openalex.org/W4406938067
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-03,"AI Reliance and Decision Quality: Fundamentals, Interdependence, and the Effects of Interventions",Jakob Schöffer; Johannes Jakubik; Michael Vössing; Niklas Kühl; Gerhard Satzger,82,,10.1613/jair.1.15873,https://doi.org/10.1613/jair.1.15873,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407124245
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-03,An Oracle-Guided Approach to Constrained Policy Synthesis Under Uncertainty,Roman Andriushchenko; Milan Češka; Filip Macák; Sebastian Junges; Joost-Pieter Katoen,82,,10.1613/jair.1.16593,https://doi.org/10.1613/jair.1.16593,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407094782
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-04,Comparison of SAT-Based and ASP-Based Algorithms for Inconsistency Measurement,Isabelle Kuhlmann; Anna Gessler; Vivien Laszlo; Matthias Thimm,82,,10.1613/jair.1.16888,https://doi.org/10.1613/jair.1.16888,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407170870
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-04,PAC-Chernoff Bounds: Understanding Generalization in the Interpolation Regime,Andrés R. Masegosa; Luis Ángel Ortega Cuesta,82,,10.1613/jair.1.17036,https://doi.org/10.1613/jair.1.17036,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407170707
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-05,Against The Achilles' Heel: A Survey on Red Teaming for Generative Models,Lizhi Lin; Honglin Mu; Zenan Zhai; Minghan Wang; Yu‐Xia Wang; Renxi Wang; Junjie Gao; Yixuan Zhang; Wanxiang Che; Timothy J. Baldwin; Xudong Han; Haonan Li,82,,10.1613/jair.1.17654,https://doi.org/10.1613/jair.1.17654,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407207546
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-10,Reasoning about Decidability of Strategic Logics with Imperfect Information and Perfect Recall Strategies,Davide Catta; Angelo Ferrando; Vadim Malvone,82,,10.1613/jair.1.17237,https://doi.org/10.1613/jair.1.17237,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407360083
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-10,Value Preferences Estimation and Disambiguation in Hybrid Participatory Systems,Enrico Liscio; Luciano Cavalcante Siebert; Catholijn M. Jonker; Pradeep Kumar Murukannaiah,82,,10.1613/jair.1.14958,https://doi.org/10.1613/jair.1.14958,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407365092
Journal of Artificial Intelligence Research (JAIR),Independent,2025,2025-02-11,Efficient Ontology-Mediated Query Answering: Extending DL-liteR and Linear ELH,Mirko Michele Dimartino; Peter T. Wood; Andrea Calı̀; Alexandra Poulovassilis,82,,10.1613/jair.1.16401,https://doi.org/10.1613/jair.1.16401,article,Journal of Artificial Intelligence Research,https://openalex.org/W4407399306
