journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Artificial Intelligence,Elsevier,2025,2025-01-02,CureGraph: Contrastive multi-modal graph representation learning for urban living circle health profiling and prediction,Jinlin Li; Zhou Xiao,340,,10.1016/j.artint.2024.104278,https://doi.org/10.1016/j.artint.2024.104278,article,Artificial Intelligence,https://openalex.org/W4405987972
Artificial Intelligence,Elsevier,2025,2025-01-06,Explainable AI and stakes in medicine: A user study,Sam Baron; Andrew J. Latham; Somogy Varga,340,,10.1016/j.artint.2025.104282,https://doi.org/10.1016/j.artint.2025.104282,article,Artificial Intelligence,https://openalex.org/W4406106859
Artificial Intelligence,Elsevier,2025,2025-01-07,Beyond incompatibility: Trade-offs between mutually exclusive fairness criteria in machine learning and law,Meike Zehlike; Alex Loosley; Håkan Jönsson; Emil Wiedemann; Philipp Hacker,340,,10.1016/j.artint.2024.104280,https://doi.org/10.1016/j.artint.2024.104280,article,Artificial Intelligence,https://openalex.org/W4406121590
Artificial Intelligence,Elsevier,2025,2025-01-07,"Explain it as simple as possible, but no simpler – Explanation via model simplification for addressing inferential gap",Sarath Sreedharan; Siddharth Srivastava; Subbarao Kambhampati,340,,10.1016/j.artint.2024.104279,https://doi.org/10.1016/j.artint.2024.104279,article,Artificial Intelligence,https://openalex.org/W4406142089
Artificial Intelligence,Elsevier,2025,2025-01-10,Learning a fast 3D spectral approach to object segmentation and tracking over space and time,Elena Burceanu; Marius Leordeanu,340,,10.1016/j.artint.2024.104281,https://doi.org/10.1016/j.artint.2024.104281,article,Artificial Intelligence,https://openalex.org/W4406269277
Artificial Intelligence,Elsevier,2025,2025-01-15,Argumentative review aggregation and dialogical explanations,Antonio Rago; Oana Cocarascu; Joel Oksanen; Francesca Toni,340,,10.1016/j.artint.2025.104291,https://doi.org/10.1016/j.artint.2025.104291,article,Artificial Intelligence,https://openalex.org/W4406410698
Artificial Intelligence,Elsevier,2025,2025-01-15,Maximum Likelihood Evidential Reasoning,Jian‐Bo Yang; Dong‐Ling Xu,340,,10.1016/j.artint.2025.104289,https://doi.org/10.1016/j.artint.2025.104289,article,Artificial Intelligence,https://openalex.org/W4406410975
Artificial Intelligence,Elsevier,2025,2025-01-20,Editorial Board,,339,,10.1016/s0004-3702(25)00005-0,https://doi.org/10.1016/s0004-3702(25)00005-0,paratext,Artificial Intelligence,https://openalex.org/W4406610957
Artificial Intelligence,Elsevier,2025,2025-01-20,TTVAE: Transformer-based generative modeling for tabular data generation,Alex X. Wang; Binh Phu Nguyen,340,,10.1016/j.artint.2025.104292,https://doi.org/10.1016/j.artint.2025.104292,article,Artificial Intelligence,https://openalex.org/W4406606637
Artificial Intelligence,Elsevier,2025,2025-01-30,Improved metric distortion via threshold approvals,Elliot Anshelevich; Aris Filos-Ratsikas; Christopher Jerrett; Alexandros A. Voudouris,341,,10.1016/j.artint.2025.104295,https://doi.org/10.1016/j.artint.2025.104295,article,Artificial Intelligence,https://openalex.org/W4406972882
Artificial Intelligence,Elsevier,2025,2025-02-04,Explanations for query answers under existential rules,İsmail İlkan Ceylan; Thomas Lukasiewicz; Enrico Malizia; Andrius Vaicenavičius,341,,10.1016/j.artint.2025.104294,https://doi.org/10.1016/j.artint.2025.104294,article,Artificial Intelligence,https://openalex.org/W4407132937
Artificial Intelligence,Elsevier,2025,2025-02-04,No free lunch theorem for privacy-preserving LLM inference,Xiaojin Zhang; Yahao Pang; Yan Kang; Wei Chen; Lixin Fan; Hai Jin; Qiang Yang,341,,10.1016/j.artint.2025.104293,https://doi.org/10.1016/j.artint.2025.104293,article,Artificial Intelligence,https://openalex.org/W4407122565
Artificial Intelligence,Elsevier,2025,2025-02-07,IID prophet inequality with a single data point,Yilong Feng; Bo Li; Haolong Li; Xiaowei Wu; Yutong Wu,341,,10.1016/j.artint.2025.104296,https://doi.org/10.1016/j.artint.2025.104296,article,Artificial Intelligence,https://openalex.org/W4407243468
Artificial Intelligence,Elsevier,2025,2025-02-10,On the computation of mixed strategies for security games with general defending requirements,Rufan Bai; Haoxing Lin; Xiaowei Wu; Minming Li; Weijia Jia,341,,10.1016/j.artint.2025.104297,https://doi.org/10.1016/j.artint.2025.104297,article,Artificial Intelligence,https://openalex.org/W4407308081
Artificial Intelligence,Elsevier,2025,2025-02-11,Editorial Board,,340,,10.1016/s0004-3702(25)00020-7,https://doi.org/10.1016/s0004-3702(25)00020-7,paratext,Artificial Intelligence,https://openalex.org/W4407382613
