journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Neural Networks,Elsevier,2025,2025-01-01,CS-QCFS: Bridging the performance gap in ultra-low latency spiking neural networks,Hongchao Yang; Suorong Yang; Lingming Zhang; Hui Dou; Furao Shen; Jian Ying Zhao,184,,10.1016/j.neunet.2024.107076,https://doi.org/10.1016/j.neunet.2024.107076,article,Neural Networks,https://openalex.org/W4405963833
Neural Networks,Elsevier,2025,2025-01-01,Finite-time H∞ output synchronization for DCRDNNs with multiple delayed and adaptive output couplings,Qian Qiu; Yin Chen; Housheng Su,184,,10.1016/j.neunet.2024.107104,https://doi.org/10.1016/j.neunet.2024.107104,article,Neural Networks,https://openalex.org/W4405963916
Neural Networks,Elsevier,2025,2025-01-01,Spectral adversarial attack on graph via node injection,Weihua Ou; Yiyu Y. Yao; Jiahao Xiong; Yunshun Wu; Xianjun Deng; Jianping Gou; Jiamin Chen,184,,10.1016/j.neunet.2024.107046,https://doi.org/10.1016/j.neunet.2024.107046,article,Neural Networks,https://openalex.org/W4405963952
Neural Networks,Elsevier,2025,2025-01-01,VCSAP: Online reinforcement learning exploration method based on visitation count of state-action pairs,R.W. Zhou; Wenbo Zhu; Shuai D. Han; Meng Kang; Shuai Lü,184,,10.1016/j.neunet.2024.107052,https://doi.org/10.1016/j.neunet.2024.107052,article,Neural Networks,https://openalex.org/W4405963937
Neural Networks,Elsevier,2025,2025-01-02,GSE: A global–local storage enhanced video object recognition model,Yuhong Shi; Hongguang Pan; Ze Jiang; Libin Zhang; Rui Miao; Zheng Wang; Xinyu Lei,184,,10.1016/j.neunet.2024.107109,https://doi.org/10.1016/j.neunet.2024.107109,article,Neural Networks,https://openalex.org/W4406011492
Neural Networks,Elsevier,2025,2025-01-02,MIFS: An adaptive multipath information fused self-supervised framework for drug discovery,Xu Gong; Qun Liu; Rui Han; Yike Guo; Guoyin Wang,184,,10.1016/j.neunet.2024.107088,https://doi.org/10.1016/j.neunet.2024.107088,article,Neural Networks,https://openalex.org/W4405982370
Neural Networks,Elsevier,2025,2025-01-02,Neural network emulator for atmospheric chemical ODE,Zhi-Song Liu; Petri S. Clusius; Michael H. Boy,184,,10.1016/j.neunet.2024.107106,https://doi.org/10.1016/j.neunet.2024.107106,article,Neural Networks,https://openalex.org/W4405987239
Neural Networks,Elsevier,2025,2025-01-02,Temporal multi-modal knowledge graph generation for link prediction,Yuandi Li; Hui Ji; Fei Yu; Lechao Cheng; Nan Che,185,,10.1016/j.neunet.2024.107108,https://doi.org/10.1016/j.neunet.2024.107108,article,Neural Networks,https://openalex.org/W4406011662
Neural Networks,Elsevier,2025,2025-01-04,A discriminative multi-modal adaptation neural network model for video action recognition,Lei Gao; Kai Liu; Ling Guan,185,,10.1016/j.neunet.2024.107114,https://doi.org/10.1016/j.neunet.2024.107114,article,Neural Networks,https://openalex.org/W4406062802
Neural Networks,Elsevier,2025,2025-01-04,Convergence analysis of deep Ritz method with over-parameterization,Zhao Ding; Yuling Jiao; Xiliang Lu; Peiying Wu; Jerry Zhijian Yang,184,,10.1016/j.neunet.2024.107110,https://doi.org/10.1016/j.neunet.2024.107110,article,Neural Networks,https://openalex.org/W4406062903
Neural Networks,Elsevier,2025,2025-01-04,Multi-level feature fusion networks for smoke recognition in remote sensing imagery,Yupeng Wang; Yupeng Wang; Zaki Ahmad Khan; Anqi Huang; Jianghui Sang,184,,10.1016/j.neunet.2024.107112,https://doi.org/10.1016/j.neunet.2024.107112,article,Neural Networks,https://openalex.org/W4406062914
Neural Networks,Elsevier,2025,2025-01-04,Multi-view clustering based on feature selection and semi-non-negative anchor graph factorization,Shikun Mei; Qianqian Wang; Quanxue Gao; Ming Yang,184,,10.1016/j.neunet.2024.107111,https://doi.org/10.1016/j.neunet.2024.107111,article,Neural Networks,https://openalex.org/W4406062812
Neural Networks,Elsevier,2025,2025-01-04,User preference interaction fusion and swap attention graph neural network for recommender system,Mingqi Li; Wenming Ma; Zihao Chu,184,,10.1016/j.neunet.2024.107116,https://doi.org/10.1016/j.neunet.2024.107116,article,Neural Networks,https://openalex.org/W4406062886
Neural Networks,Elsevier,2025,2025-01-05,Synergistic learning with multi-task DeepONet for efficient PDE problem solving,Varun Kumar; Somdatta Goswami; Katiana Kontolati; Michael D. Shields; George Em Karniadakis,184,,10.1016/j.neunet.2024.107113,https://www.sciencedirect.com/science/article/pii/S0893608024010426/pdf,article,Neural Networks,https://openalex.org/W4406062916
Neural Networks,Elsevier,2025,2025-01-06,A discrete convolutional network for entity relation extraction,Weizhe Yang; Yongbin Qin; Kai Wang; Ying Hu; Ruizhang Huang; Yanping Chen,184,,10.1016/j.neunet.2024.107117,https://doi.org/10.1016/j.neunet.2024.107117,article,Neural Networks,https://openalex.org/W4406083544
Neural Networks,Elsevier,2025,2025-01-06,A novel swarm budorcas taxicolor optimization-based multi-support vector method for transformer fault diagnosis,Yong Ding; Weijian Mai; Zhijun Zhang,184,,10.1016/j.neunet.2024.107120,https://doi.org/10.1016/j.neunet.2024.107120,article,Neural Networks,https://openalex.org/W4406117431
Neural Networks,Elsevier,2025,2025-01-06,A smooth gradient approximation neural network for general constrained nonsmooth nonconvex optimization problems,Na Liu; Wenwen Jia; Sitian Qin,184,,10.1016/j.neunet.2024.107121,https://doi.org/10.1016/j.neunet.2024.107121,article,Neural Networks,https://openalex.org/W4406097188
Neural Networks,Elsevier,2025,2025-01-06,DCS-RISR: Dynamic channel splitting for efficient real-world image super-resolution,Junbo Qiao; Shaohui Lin; Yulun Zhang; Wei Li; Jie Hu; Gaoqi He; Changbo Wang; Lizhuang Ma,184,,10.1016/j.neunet.2024.107119,https://doi.org/10.1016/j.neunet.2024.107119,article,Neural Networks,https://openalex.org/W4406109380
Neural Networks,Elsevier,2025,2025-01-06,DFCL: Dual-pathway fusion contrastive learning for blind single-image visible watermark removal,Bin Meng; Jiliu Zhou; Haoran Yang; Jiayong Liu; Yi‐Fei Pu,184,,10.1016/j.neunet.2024.107077,https://doi.org/10.1016/j.neunet.2024.107077,article,Neural Networks,https://openalex.org/W4406083424
Neural Networks,Elsevier,2025,2025-01-06,ICH-PRNet: a cross-modal intracerebral haemorrhage prognostic prediction method using joint-attention interaction mechanism,Xin-Lei Yu; Ahmed Elazab; Ruiquan Ge; Jichao Zhu; Lingyan Zhang; Gangyong Jia; Q. M. Jonathan Wu; Xiang Wan; Lihua Li; Changmiao Wang,184,,10.1016/j.neunet.2024.107096,https://doi.org/10.1016/j.neunet.2024.107096,article,Neural Networks,https://openalex.org/W4406098393
Neural Networks,Elsevier,2025,2025-01-06,Uncertainty modeling for inductive knowledge graph embedding,Chao Liu; Sam Kwong; Xizhao Wang,184,,10.1016/j.neunet.2024.107103,https://doi.org/10.1016/j.neunet.2024.107103,article,Neural Networks,https://openalex.org/W4406105510
Neural Networks,Elsevier,2025,2025-01-07,Multi-Scale Pyramid Squeeze Attention Similarity Optimization Classification Neural Network for ERP Detection,Ruitian Xu; Brendan Z. Allison; Xueqing Zhao; Wei Liang; Xingyu Wang; Andrzej S Cichocki; Jing Jin,184,,10.1016/j.neunet.2025.107124,https://doi.org/10.1016/j.neunet.2025.107124,article,Neural Networks,https://openalex.org/W4406141446
Neural Networks,Elsevier,2025,2025-01-07,Searching to extrapolate embedding for out-of-graph node representation learning,Zhenqian Shen; Shuhan Guo; Yan Wen; Lanning Wei; Wengang Zhang; Yuanhai Luo; Chongwu Wu; Quanming Yao,184,,10.1016/j.neunet.2024.107118,https://doi.org/10.1016/j.neunet.2024.107118,article,Neural Networks,https://openalex.org/W4406134761
Neural Networks,Elsevier,2025,2025-01-08,A Fine-grained Hemispheric Asymmetry Network for accurate and interpretable EEG-based emotion classification,Ruofan Yan; Na Lü; Yuxuan Yan; Xu Niu; Jibin Wu,184,,10.1016/j.neunet.2025.107127,https://doi.org/10.1016/j.neunet.2025.107127,article,Neural Networks,https://openalex.org/W4406160925
Neural Networks,Elsevier,2025,2025-01-08,Dual-view global and local category-attentive domain alignment for unsupervised conditional adversarial domain adaptation,Jiahua Wu; Yuchun Fang,185,,10.1016/j.neunet.2025.107129,https://doi.org/10.1016/j.neunet.2025.107129,article,Neural Networks,https://openalex.org/W4406159931
Neural Networks,Elsevier,2025,2025-01-08,Dynamic planning in hierarchical active inference,Matteo Priorelli; Ivilin Peev Stoianov,185,,10.1016/j.neunet.2024.107075,https://doi.org/10.1016/j.neunet.2024.107075,article,Neural Networks,https://openalex.org/W4406160179
Neural Networks,Elsevier,2025,2025-01-08,Improved analysis of supervised learning in the RKHS with random features: Beyond least squares,Jiamin Liu; Lei Wang; Heng Lian,184,,10.1016/j.neunet.2024.107091,https://doi.org/10.1016/j.neunet.2024.107091,article,Neural Networks,https://openalex.org/W4406160178
Neural Networks,Elsevier,2025,2025-01-08,Quantum mixed-state self-attention network,Chen Fu; Qinglin Zhao; Li Feng; Chuangtao Chen; Yangbin Lin; Jianhong Lin,185,,10.1016/j.neunet.2025.107123,https://doi.org/10.1016/j.neunet.2025.107123,article,Neural Networks,https://openalex.org/W4406159935
Neural Networks,Elsevier,2025,2025-01-08,RMKD: Relaxed matching knowledge distillation for short-length SSVEP-based brain–computer interfaces,Zhen Lan; Zixing Li; Chao Yan; Xiaojia Xiang; Dengqing Tang; Min Wu; Zhenghua Chen,185,,10.1016/j.neunet.2025.107133,https://doi.org/10.1016/j.neunet.2025.107133,article,Neural Networks,https://openalex.org/W4406160289
Neural Networks,Elsevier,2025,2025-01-08,VPT: Video portraits transformer for realistic talking face generation,Zhijun Zhang; Jian Zhang; Weijian Mai,184,,10.1016/j.neunet.2025.107122,https://doi.org/10.1016/j.neunet.2025.107122,article,Neural Networks,https://openalex.org/W4406229963
