journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Knowledge-Based Systems,Elsevier,2025,2025-01-01,Advancing multi-object tracking through occlusion-awareness and trajectory optimization,Mengzhen Li; Yukuan Zhang; Yunhua Jia; Yang Yang,310,,10.1016/j.knosys.2024.112930,https://doi.org/10.1016/j.knosys.2024.112930,article,Knowledge-Based Systems,https://openalex.org/W4405963837
Knowledge-Based Systems,Elsevier,2025,2025-01-01,Attention-based Graph Clustering Network with Dual Information Interaction,Xiaofei Lin; Yafang Li; Caiyan Jia; Baokai Zu; Wanting Zhu,310,,10.1016/j.knosys.2024.112928,https://doi.org/10.1016/j.knosys.2024.112928,article,Knowledge-Based Systems,https://openalex.org/W4405963873
Knowledge-Based Systems,Elsevier,2025,2025-01-01,Editorial Board,,309,,10.1016/s0950-7051(25)00036-x,https://doi.org/10.1016/s0950-7051(25)00036-x,paratext,Knowledge-Based Systems,https://openalex.org/W4406207058
Knowledge-Based Systems,Elsevier,2025,2025-01-01,Intuitively interpreting GANs latent space using semantic distribution,Ruqi Wang; Guoyin Wang; Lihua Gu; Qun Liu; Yue Liu; Yike Guo,310,,10.1016/j.knosys.2024.112894,https://doi.org/10.1016/j.knosys.2024.112894,article,Knowledge-Based Systems,https://openalex.org/W4405963749
Knowledge-Based Systems,Elsevier,2025,2025-01-02,Community-oriented multi-scale heterogeneous community detection using weighted positives and debiased negatives,Fangfang Liu; Chunjie Li; Bo Wu,310,,10.1016/j.knosys.2024.112934,https://doi.org/10.1016/j.knosys.2024.112934,article,Knowledge-Based Systems,https://openalex.org/W4406011931
Knowledge-Based Systems,Elsevier,2025,2025-01-02,Explainability-based adversarial attack on graphs through edge perturbation,Dibaloke Chanda; Saba Heidari Gheshlaghi; Nasim Soltani,310,,10.1016/j.knosys.2024.112895,https://doi.org/10.1016/j.knosys.2024.112895,article,Knowledge-Based Systems,https://openalex.org/W4406011528
Knowledge-Based Systems,Elsevier,2025,2025-01-02,Irrelevant Patch-Masked Autoencoders for Enhancing Vision Transformers under Limited Data,Qiang Ren; Junli Wang,310,,10.1016/j.knosys.2024.112936,https://doi.org/10.1016/j.knosys.2024.112936,article,Knowledge-Based Systems,https://openalex.org/W4406011611
Knowledge-Based Systems,Elsevier,2025,2025-01-04,Attention holistic processing multi-channel graph transformer with graph residual connections for predicting lncRNA–Protein interactions,Qi Wu; Yinbo Liu; Shuxia Chen; Wenwen Xu; Yunzhi Wu; Xiaolei Zhu; Yi Yue,310,,10.1016/j.knosys.2025.112957,https://doi.org/10.1016/j.knosys.2025.112957,article,Knowledge-Based Systems,https://openalex.org/W4406062865
Knowledge-Based Systems,Elsevier,2025,2025-01-04,Context based spatial–temporal graph convolutional networks for traffic prediction,Chaolong Jia; Wenjing Zhang; Yumei He; Rong Wang; Jinchao Li; Yunpeng Xiao,310,,10.1016/j.knosys.2024.112933,https://doi.org/10.1016/j.knosys.2024.112933,article,Knowledge-Based Systems,https://openalex.org/W4406062675
Knowledge-Based Systems,Elsevier,2025,2025-01-04,Enhancing text anonymization via re-identification risk-based explainability,Benet Manzanares-Salor; David Sánchez,310,,10.1016/j.knosys.2024.112945,https://doi.org/10.1016/j.knosys.2024.112945,article,Knowledge-Based Systems,https://openalex.org/W4406062884
