journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Neurocomputing,Elsevier,2025,2025-01-01,A support vector machine formulation for linear and kernel discriminant analysis,F. Dufrenois; K. Jbilou,622,,10.1016/j.neucom.2024.129273,https://doi.org/10.1016/j.neucom.2024.129273,article,Neurocomputing,https://openalex.org/W4405963914
Neurocomputing,Elsevier,2025,2025-01-01,Adaptive neural fault-tolerant consensus tracking for input-delayed multi-agent systems with quantized states/input and application on mechanical systems,Yadong Yang; Jiyu Zhu; Qikun Shen,621,,10.1016/j.neucom.2024.129299,https://doi.org/10.1016/j.neucom.2024.129299,article,Neurocomputing,https://openalex.org/W4405963905
Neurocomputing,Elsevier,2025,2025-01-01,Adaptive optimal consensus of nonlinear multi-agent systems with unknown dynamics using off-policy integral reinforcement learning,Lei Yan; Zhi Liu; C.L. Philip Chen; Yun Zhang; Zongze Wu,621,,10.1016/j.neucom.2024.129185,https://doi.org/10.1016/j.neucom.2024.129185,article,Neurocomputing,https://openalex.org/W4405931358
Neurocomputing,Elsevier,2025,2025-01-01,EOOD: End-to-end oriented object detection,Caiguang Zhang; Zilong Chen; Boli Xiong; Kefeng Ji; Gangyao Kuang,621,,10.1016/j.neucom.2024.129251,https://doi.org/10.1016/j.neucom.2024.129251,article,Neurocomputing,https://openalex.org/W4405963940
Neurocomputing,Elsevier,2025,2025-01-01,EPCTS: Enhanced Prompt-Aware Cross-Prompt Essay Trait Scoring,Jiangsong Xu; Jian Liu; Ming‐Wei Lin; Jiayin Lin; Shenbao Yu; Liang Zhao; Jun Shen,621,,10.1016/j.neucom.2024.129283,https://doi.org/10.1016/j.neucom.2024.129283,article,Neurocomputing,https://openalex.org/W4405963790
Neurocomputing,Elsevier,2025,2025-01-01,Observer-based edge-consensus for fractional-order uncertain nodal networks with positive constraint,Yanyan Ye; Yanfang Rong; Yaping Sun; Housheng Su; Viacheslav P. Shkodyrev,622,,10.1016/j.neucom.2024.129302,https://doi.org/10.1016/j.neucom.2024.129302,article,Neurocomputing,https://openalex.org/W4405963720
Neurocomputing,Elsevier,2025,2025-01-01,PINR: A physics-integrated neural representation for dynamic fluid scenes,Ziyu Zhao; Sifan Zhou; Xiaobo Lu; Weili Zeng; Jian Qian,621,,10.1016/j.neucom.2024.129250,https://doi.org/10.1016/j.neucom.2024.129250,article,Neurocomputing,https://openalex.org/W4405955122
Neurocomputing,Elsevier,2025,2025-01-01,SYN-PBOX: A large-scale benchmark dataset of box-shaped objects for scene understanding of bin picking,Jiale Cui; Jinlong Shi; Caisheng Liu; Suqin Bai; Xin Shu; Xin Zuo; Qiang Qian; Dan  yang Xu; Haoran Deng,621,,10.1016/j.neucom.2024.129215,https://doi.org/10.1016/j.neucom.2024.129215,article,Neurocomputing,https://openalex.org/W4405963830
Neurocomputing,Elsevier,2025,2025-01-01,dlordinal: A Python package for deep ordinal classification,Francisco Bérchez-Moreno; Rafael Ayllón-Gavilán; Víctor Manuel Vargas; David Guijo-Rubio; César Hervás‐Martínez; Juan Carlos Fernández Fernández; Pedro Antonio Gutiérrez,622,,10.1016/j.neucom.2024.129305,https://doi.org/10.1016/j.neucom.2024.129305,software-paper,Neurocomputing,https://openalex.org/W4405931175
Neurocomputing,Elsevier,2025,2025-01-02,A crisis event classification method based on a multimodal multilayer graph model,Jing Wang; Shuo Yang; Hui Ran Zhao; Yanyan Chen,621,,10.1016/j.neucom.2024.129271,https://doi.org/10.1016/j.neucom.2024.129271,article,Neurocomputing,https://openalex.org/W4406011563
