journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Robotics and Autonomous Systems,Elsevier,2025,2025-01-01,An algorithm for dynamic obstacle avoidance applied to UAVs,Julian Rascon Enriquez; Bernardino Castillo–Toledo; S. Di Gennaro; L. A. García-Delgado,186,,10.1016/j.robot.2024.104907,https://doi.org/10.1016/j.robot.2024.104907,article,Robotics and Autonomous Systems,https://openalex.org/W4405955107
Robotics and Autonomous Systems,Elsevier,2025,2025-01-02,A Signal Temporal Logic approach for task-based coordination of multi-aerial systems: A wind turbine inspection case study,Giuseppe Silano; Alvaro Caballero; Davide Liuzza; Luigi Iannelli; Stjepan Bogdan; Martin Saska,186,,10.1016/j.robot.2024.104905,https://doi.org/10.1016/j.robot.2024.104905,article,Robotics and Autonomous Systems,https://openalex.org/W4405987227
Robotics and Autonomous Systems,Elsevier,2025,2025-01-02,Active control strategy of lower limb exoskeleton based on variable admittance control,Jiange Kou; Yixuan Wang; Yan Shi; Shaofeng Xu; Haoran Zhan; Qing Juan Guo,186,,10.1016/j.robot.2024.104906,https://doi.org/10.1016/j.robot.2024.104906,article,Robotics and Autonomous Systems,https://openalex.org/W4405982377
Robotics and Autonomous Systems,Elsevier,2025,2025-01-02,LLM-controller: Dynamic robot control adaptation using large language models,Rasoul Zahedifar; Mahdieh Soleymani Baghshah; Alireza Taheri,186,,10.1016/j.robot.2024.104913,https://doi.org/10.1016/j.robot.2024.104913,article,Robotics and Autonomous Systems,https://openalex.org/W4406011753
Robotics and Autonomous Systems,Elsevier,2025,2025-01-05,Interaction-aware motion planning and control based on game theory with human-in-the-loop validation,Mohamed-Khalil Bouzidi; Ehsan Hashemi,186,,10.1016/j.robot.2024.104908,https://doi.org/10.1016/j.robot.2024.104908,article,Robotics and Autonomous Systems,https://openalex.org/W4406062970
Robotics and Autonomous Systems,Elsevier,2025,2025-01-06,AI algorithm for predicting and optimizing trajectory of massive UAV swarm,Amit Raj; Kapil Ahuja; Yann Busnel,186,,10.1016/j.robot.2024.104910,https://doi.org/10.1016/j.robot.2024.104910,article,Robotics and Autonomous Systems,https://openalex.org/W4406109238
Robotics and Autonomous Systems,Elsevier,2025,2025-01-06,Position-based acoustic visual servo control for docking of autonomous underwater vehicle using deep reinforcement learning,Zhao Wang; Xianbo Xiang; Xinyang Xiong; Shaolong Yang,186,,10.1016/j.robot.2024.104914,https://doi.org/10.1016/j.robot.2024.104914,article,Robotics and Autonomous Systems,https://openalex.org/W4406109221
Robotics and Autonomous Systems,Elsevier,2025,2025-01-11,A knowledge-driven framework for Robotic Odor Source Localization using large language models,Khan Raqib Mahmud; Lingxiao Wang; Sunzid Hassan; Zheng Zhang,186,,10.1016/j.robot.2025.104915,https://doi.org/10.1016/j.robot.2025.104915,article,Robotics and Autonomous Systems,https://openalex.org/W4406277701
Robotics and Autonomous Systems,Elsevier,2025,2025-01-12,A dynamic and static combined camera-IMU extrinsic calibration method based on continuous-time trajectory estimation,Wenlan Ouyang; Wanbiao Lin; Lei Sun,186,,10.1016/j.robot.2025.104916,https://doi.org/10.1016/j.robot.2025.104916,article,Robotics and Autonomous Systems,https://openalex.org/W4406291853
Robotics and Autonomous Systems,Elsevier,2025,2025-01-13,An expedited BDI agent architecture: Improving the responsiveness of agent-based autonomous systems for handling critical situations,Leandro Buss Becker; Iago de Oliveira Silvestre; Jomi Fred Hübner; Michael Fisher,186,,10.1016/j.robot.2025.104917,https://doi.org/10.1016/j.robot.2025.104917,article,Robotics and Autonomous Systems,https://openalex.org/W4406309509
Robotics and Autonomous Systems,Elsevier,2025,2025-01-13,Semi-autonomous unmanned aerial manipulator teleoperation for push-and-slide inspection using parallel force/vision control,Simone D’Angelo; Mario Selvaggio; Vincenzo Lippiello; Fabio Ruggiero,186,,10.1016/j.robot.2024.104912,https://doi.org/10.1016/j.robot.2024.104912,article,Robotics and Autonomous Systems,https://openalex.org/W4406308669
Robotics and Autonomous Systems,Elsevier,2025,2025-01-15,Formation tracking theory and experiment for leader-following quadrotor swarm under optical motion capture localization system,Hongtao Dang; Shijing Guo; Jianxiang Xi; Feng Wang; Cheng Wang; Yuanshi Zheng,186,,10.1016/j.robot.2025.104918,https://doi.org/10.1016/j.robot.2025.104918,article,Robotics and Autonomous Systems,https://openalex.org/W4406408818
Robotics and Autonomous Systems,Elsevier,2025,2025-01-17,A design procedure for a novel concept of shape-memory-alloy-actuated finger exoskeleton,Elio Matteo Curcio; Giuseppe Carbone,187,,10.1016/j.robot.2025.104919,https://doi.org/10.1016/j.robot.2025.104919,article,Robotics and Autonomous Systems,https://openalex.org/W4406445699
Robotics and Autonomous Systems,Elsevier,2025,2025-01-17,Three-dimensional magnetometer calibration using higher order models embedded into neural networks,Jon Cowart; Jan Petrich,186,,10.1016/j.robot.2024.104903,https://doi.org/10.1016/j.robot.2024.104903,article,Robotics and Autonomous Systems,https://openalex.org/W4406445704
Robotics and Autonomous Systems,Elsevier,2025,2025-01-18,dGrasp: NeRF-Informed implicit grasp policies with supervised optimization slopes,Gergely Sóti; Xi Huang; Christian Wurll; Björn Hein,186,,10.1016/j.robot.2025.104921,https://doi.org/10.1016/j.robot.2025.104921,article,Robotics and Autonomous Systems,https://openalex.org/W4406549985
Robotics and Autonomous Systems,Elsevier,2025,2025-01-21,RainSD: Rain style diversification module for image synthesis enhancement using feature-level style distribution,Hyeonjae Jeon; Junghyun Seo; Tae Soo Kim; Sungho Son; Jungki Lee; Gyeungho Choi; Yongseob Lim,186,,10.1016/j.robot.2025.104922,https://doi.org/10.1016/j.robot.2025.104922,article,Robotics and Autonomous Systems,https://openalex.org/W4406606547
Robotics and Autonomous Systems,Elsevier,2025,2025-01-22,Efficiency-optimized path planning algorithm for car-like mobile robots in bilateral constraint corridor environments,Junkui Zhong; Deyi Kong; Yuliang Wei; Xiaojuan Hu; Yang Yang,186,,10.1016/j.robot.2025.104923,https://doi.org/10.1016/j.robot.2025.104923,article,Robotics and Autonomous Systems,https://openalex.org/W4406737304
Robotics and Autonomous Systems,Elsevier,2025,2025-01-24,An integral terminal sliding mode-based adaptive control approach for traversing unknown inclined surfaces,Lin Zhang; Lei Chen; Muhammad Saqib; Baoyu Wang; Pengjie Xu; Yanzheng Zhao,186,,10.1016/j.robot.2025.104928,https://doi.org/10.1016/j.robot.2025.104928,article,Robotics and Autonomous Systems,https://openalex.org/W4406786952
Robotics and Autonomous Systems,Elsevier,2025,2025-01-25,Time-bounded planning with uncertain task duration distributions,Michal Staniaszek; Lara Brudermüller; Yang You; Raunak Bhattacharyya; Bruno Lacerda; Nick Hawes,186,,10.1016/j.robot.2025.104926,https://doi.org/10.1016/j.robot.2025.104926,article,Robotics and Autonomous Systems,https://openalex.org/W4406821836
