journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Cognitive Systems Research,Elsevier,2025,2025-01-01,Corrigendum to “Detection of semantic inconsistencies of motor actions: From language to praxis” [Cognit. Syst. Res. 88 (2024) 1–13/101292],Rubén Torres Agustín; Zareth Bonilla González; Mario A. Rodríguez Camacho; Sebastián Almonte; Wendy Fabiola Lara Galindo; Francisco Abelardo Robles Aguirre,89,,10.1016/j.cogsys.2025.101323,https://doi.org/10.1016/j.cogsys.2025.101323,erratum,Cognitive Systems Research,https://openalex.org/W4406254738
Cognitive Systems Research,Elsevier,2025,2025-01-01,Editorial Board,,89,,10.1016/s1389-0417(25)00010-5,https://doi.org/10.1016/s1389-0417(25)00010-5,paratext,Cognitive Systems Research,https://openalex.org/W4406410423
Cognitive Systems Research,Elsevier,2025,2025-01-05,Constructivist procedural learning for grounded cognitive agents,Sean Kugele,90,,10.1016/j.cogsys.2025.101321,https://doi.org/10.1016/j.cogsys.2025.101321,article,Cognitive Systems Research,https://openalex.org/W4406078963
Cognitive Systems Research,Elsevier,2025,2025-01-07,Cognitive modeling based on geotagged pictures of urban landscapes using mobile electroencephalogram signals and machine learning models,Farbod Farhangi; Abolghasem Sadeghi‐Niaraki; Seyed Vahid Razavi-Termeh; Farimah Farhangi; Soo-Mi Choi,90,,10.1016/j.cogsys.2025.101324,https://doi.org/10.1016/j.cogsys.2025.101324,article,Cognitive Systems Research,https://openalex.org/W4406140891
Cognitive Systems Research,Elsevier,2025,2025-01-07,Complete tableau calculi for Regular MaxSAT and Regular MinSAT,Jordi Coll; Chu-Min Li; Felip Manyà; Elifnaz Yangin,90,,10.1016/j.cogsys.2024.101319,https://doi.org/10.1016/j.cogsys.2024.101319,article,Cognitive Systems Research,https://openalex.org/W4406142828
Cognitive Systems Research,Elsevier,2025,2025-01-08,Computational model for affective processing based on Cognitive Sciences: An approach using deterministic finite automata’s and temporal heterogeneity,Carlos ZARATE-TREJO; Félix Ramos; Alan Christian López Fraga,90,,10.1016/j.cogsys.2025.101322,https://doi.org/10.1016/j.cogsys.2025.101322,article,Cognitive Systems Research,https://openalex.org/W4406121475
Cognitive Systems Research,Elsevier,2025,2025-01-15,A study of conceptual primitive elimination: Embedding INGEST into PTRANS,Jamie Macbeth; Alexis Kilayko,90,,10.1016/j.cogsys.2025.101325,https://doi.org/10.1016/j.cogsys.2025.101325,article,Cognitive Systems Research,https://openalex.org/W4406413294
Cognitive Systems Research,Elsevier,2025,2025-01-20,Building a Cognitive Twin using a distributed cognitive system and an evolution strategy,Wandemberg Gibaut; Ricardo Gudwin,90,,10.1016/j.cogsys.2025.101326,https://doi.org/10.1016/j.cogsys.2025.101326,article,Cognitive Systems Research,https://openalex.org/W4406598211
Cognitive Systems Research,Elsevier,2025,2025-02-06,Combination of reward-modulated spike-timing dependent plasticity and temporal difference long-term potentiation in actor–critic spiking neural network,Yunes Tihomirov; Roman B. Rybka; Alexey Serenko; Alexander Sboev,90,,10.1016/j.cogsys.2025.101334,https://doi.org/10.1016/j.cogsys.2025.101334,article,Cognitive Systems Research,https://openalex.org/W4407230387
Cognitive Systems Research,Elsevier,2025,2025-02-11,A neurosymbolic approach to authorship anonymization,Marjorie J. McShane; Sergei Nirenburg; Christian Arndt; Sanjay Oruganti; Jesse English,92,,10.1016/j.cogsys.2025.101335,https://doi.org/10.1016/j.cogsys.2025.101335,article,Cognitive Systems Research,https://openalex.org/W4407425233
Cognitive Systems Research,Elsevier,2025,2025-02-22,Human guided empathetic AI agent for mental health support leveraging reinforcement learning-enhanced retrieval-augmented generation,Gayathri Soman; M. V. Judy; Aadhil Muhammad Abou,90,,10.1016/j.cogsys.2025.101337,https://doi.org/10.1016/j.cogsys.2025.101337,article,Cognitive Systems Research,https://openalex.org/W4407852580
Cognitive Systems Research,Elsevier,2025,2025-02-24,Neurons as autonomous agents: A biologically inspired framework for cognitive architectures in artificial intelligence,Artur Luczak,90,,10.1016/j.cogsys.2025.101338,https://doi.org/10.1016/j.cogsys.2025.101338,article,Cognitive Systems Research,https://openalex.org/W4407893628
Cognitive Systems Research,Elsevier,2025,2025-03-03,Active exploration and working memory synaptic plasticity shapes goal-directed behavior in curiosity-driven learning,Quentin Houbre; Roel Pieters,91,,10.1016/j.cogsys.2025.101339,https://doi.org/10.1016/j.cogsys.2025.101339,article,Cognitive Systems Research,https://openalex.org/W4408094751
Cognitive Systems Research,Elsevier,2025,2025-03-04,Circling the void: Using Heidegger and Lacan to think about large language models,Marc Heimann; Anne-Friederike Hübener,91,,10.1016/j.cogsys.2025.101349,https://doi.org/10.1016/j.cogsys.2025.101349,article,Cognitive Systems Research,https://openalex.org/W4408148562
Cognitive Systems Research,Elsevier,2025,2025-03-04,The effect of visual working memory consolidation on long-term memory for Chinese characters,Li Chen; Yuhuan Chen; Li Wang; Chunyin Wang,91,,10.1016/j.cogsys.2025.101348,https://doi.org/10.1016/j.cogsys.2025.101348,article,Cognitive Systems Research,https://openalex.org/W4408108036
Cognitive Systems Research,Elsevier,2025,2025-03-05,Human robot interaction (HRI): An artificial cognitive autonomy approach to enhance Decision-Making,Walter Teixeira Lima; Rudinei André Welter; Wellington Pacheco Ferreira; Rodrigo Ferreira Souza; Tiago Eduardo,91,,10.1016/j.cogsys.2025.101336,https://doi.org/10.1016/j.cogsys.2025.101336,article,Cognitive Systems Research,https://openalex.org/W4408393095
Cognitive Systems Research,Elsevier,2025,2025-03-06,Editorial Board,,90,,10.1016/s1389-0417(25)00023-3,https://doi.org/10.1016/s1389-0417(25)00023-3,paratext,Cognitive Systems Research,https://openalex.org/W4408191553
Cognitive Systems Research,Elsevier,2025,2025-03-11,Navigating the complex dynamics of human-automation driving: A guide to the use of the dynamical systems analysis (DSA) toolbox,Tri Nguyen; Corey Magaldino; Jayci T. Landfair; Polemnia G. Amazeen; Mustafa Demir; Lixiao Huang; Nancy J. Cooke,91,,10.1016/j.cogsys.2025.101347,https://doi.org/10.1016/j.cogsys.2025.101347,article,Cognitive Systems Research,https://openalex.org/W4408327944
Cognitive Systems Research,Elsevier,2025,2025-03-22,Towards visual-symbolic integration in the Soar cognitive architecture,James Boggs,91,,10.1016/j.cogsys.2025.101353,https://doi.org/10.1016/j.cogsys.2025.101353,article,Cognitive Systems Research,https://openalex.org/W4408739922
Cognitive Systems Research,Elsevier,2025,2025-03-23,A graph reinforcement LearningPowered Online-Computational task offloading and latency minimization framework for wireless mobile edge computing networks,Akshat Agrawal; Aayush Agrawal; Nilesh Kumar Verma; Arepalli Peda Gopi; K. Jairam Naik,91,,10.1016/j.cogsys.2025.101355,https://doi.org/10.1016/j.cogsys.2025.101355,article,Cognitive Systems Research,https://openalex.org/W4408750569
Cognitive Systems Research,Elsevier,2025,2025-04-03,A general framework for reinforcement learning in cognitive architectures,Gustavo Morais; Eduardo Yuji; Paula Dornhofer Paro Costa; Alexandre da Silva Simões; Ricardo Gudwin; Esther Luna Colombini,91,,10.1016/j.cogsys.2025.101354,https://doi.org/10.1016/j.cogsys.2025.101354,article,Cognitive Systems Research,https://openalex.org/W4409121723
Cognitive Systems Research,Elsevier,2025,2025-04-04,Eliciting metaknowledge in Large Language Models,Fabio Longo; Misael Mongiovı̀; Luana Bulla; Antonio Lieto,91,,10.1016/j.cogsys.2025.101352,https://doi.org/10.1016/j.cogsys.2025.101352,article,Cognitive Systems Research,https://openalex.org/W4409157190
Cognitive Systems Research,Elsevier,2025,2025-04-06,Multimodal metaphor recognition based on chain-of-cognition prompting,Dongyu Zhang; Xingyuan Lu; Mulin Zhuang; Senqi Yang; Hongjun Chen,91,,10.1016/j.cogsys.2025.101356,https://doi.org/10.1016/j.cogsys.2025.101356,article,Cognitive Systems Research,https://openalex.org/W4409200498
Cognitive Systems Research,Elsevier,2025,2025-04-20,Hidden rules of visual perception in the Rorschach test,Stanislav Matousek; Pavel Škobrtal; Radim Badošek,91,,10.1016/j.cogsys.2025.101359,https://doi.org/10.1016/j.cogsys.2025.101359,article,Cognitive Systems Research,https://openalex.org/W4409605294
Cognitive Systems Research,Elsevier,2025,2025-04-21,The interplay of hot and cool executive functions: Implications for a unified executive framework,Stjepan Sambol; Emra Suleyman; Michelle Ball,91,,10.1016/j.cogsys.2025.101360,https://doi.org/10.1016/j.cogsys.2025.101360,article,Cognitive Systems Research,https://openalex.org/W4409644104
Cognitive Systems Research,Elsevier,2025,2025-04-27,"Trust, distrust, and appropriate reliance in (X)AI: A conceptual clarification of user trust and survey of its empirical evaluation",Roel W. Visser; Tobias M. Peters; Ingrid Scharlau; Barbara Hammer,91,,10.1016/j.cogsys.2025.101357,https://doi.org/10.1016/j.cogsys.2025.101357,article,Cognitive Systems Research,https://openalex.org/W4409859788
Cognitive Systems Research,Elsevier,2025,2025-04-28,"Analyzing aesthetics, attractiveness and color of gastronomic images for user engagement",Vicente Casales-García; Lledó Museros; Ismael Sanz; Luis González Abril,91,,10.1016/j.cogsys.2025.101358,https://doi.org/10.1016/j.cogsys.2025.101358,article,Cognitive Systems Research,https://openalex.org/W4409886313
Cognitive Systems Research,Elsevier,2025,2025-05-17,Image-analysis-based method for exploring factors influencing the visual saliency of signage in metro stations,Mengya Yin; Xilin Zhou; Qunfeng Ji; Huairen Peng; Shize Yang; Chuancheng Li,92,,10.1016/j.cogsys.2025.101362,https://doi.org/10.1016/j.cogsys.2025.101362,article,Cognitive Systems Research,https://openalex.org/W4410461380
Cognitive Systems Research,Elsevier,2025,2025-05-18,Reactive AI feedback Improves task performance over time,Jacquelyn H. Berry,92,,10.1016/j.cogsys.2025.101361,https://doi.org/10.1016/j.cogsys.2025.101361,article,Cognitive Systems Research,https://openalex.org/W4410472909
Cognitive Systems Research,Elsevier,2025,2025-05-19,Editorial Board,,91,,10.1016/s1389-0417(25)00046-4,https://doi.org/10.1016/s1389-0417(25)00046-4,paratext,Cognitive Systems Research,https://openalex.org/W4410490528
Cognitive Systems Research,Elsevier,2025,2025-05-27,An integrative model of self-efficacy within a computational cognitive architecture,Ron Sun; Sergei Bugrov; David Yun Dai,92,,10.1016/j.cogsys.2025.101372,https://doi.org/10.1016/j.cogsys.2025.101372,article,Cognitive Systems Research,https://openalex.org/W4410774857
Cognitive Systems Research,Elsevier,2025,2025-05-31,Foxtsage vs. Adam: Revolution or evolution in optimization?,Sirwan A. Aula; Tarik Ahmed Rashid,92,,10.1016/j.cogsys.2025.101373,https://doi.org/10.1016/j.cogsys.2025.101373,article,Cognitive Systems Research,https://openalex.org/W4410909497
Cognitive Systems Research,Elsevier,2025,2025-06-04,Efficient and scalable masked word prediction using concept formation,Xin Lian; Zekun Wang; Christopher J. MacLellan,92,,10.1016/j.cogsys.2025.101371,https://doi.org/10.1016/j.cogsys.2025.101371,article,Cognitive Systems Research,https://openalex.org/W4411011427
Cognitive Systems Research,Elsevier,2025,2025-06-21,Robot manipulation in everyday activities with the CRAM 2.0 cognitive architecture and generalized action plans,Michael Beetz; Gayane Kazhoyan; David S. G. Vernon,92,,10.1016/j.cogsys.2025.101375,https://doi.org/10.1016/j.cogsys.2025.101375,article,Cognitive Systems Research,https://openalex.org/W4411504054
Cognitive Systems Research,Elsevier,2025,2025-07-03,The construction and implementation direction of personalized learning model based on multimodal data fusion in the context of intelligent education,Xingle Ji; Lu Sun; Kun Huang,92,,10.1016/j.cogsys.2025.101379,https://doi.org/10.1016/j.cogsys.2025.101379,article,Cognitive Systems Research,https://openalex.org/W4411992312
Cognitive Systems Research,Elsevier,2025,2025-07-04,Towards knowledge autonomy in the Companion cognitive architecture,Constantine Nakos; Kenneth D. Forbus,92,,10.1016/j.cogsys.2025.101378,https://doi.org/10.1016/j.cogsys.2025.101378,article,Cognitive Systems Research,https://openalex.org/W4412026875
Cognitive Systems Research,Elsevier,2025,2025-07-07,Towards naturalized phenomenology: Dynamics of space–time clouds and power law of working memory,Ihor Lubashevsky; Vasily Lubashevskiy,92,,10.1016/j.cogsys.2025.101374,https://doi.org/10.1016/j.cogsys.2025.101374,article,Cognitive Systems Research,https://openalex.org/W4412084427
Cognitive Systems Research,Elsevier,2025,2025-07-16,Selective visual memory replay with self-evaluation in cognitive robots based on global workspace framework,Wenjie Huang; Antonio Chella; Angelo Cangelosi,92,,10.1016/j.cogsys.2025.101377,https://doi.org/10.1016/j.cogsys.2025.101377,article,Cognitive Systems Research,https://openalex.org/W4412459412
