journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
AI Open,Elsevier,2025,2025-01-01,ADAP: Adaptive & Dynamic Arc Padding for predicting seam profiles in Multi-Layer-Multi-Pass robotic welding,He Wang; Sen Li; Xiaobo Liu; Chengxiao Dong; Fang Wan,6,,10.1016/j.aiopen.2025.10.003,https://doi.org/10.1016/j.aiopen.2025.10.003,article,AI Open,https://openalex.org/W4415423742
AI Open,Elsevier,2025,2025-01-01,Advancing AI for science: From the revolution of tools to the tools for revolution,Bowen Zhou; Ning Ding; Lei Bai; Hao Zhou,6,,10.1016/j.aiopen.2025.11.002,https://doi.org/10.1016/j.aiopen.2025.11.002,article,AI Open,https://openalex.org/W4416931044
AI Open,Elsevier,2025,2025-01-01,"ChatLLM network: More brains, more intelligence",Rui Hao; Linmei Hu; Weijian Qi; Qingliu Wu; Yirui Zhang; Liqiang Nie,6,,10.1016/j.aiopen.2025.01.001,https://doi.org/10.1016/j.aiopen.2025.01.001,article,AI Open,https://openalex.org/W4407405968
AI Open,Elsevier,2025,2025-01-01,Client: Cross-variable linear integrated enhanced transformer for multivariate long-term time series forecasting,Jiaxin Gao; Wenbo Hu; Dongxiao Zhang; Yuntian Chen,6,,10.1016/j.aiopen.2025.06.001,https://doi.org/10.1016/j.aiopen.2025.06.001,article,AI Open,https://openalex.org/W4412448734
AI Open,Elsevier,2025,2025-01-01,Computer audition for healthcare: A survey on speech analysis,Kun Qian; Zhonghao Zhao; Yang Tan; Weijia Zhang; MinKi Cho; Cuiping Zhu; Fuze Tian; Bin Hu; Yoshiharu Yamamoto; Björn Wolfgang Schuller,6,,10.1016/j.aiopen.2025.10.001,https://doi.org/10.1016/j.aiopen.2025.10.001,article,AI Open,https://openalex.org/W4415629031
AI Open,Elsevier,2025,2025-01-01,Corrigendum regarding updated Declaration of Competing Interest statement in previously published articles,,6,,10.1016/j.aiopen.2025.12.001,https://doi.org/10.1016/j.aiopen.2025.12.001,erratum,AI Open,https://openalex.org/W4417214055
AI Open,Elsevier,2025,2025-01-01,DFM: Dialogue foundation model for universal large-scale dialogue-oriented task learning,Zhi Chen; Da Ma; Hanqi Li; Lu Chen; Jiabao Ji; Yuncong Liu; Bei Chen; Mengyue Wu; Su Zhu; Xin Dong; Fujiang Ge; Qingliang Miao; Jian–Guang Lou; Shuai Fan; Kai Yu,6,,10.1016/j.aiopen.2025.04.001,https://doi.org/10.1016/j.aiopen.2025.04.001,article,AI Open,https://openalex.org/W4411965829
AI Open,Elsevier,2025,2025-01-01,FedGPA: Federated Learning with Global Personalized Aggregation,Zongfu Han; Yu Feng; Yifan Zhu; Zhen Tian; Fangyu Hao; Meina Song,6,,10.1016/j.aiopen.2025.03.001,https://doi.org/10.1016/j.aiopen.2025.03.001,article,AI Open,https://openalex.org/W4409472152
AI Open,Elsevier,2025,2025-01-01,From tools to partners: How large language models are transforming urban planning,Fang Pan; Xiaolin Huang; Y. J. Bi; Yunfan Gao; Ye Yu; Haofen Wang,6,,10.1016/j.aiopen.2025.11.001,https://doi.org/10.1016/j.aiopen.2025.11.001,article,AI Open,https://openalex.org/W4416561620
AI Open,Elsevier,2025,2025-01-01,LLMKG＋: Systematically improving knowledge quality and coverage in KGs using LLMs – A case study in medical domain,Xincan Feng; Hejie Cui; Kumiko Hayashi; Huy Hien Vu; Kenta T. Suzuki; Noriki Nishida; Hidetaka Kamigaito; Yūji Matsumoto; Taro Watanabe; Carl Yang,6,,10.1016/j.aiopen.2025.11.003,https://doi.org/10.1016/j.aiopen.2025.11.003,article,AI Open,https://openalex.org/W4416548930
AI Open,Elsevier,2025,2025-01-01,Methodologies and their comparison in complex compound aspect-based sentiment analysis: A survey,Faiz Ghifari Haznitrama; Hojin Choi; Chin‐Wan Chung,6,,10.1016/j.aiopen.2025.02.002,https://doi.org/10.1016/j.aiopen.2025.02.002,article,AI Open,https://openalex.org/W4408168514
AI Open,Elsevier,2025,2025-01-01,Multi-scale texture loss for CT denoising with GANs,Francesco Di Feola; Lorenzo Tronchin; Valerio Guarrasi; Paolo Soda,6,,10.1016/j.aiopen.2025.09.001,https://doi.org/10.1016/j.aiopen.2025.09.001,article,AI Open,https://openalex.org/W4393213490
AI Open,Elsevier,2025,2025-01-01,Multi-spatial Semantic Information Aggregation Network for 3D Human Motion Prediction,Dong He; Jianqi Zhong; Jianhua Ji; Wenming Cao,6,,10.1016/j.aiopen.2025.08.002,https://doi.org/10.1016/j.aiopen.2025.08.002,article,AI Open,https://openalex.org/W4413940603
AI Open,Elsevier,2025,2025-01-01,"Multimodal marvels of deep learning in medical diagnosis using image, speech, and text: A comprehensive review of COVID-19 detection",Md. Shofiqul Islam; Khondokar Fida Hasan; Hasibul Hossain Shajeeb; Humayan Kabir Rana; Md. Saifur Rahman; Md. Munirul Hasan; AKM Azad; Ibrahim Abdullah; Mohammad Ali Moni,6,,10.1016/j.aiopen.2025.01.003,https://doi.org/10.1016/j.aiopen.2025.01.003,article,AI Open,https://openalex.org/W4406741908
AI Open,Elsevier,2025,2025-01-01,Optimal RoPE extension via Bayesian Optimization for training-free length generalization,X. Zhang; Shengding Hu; Weilin Zhao; Huadong Wang; Xu Han; Chaoqun He; Guoyang Zeng; Zhiyuan Liu; Maosong Sun,6,,10.1016/j.aiopen.2025.01.002,https://doi.org/10.1016/j.aiopen.2025.01.002,article,AI Open,https://openalex.org/W4406121276
AI Open,Elsevier,2025,2025-01-01,Proactive Recommendation in Social Networks: Steering user interest with causal inference,Hang Pan; Shuxian Bi; Wenjie Wang; Haoxuan Li; Peng Wu; Fuli Feng,6,,10.1016/j.aiopen.2025.08.003,https://doi.org/10.1016/j.aiopen.2025.08.003,article,AI Open,https://openalex.org/W4413915975
AI Open,Elsevier,2025,2025-01-01,Robust emotion recognition using hybrid Bayesian LSTM based on Laban movement analysis,Shuang Wu; Daniela Maria Romano,6,,10.1016/j.aiopen.2025.09.002,https://doi.org/10.1016/j.aiopen.2025.09.002,article,AI Open,https://openalex.org/W4414715406
