journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,A systematic review for transformer-based long-term series forecasting,Liyilei Su; Xumin Zuo; Rui Li; Xin Wang; Heng Li Zhao; Bingding Huang,58,3,10.1007/s10462-024-11044-2,https://doi.org/10.1007/s10462-024-11044-2,review,Artificial Intelligence Review,https://openalex.org/W4406080987
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,"A systematic survey on human pose estimation: upstream and downstream tasks, approaches, lightweight models, and prospects",Zheyan Gao; Jinyan Chen; Yuxin Liu; Yucheng Jin; Dingxiaofei Tian,58,3,10.1007/s10462-024-11060-2,https://doi.org/10.1007/s10462-024-11060-2,article,Artificial Intelligence Review,https://openalex.org/W4406081037
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Advancing paleontology: a survey on deep learning methodologies in fossil image analysis,Mohammed Yaqoob; Mohammed Ishaq Mohammed; Mohammed Yusuf Ansari; Yemna Qaiser; Rehaan Hussain; Harris Sajjad Rabbani; Russell J. Garwood; Thomas Seers,58,3,10.1007/s10462-024-11080-y,https://doi.org/10.1007/s10462-024-11080-y,article,Artificial Intelligence Review,https://openalex.org/W4406113259
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Adversarial regularize graph variational autoencoder based on encoder optimization strategy,Jin Dai; Yanhui Peng; Guoyin Wang; Feng Hu,58,3,10.1007/s10462-024-11068-8,https://doi.org/10.1007/s10462-024-11068-8,article,Artificial Intelligence Review,https://openalex.org/W4406113689
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Approximate homomorphic encryption based privacy-preserving machine learning: a survey,Jiangjun Yuan; Weinan Liu; Jiawen Shi; Qingqing Li,58,3,10.1007/s10462-024-11076-8,https://doi.org/10.1007/s10462-024-11076-8,article,Artificial Intelligence Review,https://openalex.org/W4406080953
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Artificial lemming algorithm: a novel bionic meta-heuristic technique for solving real-world engineering optimization problems,Yaning Xiao; Hao Cui; Ruba Abu Khurma; Pedro Ángel Castillo,58,3,10.1007/s10462-024-11023-7,https://doi.org/10.1007/s10462-024-11023-7,article,Artificial Intelligence Review,https://openalex.org/W4406080942
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Beyond one-shot explanations: a systematic literature review of dialogue-based xAI approaches,Dimitry Mindlin; Fabian Beer; Leonie Nora Sieger; Stefan Heindorf; Elena Esposito; Axel-Cyrille Ngonga Ngomo; Philipp Cimiano,58,3,10.1007/s10462-024-11007-7,https://doi.org/10.1007/s10462-024-11007-7,review,Artificial Intelligence Review,https://openalex.org/W4406081052
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Improving Real Estate Investment Trusts (REITs) time-series prediction accuracy using machine learning and technical analysis indicators,Fatim Z. Habbab; Michael Kampouridis; Tasos Papastylianou,58,3,10.1007/s10462-024-11037-1,https://doi.org/10.1007/s10462-024-11037-1,article,Artificial Intelligence Review,https://openalex.org/W4406081070
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,Modified LSHADE-SPACMA with new mutation strategy and external archive mechanism for numerical optimization and point cloud registration,Shengwei Fu; Chi Ma; Ke Li; Cankun Xie; Qingsong Fan; Haisong Huang; Jiangxue Xie; Guozhang Zhang; Mingyang Yu,58,3,10.1007/s10462-024-11053-1,https://doi.org/10.1007/s10462-024-11053-1,article,Artificial Intelligence Review,https://openalex.org/W4406113379
Artificial Intelligence Review,Springer Nature,2025,2025-01-05,QSHO: Quantum spotted hyena optimizer for global optimization,Tapas Si; Pericles B. C. de Miranda; Utpal Nandi; Nanda Dulal Jana; Ujjwal Maulik; Saurav Mallik; Mohd Asif Shah,58,3,10.1007/s10462-024-11072-y,https://doi.org/10.1007/s10462-024-11072-y,article,Artificial Intelligence Review,https://openalex.org/W4406113674
