journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Machine Learning,Springer Nature,2025,2025-01-01,A survey on self-supervised learning for non-sequential tabular data,Wei‐Yao Wang; Weiwei Du; Derek Xu; Wei Wang; Wen-Chih Peng,114,1,10.1007/s10994-024-06674-0,https://doi.org/10.1007/s10994-024-06674-0,article,Machine Learning,https://openalex.org/W4406463978
Machine Learning,Springer Nature,2025,2025-01-01,Adaptive parameters identification for nonlinear dynamics using deep permutation invariant networks,Mouad Elaarabi; Domenico Borzacchiello; Philippe Le Bot; Yves Le Guennec; Sébastien Comas-Cardona,114,1,10.1007/s10994-024-06732-7,https://doi.org/10.1007/s10994-024-06732-7,article,Machine Learning,https://openalex.org/W4406463034
Machine Learning,Springer Nature,2025,2025-01-01,ArithmeticGPT: empowering small-size large language models with advanced arithmetic skills,Zitao Liu; Ying Zheng; Zhibo Yin; Jiahao Chen; Tianqiao Liu; Tian Mi; Weiqi Luo,114,1,10.1007/s10994-024-06681-1,https://doi.org/10.1007/s10994-024-06681-1,book-chapter,Machine Learning,https://openalex.org/W4406524039
Machine Learning,Springer Nature,2025,2025-01-01,Concentration properties of fractional posterior in 1-bit matrix completion,The Tien Mai,114,1,10.1007/s10994-024-06691-z,https://doi.org/10.1007/s10994-024-06691-z,article,Machine Learning,https://openalex.org/W4394867517
Machine Learning,Springer Nature,2025,2025-01-01,Credal ensembling in multi-class classification,Vu-Linh Nguyen; Haifei Zhang; Sébastien Destercke,114,1,10.1007/s10994-024-06703-y,https://doi.org/10.1007/s10994-024-06703-y,article,Machine Learning,https://openalex.org/W4406437131
Machine Learning,Springer Nature,2025,2025-01-01,Deep metric loss for multimodal learning,Sehwan Moon; Hyunju Lee,114,1,10.1007/s10994-024-06709-6,https://doi.org/10.1007/s10994-024-06709-6,article,Machine Learning,https://openalex.org/W4406315048
Machine Learning,Springer Nature,2025,2025-01-01,Efficient federated unlearning under plausible deniability,Ayush K. Varshney; Vicenç Torra,114,1,10.1007/s10994-024-06685-x,https://doi.org/10.1007/s10994-024-06685-x,article,Machine Learning,https://openalex.org/W4406523440
Machine Learning,Springer Nature,2025,2025-01-01,Fair prediction sets through multi-objective hyperparameter optimization,Alberto García‐Galindo; Marcos López-De-Castro; Rubén Armañanzas,114,1,10.1007/s10994-024-06721-w,https://doi.org/10.1007/s10994-024-06721-w,article,Machine Learning,https://openalex.org/W4406524087
Machine Learning,Springer Nature,2025,2025-01-01,Fast online feature selection in streaming data,Yael Hochma; Mark Last,114,1,10.1007/s10994-024-06712-x,https://doi.org/10.1007/s10994-024-06712-x,article,Machine Learning,https://openalex.org/W4406312294
Machine Learning,Springer Nature,2025,2025-01-01,Forecasting short-term passenger flow via CBGC-SCI: an in-depth comparative study on Shenzhen Metro,Yuxin He; Weihang Hong; Lishuai Li; Jinlei Zhang; Jin Qin; Qin Luo,114,1,10.1007/s10994-024-06711-y,https://doi.org/10.1007/s10994-024-06711-y,article,Machine Learning,https://openalex.org/W4406363598
