journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Applied Intelligence,Springer Nature,2025,2025-01-02,Advanced stacking models for machine fault diagnosis with ensemble trees and SVM,Yuhua Liao; Ming Li; Qingshuai Sun; P.L. Li,55,4,10.1007/s10489-024-06206-2,https://doi.org/10.1007/s10489-024-06206-2,article,Applied Intelligence,https://openalex.org/W4405983120
Applied Intelligence,Springer Nature,2025,2025-01-02,An enhanced hybrid adaptive physics-informed neural network for forward and inverse PDE problems,Kuang Luo; Shaolin Liao; Zhong Guan; Baiquan Liu,55,4,10.1007/s10489-024-06195-2,https://doi.org/10.1007/s10489-024-06195-2,article,Applied Intelligence,https://openalex.org/W4406001038
Applied Intelligence,Springer Nature,2025,2025-01-02,Attribute selection for incomplete decision systems by maximizing correlation and independence with mutual granularity,Chucai Zhang; Yongkang Zhang; Jianhua Dai,55,4,10.1007/s10489-024-06170-x,https://doi.org/10.1007/s10489-024-06170-x,article,Applied Intelligence,https://openalex.org/W4406003426
Applied Intelligence,Springer Nature,2025,2025-01-02,Automation of observational gait assessment through an optical 3D motion system and transformers,David Carneros-Prado; Sergio González-Velázquez; Cosmin C. Dobrescu; Iván Lyra González; Jesús Fontecha; Ramón Hervás,55,4,10.1007/s10489-024-06163-w,https://doi.org/10.1007/s10489-024-06163-w,article,Applied Intelligence,https://openalex.org/W4405983028
Applied Intelligence,Springer Nature,2025,2025-01-02,Mapless autonomous navigation for UGV in cluttered off-road environment with the guidance of wayshowers using deep reinforcement learning,Zhijian Li; Li Xu; Jinchao Hu; Xixiang Liu,55,4,10.1007/s10489-024-06054-0,https://doi.org/10.1007/s10489-024-06054-0,article,Applied Intelligence,https://openalex.org/W4406001023
Applied Intelligence,Springer Nature,2025,2025-01-02,Parameters security strategy formulated by hyperchaos in federal learning,Zhen Yang; Tiancheng Yang; Shouliang Li; H.Y. Li,55,4,10.1007/s10489-024-06209-z,https://doi.org/10.1007/s10489-024-06209-z,article,Applied Intelligence,https://openalex.org/W4406002185
Applied Intelligence,Springer Nature,2025,2025-01-02,Tracking-removed neural network with graph information for classification of incomplete data,Xiaochen Lai; Zheng Zhang; Hui Chen; Liyong Zhang; Zhuohan Li; Wei Lu,55,4,10.1007/s10489-024-06031-7,https://doi.org/10.1007/s10489-024-06031-7,article,Applied Intelligence,https://openalex.org/W4406015864
Applied Intelligence,Springer Nature,2025,2025-01-03,CG-MCFNet: cross-layer guidance-based multi-scale correlation fusion network for 3D face recognition,Panzi Zhao; Yue Ming; Hui Ling Yu; Yuting Hu; Jiangwan Zhou; Yuanan Liu,55,4,10.1007/s10489-024-06221-3,https://doi.org/10.1007/s10489-024-06221-3,article,Applied Intelligence,https://openalex.org/W4406036244
Applied Intelligence,Springer Nature,2025,2025-01-03,Comparative study on ballistic impact detection in helicopter transmission shafts using NARX and LSTM models,Vasiliki Christina Panagiotopoulou; Lorenzo Brancato; Emanuele Petriconi; A. Baldi; U. Mariani; Marco Giglio; Claudio Sbarufatti,55,4,10.1007/s10489-024-06118-1,https://doi.org/10.1007/s10489-024-06118-1,article,Applied Intelligence,https://openalex.org/W4406034548
Applied Intelligence,Springer Nature,2025,2025-01-03,Dynamic point-line SLAM based on lightweight object detection,Jiaqi Zhong; Huaming Qian,55,4,10.1007/s10489-024-06164-9,https://doi.org/10.1007/s10489-024-06164-9,article,Applied Intelligence,https://openalex.org/W4406055977
Applied Intelligence,Springer Nature,2025,2025-01-03,Feature selection for label distribution learning using Dempster-Shafer evidence theory,Zhengwei Zhao; Rongrong Wang; Wei Pang; Zhaowen Li,55,4,10.1007/s10489-024-05879-z,https://doi.org/10.1007/s10489-024-05879-z,article,Applied Intelligence,https://openalex.org/W4406055944
