journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Swarm Intelligence,Springer Nature,2025,2025-02-07,Automatic extraction of symbolic models of collective behaviors with graph neural networks and macro-micro evolution,Stephen Powers; Carlo Pinciroli,19,2,10.1007/s11721-025-00247-0,https://doi.org/10.1007/s11721-025-00247-0,article,Swarm Intelligence,https://openalex.org/W4407207418
Swarm Intelligence,Springer Nature,2025,2025-02-27,A Robust DIW Approach for UAV Image Transmission Using PSMD Encryption,José Santamaría López; A. Sai Vasanthi; Manisha Velaga; A. Kumar; B. Kavya; Vinsha Shaik; Saribala Priyanka,,,10.1201/9781032693217-10,https://doi.org/10.1201/9781032693217-10,book-chapter,Swarm Intelligence,https://openalex.org/W4407995374
Swarm Intelligence,Springer Nature,2025,2025-02-27,Attack Resilient Authentication Scheme for Fog-centric IoT Device Systems,Irfan Alam; Zubair Ashraf; Chour Singh Rajpoot,,,10.1201/9781032693217-8,https://doi.org/10.1201/9781032693217-8,book-chapter,Swarm Intelligence,https://openalex.org/W4407995342
Swarm Intelligence,Springer Nature,2025,2025-02-27,Chapter 9 Navigating Ethical Challenges: Frameworks for Swarm Intelligence in Fog Computing,Wasim Khan; Mohammad Ishrat,,,10.1201/9781032693217-9,https://doi.org/10.1201/9781032693217-9,book-chapter,Swarm Intelligence,https://openalex.org/W4407995379
Swarm Intelligence,Springer Nature,2025,2025-02-27,Machine Learning and Deep Learning with Swarm Algorithms,M. Gowri Shankar; Sruthi Sivarajan; Anil Carie; Satish Anamalamudi; Sobin C C,,,10.1201/9781032693217-4,https://doi.org/10.1201/9781032693217-4,book-chapter,Swarm Intelligence,https://openalex.org/W4407995450
Swarm Intelligence,Springer Nature,2025,2025-02-27,Optimal Deployment of Multiple IoT Applications on the Fog Computing,Sai Sri Ram Kumar Macha; Pavan Kumar Chinta; Prajwal Katakam; Md. Muzakkir Hussain; Ilche Georgievski; V. Dinesh Reddy,,,10.1201/9781032693217-3,https://doi.org/10.1201/9781032693217-3,book-chapter,Swarm Intelligence,https://openalex.org/W4407995430
Swarm Intelligence,Springer Nature,2025,2025-02-27,Resource Management in Fog Computing:,A. Surayya; Md. Muzakkir Hussain; V. Dinesh Reddy; Ahsan Halimi; Firoj Gazi,,,10.1201/9781032693217-1,https://doi.org/10.1201/9781032693217-1,book-chapter,Swarm Intelligence,https://openalex.org/W4407995444
Swarm Intelligence,Springer Nature,2025,2025-02-27,Safeguarding User Privacy at the Edge of Fog Computing Networks in Decentralized Distributed Computing,Chandramohan Dhasarathan; Reddy B. Ramachandra; Diwakar Tripathi,,,10.1201/9781032693217-7,https://doi.org/10.1201/9781032693217-7,book-chapter,Swarm Intelligence,https://openalex.org/W4407995417
Swarm Intelligence,Springer Nature,2025,2025-02-27,Search and Rescue Using UAV SWARM in Disaster Management: A Survey,Prakarsh Srivastava; J. Sathish Kumar,,,10.1201/9781032693217-5,https://doi.org/10.1201/9781032693217-5,book-chapter,Swarm Intelligence,https://openalex.org/W4407995464
Swarm Intelligence,Springer Nature,2025,2025-02-27,Swarm Intelligence in IoT and Edge Computing,Reddy Priya Madupuri; Sobin C C; Murali Krishna Enduri; Satish Anamalamudi,,,10.1201/9781032693217-2,https://doi.org/10.1201/9781032693217-2,book-chapter,Swarm Intelligence,https://openalex.org/W4407995470
