journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-01-11,Domain-level relation extraction for informative taxonomy learning,Maodi Hu; Donghuan Song; Lijun Qian; Zhixiong Zhang,39,2,10.1007/s10618-024-01088-x,https://doi.org/10.1007/s10618-024-01088-x,article,Data Mining and Knowledge Discovery,https://openalex.org/W4406274906
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-01-22,Missing value replacement in strings and applications,Giulia Bernardini; Chang Liu; Grigorios Loukides; Alberto Marchetti-Spaccamela; Solon P. Pissis; Leen Stougie; Michelle Sweering,39,2,10.1007/s10618-024-01074-3,https://doi.org/10.1007/s10618-024-01074-3,article,Data Mining and Knowledge Discovery,https://openalex.org/W4406696541
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-02-03,A comparative evaluation of clustering-based outlier detection,Braulio V. Sánchez Vinces; Erich Schubert; Arthur Zimek; Robson L. F. Cordeiro,39,2,10.1007/s10618-024-01086-z,https://doi.org/10.1007/s10618-024-01086-z,article,Data Mining and Knowledge Discovery,https://openalex.org/W4407081847
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-02-14,Proximity forest 2.0: a new effective and scalable similarity-based classifier for time series,Chang Wei Tan; Matthieu Herrmann; Mahsa Amin Salehi; Geoffrey I. Webb,39,2,10.1007/s10618-024-01085-0,https://doi.org/10.1007/s10618-024-01085-0,article,Data Mining and Knowledge Discovery,https://openalex.org/W4407574880
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-02-23,TED: related party transaction guided tax evasion detection on heterogeneous graph,Yiming Xu; Bin Shi; Bo Dong; Jiaxiang Wang; Hua Wei; Qinghua Zheng,39,2,10.1007/s10618-025-01091-w,https://doi.org/10.1007/s10618-025-01091-w,article,Data Mining and Knowledge Discovery,https://openalex.org/W4407867677
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-03-01,Inferring tie strength in temporal networks,Lutz Oettershagen; Athanasios L. Konstantinidis; Giuseppe Francesco Italiano,39,2,10.1007/s10618-025-01093-8,https://doi.org/10.1007/s10618-025-01093-8,article,Data Mining and Knowledge Discovery,https://openalex.org/W4408073577
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-03-03,Multilayer horizontal visibility graphs for multivariate time series analysis,Vanessa Freitas Silva; Maria Eduarda Silva; Pedro Ribeiro; Fernando Silva,39,3,10.1007/s10618-025-01089-4,https://doi.org/10.1007/s10618-025-01089-4,article,Data Mining and Knowledge Discovery,https://openalex.org/W4408091617
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-03-07,Efficient outlier detection in numerical and categorical data,Eugenio Ferreira Cabral; Braulio V. Sánchez Vinces; Guilherme D. F. Silva; Jörg Sander; Robson L. F. Cordeiro,39,3,10.1007/s10618-024-01084-1,https://doi.org/10.1007/s10618-024-01084-1,article,Data Mining and Knowledge Discovery,https://openalex.org/W4408175168
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-03-08,Forming coordinated teams that balance task coverage and expert workload,Karan Vombatkere; Aristides Gionis; Evimaria Terzi,39,3,10.1007/s10618-025-01090-x,https://doi.org/10.1007/s10618-025-01090-x,article,Data Mining and Knowledge Discovery,https://openalex.org/W4408221513
Data Mining and Knowledge Discovery,Springer Nature,2025,2025-03-13,Recommending the right academic programs: an interest mining approach using BERTopic,Alessandro Hill; Kalen Goo; Puneet Agarwal,39,3,10.1007/s10618-024-01087-y,https://doi.org/10.1007/s10618-024-01087-y,article,Data Mining and Knowledge Discovery,https://openalex.org/W4408421713
