journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Machine Intelligence Research,Springer Nature,2025,2025-01-07,A Survey of Recent Advances in Commonsense Knowledge Acquisition: Methods and Resources,Chenhao Wang; Jiachun Li; Yubo Chen; Kang Liu; Jun Zhao,22,2,10.1007/s11633-023-1471-3,https://doi.org/10.1007/s11633-023-1471-3,article,Machine Intelligence Research,https://openalex.org/W4406141248
Machine Intelligence Research,Springer Nature,2025,2025-01-07,A Systematic Comparison of Horizontal Federated Learning Algorithm Based on Random Forests in a Medical Setting,Andrew Cheng; Jingqing Zhang; Atri Sharma; Vibhor Gupta; Yike Guo,22,2,10.1007/s11633-023-1489-6,https://doi.org/10.1007/s11633-023-1489-6,article,Machine Intelligence Research,https://openalex.org/W4406142268
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Active Object Detection Based on PPO Learning Algorithm with Decision Knowledge Guidance,F. Frances Yao; Guohui Tian; Yuhao Wang; Ning Yang,22,2,10.1007/s11633-024-1500-x,https://doi.org/10.1007/s11633-024-1500-x,article,Machine Intelligence Research,https://openalex.org/W4406142301
Machine Intelligence Research,Springer Nature,2025,2025-01-07,AdaGPAR: Generalizable Pedestrian Attribute Recognition via Test-time Adaptation,Da Li; Zhang Zhang; Yifan Zhang; Zhen Jia; Caifeng Shan,22,4,10.1007/s11633-024-1504-6,https://doi.org/10.1007/s11633-024-1504-6,article,Machine Intelligence Research,https://openalex.org/W4406137444
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Attention Detection Using EEG Signals and Machine Learning: A Review,Qianru Sun; Yueying Zhou; Peiliang Gong; Daoqiang Zhang,22,2,10.1007/s11633-024-1492-6,https://doi.org/10.1007/s11633-024-1492-6,article,Machine Intelligence Research,https://openalex.org/W4406142773
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Auto-3D-house Design from Structured User Requirements,Mingkui Tan; Qi Chen; Z.Q. Dong Y. Huang; Qi Wu; Yuanqing Li; Jiahan Zhou,22,2,10.1007/s11633-024-1498-0,https://doi.org/10.1007/s11633-024-1498-0,article,Machine Intelligence Research,https://openalex.org/W4406142283
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Balanced Representation Learning for Long-tailed Skeleton-based Action Recognition,Hongda Liu; Yunlong Wang; Min Ren; Junxing Hu; Zhengquan Luo; Guangqi Hou; Zhenan Sun,22,3,10.1007/s11633-023-1487-8,https://doi.org/10.1007/s11633-023-1487-8,article,Machine Intelligence Research,https://openalex.org/W4406135140
Machine Intelligence Research,Springer Nature,2025,2025-01-07,GraphFM: Graph Factorization Machines for Feature Interaction Modelling,Shu Lei Wu; Zekun Li; Yunyue Su; Zeyu Cui; Xiaoyu Zhang; Liang Wang,22,2,10.1007/s11633-024-1505-5,https://doi.org/10.1007/s11633-024-1505-5,article,Machine Intelligence Research,https://openalex.org/W4406136433
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Guided Proximal Policy Optimization with Structured Action Graph for Complex Decision-making,Yiming Yang; Dengpeng Xing; Wannian Xia; Peng Wang,22,4,10.1007/s11633-024-1503-7,https://doi.org/10.1007/s11633-024-1503-7,article,Machine Intelligence Research,https://openalex.org/W4406142732
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Interpretable Visual Neural Decoding with Unsupervised Semantic Disentanglement,Qiongyi Zhou; Changde Du; Dan Li; Bin Wen; Le Chang; Huiguang He,22,3,10.1007/s11633-023-1484-y,https://doi.org/10.1007/s11633-023-1484-y,article,Machine Intelligence Research,https://openalex.org/W4406121243
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Latent Landmark Graph for Efficient Exploration-exploitation Balance in Hierarchical Reinforcement Learning,Qingyang Zhang; Hongming Zhang; Dengpeng Xing; Bo Xu,22,2,10.1007/s11633-023-1482-0,https://doi.org/10.1007/s11633-023-1482-0,article,Machine Intelligence Research,https://openalex.org/W4406121228
Machine Intelligence Research,Springer Nature,2025,2025-01-07,Learning Hierarchical Adaptive Code Clouds for Neural 3D Shape Representation,Yuanxun Lu; Xinya Ji; Hao Zhu; Xun Cao,22,2,10.1007/s11633-024-1491-7,https://doi.org/10.1007/s11633-024-1491-7,article,Machine Intelligence Research,https://openalex.org/W4406142738
Machine Intelligence Research,Springer Nature,2025,2025-01-07,TAL: Two-stream Adaptive Learning for Generalizable Person Re-identification,Yichao Yan; Junjie Li; Shengcai Liao; Jie Qin,22,2,10.1007/s11633-024-1516-2,https://doi.org/10.1007/s11633-024-1516-2,article,Machine Intelligence Research,https://openalex.org/W4406136411
