journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,A Hierarchical Cross-Modal Spatial Fusion Network for Multimodal Emotion Recognition,Ming Feng Xu; Tuo Shi; Hao Zhang; Zeyi Liu; Xiao He,6,5,10.1109/tai.2024.3523250,https://doi.org/10.1109/tai.2024.3523250,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4405974309
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,"CerviImagingDiag: A Lightweight, Privacy-Preserving AI Framework for Cervical Precancer Detection on Consumer Devices via Web Applications",Sabyasachi Mukhopadhyay; Nazeer Haider; Pabitra Mitra; Soumya K. Ghosh,,,10.1109/tai.2025.3624715,https://doi.org/10.1109/tai.2025.3624715,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4415482046
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Differential Privacy Based Multiuser Multivariate Multiorder Markov Trajectory Prediction in Edge-Cloud Environment,Xiaoxue Yin; Huazhong Liu; Jihong Ding; Jing Guo; Zhongying Wu; Laurence T. Yang; Peng Tan; Haihong Li,,,10.1109/tai.2025.3646569,https://doi.org/10.1109/tai.2025.3646569,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W7116701524
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Fault-tolerant Multimodal Representations Learning: Fusion of Intermodal and Intramodal Correlations,Diyar Altinses; Andreas Schwung,,,10.1109/tai.2025.3649763,https://doi.org/10.1109/tai.2025.3649763,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W7117463422
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Federated Stochastic Configuration Networks with Universal Approximation Property,Dianhui Wang; Ningning Xie; Xiufeng Yan,,,10.1109/tai.2025.3592179,https://doi.org/10.1109/tai.2025.3592179,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4412623148
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Front Cover,,6,1,10.1109/tai.2024.3525219,https://doi.org/10.1109/tai.2024.3525219,paratext,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406353810
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Hybrid ResNet-ViT Transfer Learning Approach for Brain Stroke Classification on Computed Tomography Images,Chathura D. Kulathilake; Jeevani Udupihille; Atsushi Senoo,,,10.1109/tai.2025.3596534,https://doi.org/10.1109/tai.2025.3596534,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4413120464
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,IEEE Transactions on Artificial Intelligence Publication Information,,6,1,10.1109/tai.2024.3525221,https://doi.org/10.1109/tai.2024.3525221,paratext,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406353917
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,LanDA: Language-Guided Multi-Source Domain Adaptation,Zhenbin Wang; Lei Zhang; Lituan Wang; Minjuan Zhu,,,10.1109/tai.2025.3634277,https://doi.org/10.1109/tai.2025.3634277,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W7106124602
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Memristive Hopfield bi-neurons under external stimuli and data privacy application,Bertrand Frederick Boui A Boya; Lyudmila Klimentyevna Babenko; Jacques Ndé Kengne; Joseph Mvogo Ngono; Jean De Dieu Nkapkop; Arnaud Nanfak; Joseph Yves Effa,,,10.1109/tai.2025.3630118,https://doi.org/10.1109/tai.2025.3630118,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4415971150
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,QuanCrypt-FL: Quantized Homomorphic Encryption with Pruning for Secure Federated Learning,Md Jueal Mia; M. Hadi Amini,,,10.1109/tai.2025.3612906,https://doi.org/10.1109/tai.2025.3612906,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4414955756
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Real-World Video Quality Assessment via Test-Time Adaptation and its application in Real-World Video Super-Resolution,Ajeet Kumar Verma; Ambuj Mishra; Vinit Jakhetiya; Badri Narayan Subudhi; Sunil Prasad Jaiswal,,,10.1109/tai.2025.3620778,https://doi.org/10.1109/tai.2025.3620778,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4415178992
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-01,Table of Contents,,6,1,10.1109/tai.2024.3525217,https://doi.org/10.1109/tai.2024.3525217,paratext,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406367781
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Dynamically Scaled Temperature in Self-Supervised Contrastive Learning,Siladittya Manna; Soumitri Chattopadhyay; Rakesh Kumar Dey; Umapada Pal; Saumik Bhattacharya,6,6,10.1109/tai.2024.3524979,https://doi.org/10.1109/tai.2024.3524979,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406046647
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Federated Multiarmed Bandits Under Byzantine Attacks,Artun Saday; İlker Demirel; Yiğit Yıldırım; Cem Tekin,6,6,10.1109/tai.2024.3524954,https://doi.org/10.1109/tai.2024.3524954,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406046466
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Learning from Heterogeneity: A Dynamic Learning Framework for Hypergraphs,Tiehua Zhang; Yuze Liu; Zhishu Shen; Xingjun Ma; Peng Qi; Zhijun Ding; Jiong Jin,6,6,10.1109/tai.2024.3524984,https://doi.org/10.1109/tai.2024.3524984,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406046636
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Prompt Customization for Continual Learning,Yong Dai; Xiaopeng Hong; Yabin Wang; Zhiheng Ma; Dongmei Jiang; Yaowei Wang,6,5,10.1109/tai.2024.3524977,https://doi.org/10.1109/tai.2024.3524977,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406046789
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Visual–Semantic Fuzzy Interaction Network for Zero-Shot Learning,Xuemeng Hui; Zhunga Liu; Jiaxiang Liu; Zuowei Zhang; Longfei Wang,6,5,10.1109/tai.2024.3524955,https://doi.org/10.1109/tai.2024.3524955,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406047533
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-03,Weakly Correlated Multimodal Domain Adaptation for Pattern Classification,Shuyue Wang; Zhunga Liu; Zuowei Zhang; Mohammed Bennamoun,6,5,10.1109/tai.2024.3524976,https://doi.org/10.1109/tai.2024.3524976,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406047123
IEEE Transactions on Artificial Intelligence,IEEE,2025,2025-01-07,A Spatial-Transformation-Based Causality-Enhanced Model for Glioblastoma Progression Diagnosis,Qiang Li; Xinyue Li; Hong Jiang; Xiaohua Qian,6,6,10.1109/tai.2025.3526137,https://doi.org/10.1109/tai.2025.3526137,article,IEEE Transactions on Artificial Intelligence,https://openalex.org/W4406137390
