journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,A Decentralized Actor–Critic Algorithm With Entropy Regularization and Its Finite-Time Analysis,Tao Mao; Junlong Zhu; Mingchuan Zhang; Quanbo Ge; Ruijuan Zheng; Qingtao Wu,36,10,10.1109/tnnls.2025.3573801,https://doi.org/10.1109/tnnls.2025.3573801,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4411172273
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Alpha and Prejudice: Improving α-Sized Worst Case Fairness via Intrinsic Reweighting,Jing Li; Yinghua Yao; Yuangang Pan; Xuanqian Wang; Ivor W. Tsang; Xiuju Fu,36,10,10.1109/tnnls.2025.3586609,https://doi.org/10.1109/tnnls.2025.3586609,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4412444604
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Branch-Tuning: Balancing Stability and Plasticity for Continual Self-Supervised Learning,Wenzhuo Liu; Fei Zhu; Cheng‐Lin Liu,36,10,10.1109/tnnls.2025.3579928,https://doi.org/10.1109/tnnls.2025.3579928,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4412110507
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,D2Fed: Federated Semi-Supervised Learning With Dual-Role Additive Local Training and Dual-Perspective Global Aggregation,Jingxin Mao; Yu Yang; Zhiwei Wei; Yanlong Bi; Rongqing Zhang,36,10,10.1109/tnnls.2025.3587942,https://doi.org/10.1109/tnnls.2025.3587942,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4412567141
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,EMWQ: An Efficient Mixed Precision Weight Quantization Method for Large Language Models,Yuning Yang; Xiurui Xie; Guowei Peng; Malu Zhang; Guangchun Luo; Yang Yang; Guisong Liu,36,10,10.1109/tnnls.2025.3585677,https://doi.org/10.1109/tnnls.2025.3585677,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4412444961
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Federated Learning Based on Model Discrepancy and Variance Reduction,Hao Zhang; Chenglin Li; Wenrui Dai; Junni Zou; Hongkai Xiong,36,6,10.1109/tnnls.2024.3517658,https://doi.org/10.1109/tnnls.2024.3517658,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4405968064
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,GBCT: Efficient and Adaptive Clustering via Granular-Ball Computing for Complex Data,Shuyin Xia; Bolun Shi; Yifan Wang; Jiang Xie; Guoyin Wang; Xinbo Gao,36,7,10.1109/tnnls.2024.3497174,https://doi.org/10.1109/tnnls.2024.3497174,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4405968111
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Guest Editorial: Special Issue on Deep Learning for Intelligent Media Computing and Applications,Hamido Fujita; Bo Li; Yiyu Y. Yao; Xinbo Gao; Maoguo Gong; Ivan Lee; Martin Ester; Xin Wang,36,1,10.1109/tnnls.2024.3490152,https://doi.org/10.1109/tnnls.2024.3490152,editorial,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4406137573
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Guest Editorial: Special Issue on Trustworthy Federated Learning,Qiang Yang; Han Yu; Sin G. Teo; Bo Li; Guodong Long; Chao Jin; Lixin Fan; Yang Liu; Le Zhang,36,1,10.1109/tnnls.2024.3490192,https://doi.org/10.1109/tnnls.2024.3490192,editorial,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4406137589
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Hybrid Quantum Deep Learning With Superpixel Encoding for Earth Observation Data Classification,Fan Fan; Yilei Shi; Tobias Guggemos; Xiao Xiang Zhu,36,6,10.1109/tnnls.2024.3518108,https://doi.org/10.1109/tnnls.2024.3518108,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4405968114
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,IEEE Computational Intelligence Society Information,,36,1,10.1109/tnnls.2024.3520037,https://doi.org/10.1109/tnnls.2024.3520037,paratext,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4406137871
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,IEEE Transactions on Neural Networks and Learning Systems Information for Authors,,36,1,10.1109/tnnls.2024.3520039,https://doi.org/10.1109/tnnls.2024.3520039,paratext,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4406137787
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,IEEE Transactions on Neural Networks and Learning Systems Publication Information,,36,1,10.1109/tnnls.2024.3520035,https://doi.org/10.1109/tnnls.2024.3520035,paratext,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4406137999
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,Privacy-Aware Data Acquisition Under Data Similarity in Regression Markets,Shashi Raj Pandey; Pierre Pinson; Petar Popovski,36,6,10.1109/tnnls.2024.3521056,https://doi.org/10.1109/tnnls.2024.3521056,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W4405968061
IEEE Transactions on Neural Networks and Learning Systems,IEEE,2025,2025-01-01,SynC: Synergistic Boosting of Structure and Representation for Deep Graph Clustering,Shifei Ding; Benyu Wu; Xiao Xu; Ling Ding; Xindong Wu,PP,,10.1109/tnnls.2025.3643594,https://doi.org/10.1109/tnnls.2025.3643594,article,IEEE Transactions on Neural Networks and Learning Systems,https://openalex.org/W7117131284
