journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,A Data-level Augmentation Framework for Time Series Forecasting with Ambiguously Related Source Data,Rui Ye; Qun Dai,,,10.1109/tkde.2025.3555530,https://doi.org/10.1109/tkde.2025.3555530,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409153337
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,A Local Community Detection Method Based On Folded Subgraph,Mengting Zhang; Weihong Bi,,,10.1109/tkde.2025.3563100,https://doi.org/10.1109/tkde.2025.3563100,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409640606
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,A Scalable Algorithm for Fair Influence Maximization with Unbiased Estimator,Xiaobin Rui; Zhixiao Wang; Hao Peng; Wei Chen; Philip S. Yu,,,10.1109/tkde.2025.3564283,https://doi.org/10.1109/tkde.2025.3564283,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409760976
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,A Survey on Mixture of Experts in Large Language Models,Weilin Cai; Juyong Jiang; Fan Wang; Jing Tang; Sung Hun Kim; Jiayi Huang,,,10.1109/tkde.2025.3554028,https://doi.org/10.1109/tkde.2025.3554028,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4408858386
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,Camouflaged Variational Graph AutoEncoder against Attribute Inference Attacks for Cross-Domain Recommendation,Yudi Xiong; Yongxin Guo; Weike Pan; Qiang Yang; Zhong Ming; Xiaojin Zhang; Yu Han; Tao Lin; Xiaoying Tang,,,10.1109/tkde.2025.3565793,https://doi.org/10.1109/tkde.2025.3565793,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409986034
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,Charging-Aware Task Assignment for Urban Logistics with Electric Vehicles,Yafei Li; Yuke Pan; Guanglei Zhu; Shuo He; Mingliang Xu; Jianliang Xu,,,10.1109/tkde.2025.3565858,https://doi.org/10.1109/tkde.2025.3565858,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409986160
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,Decider: A Dual-System Rule-Controllable Decoding Framework for Language Generation,Xu Chen; Tian Lan; Yu Ji; Changlong Yu; Wei Wang; Jun Gao; Qunxi Dong; Kun Qian; Piji Li; Wei Bi; Bin Hu,,,10.1109/tkde.2025.3554819,https://doi.org/10.1109/tkde.2025.3554819,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4408859133
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,DiST: Efficient Distributed Spatio-Temporal Clustering with Automatic Parameter Optimization,Jiajun Li; Shuxiang Gou; Ruiyuan Li; Huajun He; Wenhui Li; Yu Zheng,,,10.1109/tkde.2025.3607744,https://doi.org/10.1109/tkde.2025.3607744,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4414165684
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,Direct Spectral Clustering with New Graph Learning for Better Fitting,Ling‐Yi Kong; Jingjing Xue; Feiping Nie; Xuelong Li,,,10.1109/tkde.2025.3533040,https://doi.org/10.1109/tkde.2025.3533040,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4406753974
IEEE Transactions on Knowledge and Data Engineering,IEEE,2025,2025-01-01,Discovering Cliques in Attribute Graphs Based on Proportional Fairness,Y. Z. Li; Renjie Sun; Chen Chen; Xiaoyang Wang; Ying Zhang; Wenjie Zhang,,,10.1109/tkde.2025.3559994,https://doi.org/10.1109/tkde.2025.3559994,article,IEEE Transactions on Knowledge and Data Engineering,https://openalex.org/W4409326497
