journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,A Faithful and Stable Explanation Method for Image Classification,Lidan Tan; Changwu Huang; Xin Yao,,,10.1109/tetci.2025.3607391,https://doi.org/10.1109/tetci.2025.3607391,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4414229160
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,A Surrogate Model With Multiple Comparisons and Semi-Online Learning for Evolutionary Neural Architecture Search,Yu Xue; Bohan Hu; Ferrante Neri,,,10.1109/tetci.2025.3547621,https://doi.org/10.1109/tetci.2025.3547621,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4408697793
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,An Investigation Into Value Misalignment in LLM-Generated Texts for Cultural Heritage,Fan Bu; Zheng Wang; Siyi Wang; Ziyao Liu,,,10.1109/tetci.2025.3597289,https://doi.org/10.1109/tetci.2025.3597289,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4413359303
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,Critical-Task-Driven Multi-Objective Evolutionary Algorithm for Scheduling Large-Scale Workflows in Cloud Computing,Xiaolu Liu; Feng Yao; Lining Xing; Huangke Chen; Wei Zhao; Long Zheng,,,10.1109/tetci.2025.3547636,https://doi.org/10.1109/tetci.2025.3547636,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4408564198
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,Defending Against DDoS Attacks via Heterogeneous Data Conflict Resolution for Secure Services in Internet of Things,Yang Xiao; Jiakui Xiang; Bowen Zhao; Cheng Qiao; Muhammad Faisal Shafiq; Qingqi Pei; Mohammad Mahtab Alam,,,10.1109/tetci.2025.3595575,https://doi.org/10.1109/tetci.2025.3595575,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4413277147
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,ESAI: Efficient Split Artificial Intelligence via Early Exiting Using Neural Architecture Search,Behnam Zeinali; Di Zhuang; J. Morris Chang,9,1,10.1109/tetci.2024.3485677,https://doi.org/10.1109/tetci.2024.3485677,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4405968083
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,Enhancing Result Interpretability of Neural Architecture Search-Assisted Medical AI via Large Language Model,Chen Wang; Kaifang Long; Tiezheng Guo; Qingwen Yang; Yanyi Liu; Pan Li; Zhiwei Li; Huihan Wang; Lianbo Ma; Yingyou Wen,,,10.1109/tetci.2025.3607385,https://doi.org/10.1109/tetci.2025.3607385,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4414270421
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,Explaining Fine-Grained Image Classification Using Evolutionary Search and the Stable Diffusion Model,Gonglin Yuan; Bing Xue; Mengjie Zhang; Yaqing Hou,,,10.1109/tetci.2025.3603115,https://doi.org/10.1109/tetci.2025.3603115,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4414008117
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,HOBRB: Improving Task Learning With Reward Machines and Bilayer Buffers in a Hierarchical Framework,Jinmiao Cong; Yang Liu; Chanjuan Liu; Jian Wang; Witold Pedrycz; Kaile Su,,,10.1109/tetci.2025.3593995,https://doi.org/10.1109/tetci.2025.3593995,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4413277282
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE,2025,2025-01-01,LogicNAS: Multi-View Neural Architecture Search Method for Image Sequence Logic Prediction,Qian Jian Guo; Shaodong Sun; Xinyan Liang; Yuhua Qian; Zhihua Cui,,,10.1109/tetci.2025.3631720,https://doi.org/10.1109/tetci.2025.3631720,article,IEEE Transactions on Emerging Topics in Computational Intelligence,https://openalex.org/W4416429125
