journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-03,EEG-Based Cognitive Load Estimation of Acoustic Parameters for Data Sonification,Gulshan Sharma; Surbhi Madan; Maneesh Bilalpur; Abhinav Dhall; Ramanathan Subramanian,17,4,10.1109/tcds.2025.3525492,https://doi.org/10.1109/tcds.2025.3525492,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406047343
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-03,MDAG-Net: Multidomain Association-Guided Network for Image-Based Long-Term Visual Localization,Fawei Ge; Yunzhou Zhang; Li Wang; Y. P. Tan; Sonya Coleman; Dermot Kerr,17,4,10.1109/tcds.2024.3525180,https://doi.org/10.1109/tcds.2024.3525180,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406047281
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-08,Brain–Eye Collaboration Target Detection and Localization in Remote Sensing Image,Jianan Han; Longjie Ma; Li Zhu; Jiajia Tang; Wanzeng Kong,17,4,10.1109/tcds.2024.3523018,https://doi.org/10.1109/tcds.2024.3523018,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406171710
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-09,DTAS: An Adaptive Critical Scenarios Generation Method for Decision Boundary Assessment,Hui Lu; Yuanhang Hu; Shiqi Wang; Ping Zhou; Shi Cheng,17,4,10.1109/tcds.2025.3527639,https://doi.org/10.1109/tcds.2025.3527639,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406207690
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-13,Lightweight Facial Attractiveness Prediction Using Dual Label Distribution,Shu Liu; Enquan Huang; Ziyu Zhou; Xu Yan; Xiaoyan Kui; Tao Lei; Hongying Meng,17,4,10.1109/tcds.2025.3529177,https://doi.org/10.1109/tcds.2025.3529177,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406322044
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-13,TRANSIT-EEG—A Framework for Cross-Subject Classification With Subject Specific Adaptation,Chirag Ahuja; Divyashikha Sethia,17,4,10.1109/tcds.2025.3529669,https://doi.org/10.1109/tcds.2025.3529669,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406321847
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-17,Two Heads Are Better Than One: Collaboration-Oriented Multiagent Exploration System,Yang Liu; Peng Zhang; Hangyou Yu; Pingping Zhang; Jie Wen Zhao; Dong Wang; Huchuan Lu,17,5,10.1109/tcds.2025.3530945,https://doi.org/10.1109/tcds.2025.3530945,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406520955
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-23,Exploring Supervised Contrastive Learning for Skeleton-Based Temporal Action Segmentation,Bowen Chen; Haoyu Ji; Hanwei Ma; Ruihan Lin; Wei Nie; Weihong Ren; Zhiyong Wang; Honghai Liu,17,4,10.1109/tcds.2025.3532694,https://doi.org/10.1109/tcds.2025.3532694,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406754984
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-24,Visual Memory Schemas for Localized Image Memorability Prediction,Cameron Kyle-Davidson; Adrian G. Borş; Karla K. Evans,17,4,10.1109/tcds.2025.3533112,https://doi.org/10.1109/tcds.2025.3533112,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406793983
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-27,MAST: Multiagent Safe Transformer for Reinforcement Learning,Suhang Wei; Xianwei Wang; Xiang Feng; Huiqun Yu,17,4,10.1109/tcds.2025.3533744,https://doi.org/10.1109/tcds.2025.3533744,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406858125
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-01-27,SELM: From Efficient Autonomous Exploration to Long-Term Monitoring in Semantic Level,Fang Lang; Yongsen Qin; Yinchuan Wang; Jin Liu; Chaoqun Wang; Wei Song; Qiuguo Zhu; Rui Song,17,4,10.1109/tcds.2025.3531367,https://doi.org/10.1109/tcds.2025.3531367,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4406858116
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-01,Editorial: 2025 New Year Message From the Editor-in-Chief,Huajin Tang,17,1,10.1109/tcds.2025.3533704,https://doi.org/10.1109/tcds.2025.3533704,editorial,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407212915
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-01,IEEE Computational Intelligence Society Information,,17,1,10.1109/tcds.2024.3518200,https://doi.org/10.1109/tcds.2024.3518200,paratext,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407212922
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-01,IEEE Transactions on Cognitive and Developmental Systems Information for Authors,,17,1,10.1109/tcds.2024.3518202,https://doi.org/10.1109/tcds.2024.3518202,paratext,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407212937
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-01,IEEE Transactions on Cognitive and Developmental Systems Publication Information,,17,1,10.1109/tcds.2024.3518198,https://doi.org/10.1109/tcds.2024.3518198,paratext,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407212921
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-01,Table of Contents,,17,1,10.1109/tcds.2024.3518196,https://doi.org/10.1109/tcds.2024.3518196,paratext,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407212924
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-04,Automated Mental Fatigue Detection From Electroencephalogram Using Joint Time-Frequency Representation Based on Multivariate Iterative Filtering,Kritiprasanna Das; Ram Bilas Pachori,17,4,10.1109/tcds.2025.3538947,https://doi.org/10.1109/tcds.2025.3538947,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407128256
IEEE Transactions on Cognitive and Developmental Systems,IEEE,2025,2025-02-05,Improved Few-Shot Learning Based on Triplet Metric for Motor Imagery EEG Classification,Qingshan She; Chengjun Li; Tongcai Tan; Feng Fang; Yingchun Zhang,17,4,10.1109/tcds.2025.3539398,https://doi.org/10.1109/tcds.2025.3539398,article,IEEE Transactions on Cognitive and Developmental Systems,https://openalex.org/W4407160039
