journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,A Bi-Population Cooperative Discrete Differential Evolution for Multiobjective Energy-Efficient Distributed Blocking Flow Shop Scheduling Problem,Yong Wang; Haojie Jin; Gai‐Ge Wang; Ling Wang,55,3,10.1109/tsmc.2024.3520320,https://doi.org/10.1109/tsmc.2024.3520320,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405968093
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,A Local Knowledge Transfer-Based Evolutionary Algorithm for Constrained Multitask Optimization,Xuanxuan Ban; Jing Liang; Kunjie Yu; Yaonan Wang; Kangjia Qiao; Jinzhu Peng; Dunwei Gong; Canyun Dai,55,3,10.1109/tsmc.2024.3520322,https://doi.org/10.1109/tsmc.2024.3520322,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405968080
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,A Trust Incentive Driven Feedback Mechanism With Risk Attitude for Group Consensus in Social Networks,Feixia Ji; Jian Wu; Francisco Chiclana; Qi Sun; Enrique Herrera‐Viedma,55,3,10.1109/tsmc.2024.3519510,https://doi.org/10.1109/tsmc.2024.3519510,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405974841
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Adaptive Exponential Consensus With Cooperative Exponential Parameter Identification Over Leaderless Directed Graphs,Dongdong Yue; Simone Baldi; Jinde Cao; Ling Shi,55,3,10.1109/tsmc.2024.3520586,https://doi.org/10.1109/tsmc.2024.3520586,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405974826
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Adaptive Sliding Mode Control Based on Time-Delay Estimation for Underactuated 7-DOF Tower Crane,Gang Li; Xin Ma; Yibin Li,55,3,10.1109/tsmc.2024.3520174,https://doi.org/10.1109/tsmc.2024.3520174,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405968100
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Fuzzy Optimal Event-Triggered Control for Dynamic Positioning of Unmanned Surface Vehicle,Wenting Song; Yi Zuo; Shaocheng Tong,55,3,10.1109/tsmc.2024.3520600,https://doi.org/10.1109/tsmc.2024.3520600,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405968084
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Local and Global Finite-Time Synchronization of Fractional-Order Complex Dynamical Networks via Hybrid Impulsive Control,Chen Wei; Xiaoping Wang; Fangmin Ren; Zhigang Zeng,55,3,10.1109/tsmc.2024.3520135,https://doi.org/10.1109/tsmc.2024.3520135,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405974523
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Observer-Based Adaptive NN Tracking Control for Nonlinear NCSs Under Intermittent DoS Attacks: A Finite-Time Prescribed Performance Method,Guangdeng Zong; Ruonan Liu; Hongzhen Xie; Yudi Wang; Xudong Zhao,55,3,10.1109/tsmc.2024.3521025,https://doi.org/10.1109/tsmc.2024.3521025,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4405968094
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-01,Systems Analysis of Decision-Making Under Ambiguity With Comparative Out-of-Sample Experimental Study of Geometric Dispersion Theory and Cumulative Prospect Theory,Camelia Al‐Najjar; Behnam B. Malakooti,,,10.1109/tsmc.2025.3564865,https://doi.org/10.1109/tsmc.2025.3564865,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4410359281
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-03,Composite Learning Fixed-Time Control for Nonlinear Servo Systems With State Constraints and Unknown Dynamics,Shubo Wang; Chuanbin Sun; Qiang Chen; Haoran He,55,3,10.1109/tsmc.2024.3522116,https://doi.org/10.1109/tsmc.2024.3522116,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4406028095
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",IEEE,2025,2025-01-03,Finite-Time Synchronization of Coupled Fractional-Order Systems via Intermittent IT-2 Fuzzy Control,Rongqiang Tang; Peng Shi; Xinsong Yang; Guanghui Wen; Lei Shi,55,3,10.1109/tsmc.2024.3518513,https://doi.org/10.1109/tsmc.2024.3518513,article,IEEE Transactions on Systems Man and Cybernetics Systems,https://openalex.org/W4406028161
