journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Computational Linguistics,MIT Press,2025,2025-01-01,A Novel Methodology for Enhancing Cross-language and Domain Adaptability in Temporal Expression Normalization,Ayoze Castro; Lourdes Araujo; Juan Martínez-Romo,51,4,10.1162/coli.a.12,https://doi.org/10.1162/coli.a.12,article,Computational Linguistics,https://openalex.org/W4410360580
Computational Linguistics,MIT Press,2025,2025-01-01,"A Survey on LLM-Generated Text Detection: Necessity, Methods, and Future Directions",Junchao Wu; Shuhua Yang; Runzhe Zhan; Yulin Yuan; Lidia Sam Chao; Derek F. Wong,51,1,10.1162/coli_a_00549,https://doi.org/10.1162/coli_a_00549,article,Computational Linguistics,https://openalex.org/W4406236959
Computational Linguistics,MIT Press,2025,2025-01-01,BLiMP-NL: A Corpus of Dutch Minimal Pairs and Acceptability Judgments for Language Model Evaluation,Michelle Suijkerbuijk; Zoë Prins; Marianne de Heer Kloots; Willem H. Zuidema; Stefan Leo Frank,51,4,10.1162/coli_a_00559,https://doi.org/10.1162/coli_a_00559,article,Computational Linguistics,https://openalex.org/W4409261781
Computational Linguistics,MIT Press,2025,2025-01-01,Eliciting and Improving the Causal Reasoning Abilities of Large Language Models with Conditional Statements,Xiao Liu; Da Yin; Chen Zhang; Dongyan Zhao; Yansong Feng,51,2,10.1162/coli_a_00548,https://doi.org/10.1162/coli_a_00548,article,Computational Linguistics,https://openalex.org/W4406236949
Computational Linguistics,MIT Press,2025,2025-01-01,Graded Suspiciousness of Adversarial Texts to Humans,Shakila Mahjabin Tonni; Pedro Faustini; Mark Dras,51,3,10.1162/coli_a_00555,https://doi.org/10.1162/coli_a_00555,article,Computational Linguistics,https://openalex.org/W4408111646
Computational Linguistics,MIT Press,2025,2025-01-01,IDT: Dual-Task Adversarial Rewriting for Attribute Anonymization,Pedro Faustini; Shakila Mahjabin Tonni; Annabelle K. McIver; Qiongkai Xu; Mark Dras,51,4,10.1162/coli.a.17,https://doi.org/10.1162/coli.a.17,article,Computational Linguistics,https://openalex.org/W4412159021
Computational Linguistics,MIT Press,2025,2025-01-01,Kallini et al. (2024) Do Not Compare Impossible Languages with Constituency-based Ones,Tim B. Hunter,51,2,10.1162/coli_a_00554,https://doi.org/10.1162/coli_a_00554,article,Computational Linguistics,https://openalex.org/W4407903117
Computational Linguistics,MIT Press,2025,2025-01-01,LGDE: Local Graph-based Dictionary Expansion,J. L. Schindler; Sneha Jha; Xixuan Zhang; Kilian Buehling; Annett Heft; Mauricio Barahona,51,4,10.1162/coli_a_00562,https://doi.org/10.1162/coli_a_00562,article,Computational Linguistics,https://openalex.org/W4409919747
Computational Linguistics,MIT Press,2025,2025-01-01,LLM-based NLG Evaluation: Current Status and Challenges,Mingqi Gao; Xinyu Hu; Xunjian Yin; Jie Ruan; Xiao Pu; Xiaojun Wan,51,2,10.1162/coli_a_00561,https://doi.org/10.1162/coli_a_00561,article,Computational Linguistics,https://openalex.org/W4409357579
Computational Linguistics,MIT Press,2025,2025-01-01,LMLPA: Language Model Linguistic Personality Assessment,Jingyao Zheng; Xian Hui Wang; Simo Johannes Hosio; Xiaoxian Xu; Lik‐Hang Lee,51,2,10.1162/coli_a_00550,https://doi.org/10.1162/coli_a_00550,article,Computational Linguistics,https://openalex.org/W4406637725
Computational Linguistics,MIT Press,2025,2025-01-01,Language Models and Externalism: A Reply to Mandelkern and Linzen,Gary Ostertag,51,2,10.1162/coli_a_00551,https://doi.org/10.1162/coli_a_00551,article,Computational Linguistics,https://openalex.org/W4406686516
Computational Linguistics,MIT Press,2025,2025-01-01,Large Language Models Are Biased Because They Are Large Language Models,Philip Resnik,51,3,10.1162/coli_a_00558,https://doi.org/10.1162/coli_a_00558,article,Computational Linguistics,https://openalex.org/W4408929481
Computational Linguistics,MIT Press,2025,2025-01-01,"MUCking In, or Fifty Years in Information Extraction",Ralph Grishman,51,1,10.1162/coli_a_00547,https://doi.org/10.1162/coli_a_00547,article,Computational Linguistics,https://openalex.org/W4406236971
Computational Linguistics,MIT Press,2025,2025-01-01,"Measuring Grammatical Diversity from Small Corpora: Derivational Entropy Rates, Mean Length of Utterances, and Annotation Invariance",Fermı́n Moscoso del Prado Martı́n,51,4,10.1162/coli.a.15,https://doi.org/10.1162/coli.a.15,article,Computational Linguistics,https://openalex.org/W4410765064
Computational Linguistics,MIT Press,2025,2025-01-01,Natural Language Processing RELIES on Linguistics,Juri Opitz; Shira Wein; Nathan Schneider,51,3,10.1162/coli_a_00560,https://doi.org/10.1162/coli_a_00560,article,Computational Linguistics,https://openalex.org/W4409261669
Computational Linguistics,MIT Press,2025,2025-01-01,Opening a New Chapter for Computational Linguistics,Wei Lu,51,1,10.1162/coli_e_00552,https://doi.org/10.1162/coli_e_00552,article,Computational Linguistics,https://openalex.org/W4407019234
Computational Linguistics,MIT Press,2025,2025-01-01,Problem Solving Through Human–AI Preference-based Cooperation,Subhabrata Dutta; Timo Kaufmann; Goran Glavaš; Ivan Habernal; Kristian Kersting; Frauke Kreuter; Mira Mezini; Iryna Gurevych; Eyke Hüllermeier; Hinrich Schütze,51,4,10.1162/coli.a.19,https://doi.org/10.1162/coli.a.19,article,Computational Linguistics,https://openalex.org/W4412806192
Computational Linguistics,MIT Press,2025,2025-01-01,Rethinking Data Use in Large Language Models,Sewon Min; Hannaneh Hajishirzi; Luke Zettlemoyer,51,4,10.1162/coli.a.573,https://doi.org/10.1162/coli.a.573,article,Computational Linguistics,https://openalex.org/W4414788283
Computational Linguistics,MIT Press,2025,2025-01-01,Socially Aware Language Technologies: Perspectives and Practices,Diyi Yang; Dirk Hovy; David Jurgens; Barbara Plank,51,2,10.1162/coli_a_00556,https://doi.org/10.1162/coli_a_00556,article,Computational Linguistics,https://openalex.org/W4408111567
Computational Linguistics,MIT Press,2025,2025-01-01,Survey of Cultural Awareness in Language Models: Text and Beyond,Siddhesh Pawar; Junyeong Park; Jiho Jin; Arnav Arora; Junho Myung; Srishti Yadav; Faiz Ghifari Haznitrama; Inhwa Song; Alice H. Oh; Isabelle Augenstein,51,3,10.1162/coli.a.14,https://doi.org/10.1162/coli.a.14,article,Computational Linguistics,https://openalex.org/W4410357609
Computational Linguistics,MIT Press,2025,2025-01-01,Tokenization Changes Meaning in Large Language Models: Evidence from Chinese,David A. Haslett,51,3,10.1162/coli_a_00557,https://doi.org/10.1162/coli_a_00557,article,Computational Linguistics,https://openalex.org/W4408293219
Computational Linguistics,MIT Press,2025,2025-01-01,Tokenization as Finite-State Transduction,Marco Cognetta; Naoaki Okazaki,51,4,10.1162/coli.a.23,https://doi.org/10.1162/coli.a.23,article,Computational Linguistics,https://openalex.org/W4413927257
Computational Linguistics,MIT Press,2025,2025-01-01,UniASA: A Unified Generative Framework for Argument Structure Analysis,Jianzhu Bao; Mohan Jing; Kuicai Dong; Aixin Sun; Yang Sun; Ruifeng Xu,51,3,10.1162/coli_a_00553,https://doi.org/10.1162/coli_a_00553,article,Computational Linguistics,https://openalex.org/W4407352847
Computational Linguistics,MIT Press,2025,2025-01-01,We Should Evaluate Real-World Impact,Ehud Reiter,51,4,10.1162/coli.a.18,https://doi.org/10.1162/coli.a.18,article,Computational Linguistics,https://openalex.org/W4413077080
Computational Linguistics,MIT Press,2025,2025-01-01,🧜Siren’s Song in the AI Ocean: A Survey on Hallucination in Large Language Models,Yue Zhang; Yafu Li; Leyang Cui; Cai Deng; Lemao Liu; Tingchen Fu; Xinting Huang; Enbo Zhao; Yanwen Zhang; Yulong Chen; Longyue Wang; Ahn Tuan Luu; Wei Bi; Freda Shi; Shuming Shi,51,4,10.1162/coli.a.16,https://doi.org/10.1162/coli.a.16,article,Computational Linguistics,https://openalex.org/W4412158322
Computational Linguistics,MIT Press,2025,2025-05-12,LGDE: Local Graph-based Dictionary Expansion,J. L. Schindler; Sneha Jha; Xixuan Zhang; Kilian Buehling; Annett Heft; Mauricio Barahona,,,10.1162/coli.a.13,https://doi.org/10.1162/coli.a.13,article,Computational Linguistics,https://openalex.org/W4410359703
Computational Linguistics,MIT Press,2025,2025-07-31,Meta4XNLI: A Cross-lingual Parallel Corpus for Metaphor Detection and Interpretation,Elisa Sanchez-Bayona; Rodrigo Agerri,52,1,10.1162/coli.a.20,https://doi.org/10.1162/coli.a.20,article,Computational Linguistics,https://openalex.org/W4412806203
Computational Linguistics,MIT Press,2025,2025-08-05,"On Natural Language Stringsets, Senses, and Generative Capacity",Daniel Radzinski,52,2,10.1162/coli.a.21,https://doi.org/10.1162/coli.a.21,article,Computational Linguistics,https://openalex.org/W4412974958
Computational Linguistics,MIT Press,2025,2025-09-02,Linguistic Steganography via Self-Adjusting Asymmetric Number System,Yiting Liu; Chungen Xu; Fei Yang; Pan Zhang; Linlong Wang,52,1,10.1162/coli.a.22,https://doi.org/10.1162/coli.a.22,article,Computational Linguistics,https://openalex.org/W4413930423
