journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Evolutionary Computation,MIT Press,2025,2025-01-01,Cross-Representation Genetic Programming: A Case Study on Tree-Based and Linear Representations,Zhixing Huang; Yi Mei; Fangfang Zhang; Mengjie Zhang; Wolfgang Banzhaf,33,4,10.1162/evco.a.25,https://doi.org/10.1162/evco.a.25,article,Evolutionary Computation,https://openalex.org/W4410419184
Evolutionary Computation,MIT Press,2025,2025-01-01,Deep-ELA: Deep Exploratory Landscape Analysis with Self-Supervised Pretrained Transformers for Single- and Multiobjective Continuous Optimization Problems,Moritz Vinzent Seiler; Pascal Kerschke; Heike Trautmann,33,4,10.1162/evco_a_00367,https://doi.org/10.1162/evco_a_00367,article,Evolutionary Computation,https://openalex.org/W4407128374
Evolutionary Computation,MIT Press,2025,2025-01-01,"On Stochastic Operators, Fitness Landscapes, and Optimization Heuristics Performances",Brahim Aboutaib; Sebástien Vérel; Cyril Fonlupt; Bilel Derbel; Arnaud Liefooghe; Belaïd Ahiod,33,4,10.1162/evco.a.24,https://doi.org/10.1162/evco.a.24,article,Evolutionary Computation,https://openalex.org/W4410356491
Evolutionary Computation,MIT Press,2025,2025-01-01,On the Use of the Doubly Stochastic Matrix Models for the Quadratic Assignment Problem,Valentino Santucci; Josu Ceberio,33,3,10.1162/evco_a_00369,https://doi.org/10.1162/evco_a_00369,article,Evolutionary Computation,https://openalex.org/W4407764505
Evolutionary Computation,MIT Press,2025,2025-01-01,P-NP Instance Decomposition Based on the Fourier Transform for Solving the Linear Ordering Problem,Xabier Benavides; Leticia Hernando; Josu Ceberio; Jose Antonio Lozano,33,3,10.1162/evco_a_00368,https://doi.org/10.1162/evco_a_00368,article,Evolutionary Computation,https://openalex.org/W4407764554
Evolutionary Computation,MIT Press,2025,2025-01-17,Quality Diversity under Sparse Interaction and Sparse Reward: Application to Grasping in Robotics,J.B. Huber; François Hélénon; Miranda Coninx; Faïz Benamar; Stéphane Doncieux,34,3,10.1162/evco_a_00363,https://doi.org/10.1162/evco_a_00363,article,Evolutionary Computation,https://openalex.org/W4403116266
Evolutionary Computation,MIT Press,2025,2025-01-17,Runtime Analysis of Typical Decomposition Approaches in MOEA/D for Many-Objective Optimization Problems,Zhengxin Huang; Yuren Zhou; Zefeng Chen; Qianlong Dang,34,3,10.1162/evco_a_00364,https://doi.org/10.1162/evco_a_00364,article,Evolutionary Computation,https://openalex.org/W4406518216
Evolutionary Computation,MIT Press,2025,2025-01-17,Survey of Interactive Evolutionary Decomposition-Based Multiobjective Optimization Methods,Giomara Lárraga; Kaisa Miettinen,34,3,10.1162/evco_a_00366,https://doi.org/10.1162/evco_a_00366,article,Evolutionary Computation,https://openalex.org/W4406519011
Evolutionary Computation,MIT Press,2025,2025-01-17,The Cost of Randomness in Evolutionary Algorithms: Crossover Can Save Random Bits,Carlo Kneissl; Dirk Sudholt,34,1,10.1162/evco_a_00365,https://doi.org/10.1162/evco_a_00365,article,Evolutionary Computation,https://openalex.org/W4406516994
Evolutionary Computation,MIT Press,2025,2025-03-07,Beyond Landscape Analysis: DynamoRep Features for Capturing Algorithm-Problem Interaction in Single-Objective Continuous Optimization,Gjorgjina Cenikj; Gašper Petelin; Carola Doerr; Peter Korošec; Tome Eftimov,34,3,10.1162/evco_a_00370,https://doi.org/10.1162/evco_a_00370,article,Evolutionary Computation,https://openalex.org/W4408231870
Evolutionary Computation,MIT Press,2025,2025-03-17,MO-SMAC: Multiobjective Sequential Model-Based Algorithm Configuration,Jeroen Rook; Carolin Benjamins; Jakob Bossek; Heike Trautmann; Holger H. Hoos; Marius Lindauer,34,1,10.1162/evco_a_00371,https://doi.org/10.1162/evco_a_00371,article,Evolutionary Computation,https://openalex.org/W4408508783
Evolutionary Computation,MIT Press,2025,2025-03-17,Solving Many-Objective Optimization Problems Based on PF Shape Classification and Vector Angle Selection,Yuting Wu; Fangzhen Ge; Dong‐bao Chen; Лей Ши,34,1,10.1162/evco_a_00373,https://doi.org/10.1162/evco_a_00373,article,Evolutionary Computation,https://openalex.org/W4408508750
Evolutionary Computation,MIT Press,2025,2025-04-29,BlindSMOTE: Synthetic Minority Oversampling Based Only on Evolutionary Computation,Nicolás E. Garcí-Pedrajas; José Manuel Cuevas-Muñoz; Aida de Haro-García,34,1,10.1162/evco_a_00374,https://doi.org/10.1162/evco_a_00374,article,Evolutionary Computation,https://openalex.org/W4409918268
Evolutionary Computation,MIT Press,2025,2025-05-14,Analysis and Simplification of the Winner of the CEC 2022 Optimization Competition on Single Objective Bound Constrained Search,Rafał Biedrzycki,34,2,10.1162/evco.a.27,https://doi.org/10.1162/evco.a.27,article,Evolutionary Computation,https://openalex.org/W4410356519
Evolutionary Computation,MIT Press,2025,2025-05-14,Genetic Programming with Tabu List for Dynamic Flexible Job Shop Scheduling,Fangfang Zhang; Mazhar Ansari Ardeh; Yi Mei; Mengjie Zhang,34,1,10.1162/evco.a.26,https://doi.org/10.1162/evco.a.26,article,Evolutionary Computation,https://openalex.org/W4410356518
Evolutionary Computation,MIT Press,2025,2025-07-30,Illuminating the Diversity-Fitness Trade-Off in Black-Box Optimization,Maria Laura Santoni; Elena Raponi; Aneta Neumann; Frank Neumann; Mike Preuß; Carola Doerr,34,2,10.1162/evco.a.28,https://doi.org/10.1162/evco.a.28,article,Evolutionary Computation,https://openalex.org/W4412743362
Evolutionary Computation,MIT Press,2025,2025-09-10,All-Quadratic Mixed-Integer Problems: A Study on Evolution Strategies and Mathematical Programming,Guy Zepko; Ofer M. Shir,34,2,10.1162/evco.a.29,https://doi.org/10.1162/evco.a.29,article,Evolutionary Computation,https://openalex.org/W4414109068
Evolutionary Computation,MIT Press,2025,2025-10-09,R2 v2: The Pareto-Compliant R2 Indicator for Better Benchmarking in Bi-Objective Optimization,Lennart Schäpermeier; Pascal Kerschke,,,10.1162/evco.a.366,https://doi.org/10.1162/evco.a.366,article,Evolutionary Computation,https://openalex.org/W4415007224
Evolutionary Computation,MIT Press,2025,2025-10-31,Exploring Automated Algorithm Design Synergizing Large Language Models and Evolutionary Algorithms: Survey and Insights,He Long Yu; Jing Liu,34,2,10.1162/evco.a.370,https://doi.org/10.1162/evco.a.370,article,Evolutionary Computation,https://openalex.org/W4415749035
