journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Artificial Life,MIT Press,2025,2025-01-01,A Word From the Editors,Alan Dorin; Susan Stepney,31,3,10.1162/artl.e.11,https://doi.org/10.1162/artl.e.11,editorial,Artificial Life,https://openalex.org/W4414035537
Artificial Life,MIT Press,2025,2025-01-01,Automating the Search for Artificial Life With Foundation Models,Akarsh Kumar; Chris Xiaoxuan Lu; Louis Kirsch; Yujin Tang; Kenneth Owen Stanley; Phillip Isola; David Ha,31,3,10.1162/artl.a.8,https://doi.org/10.1162/artl.a.8,article,Artificial Life,https://openalex.org/W4414035745
Artificial Life,MIT Press,2025,2025-01-01,Behaviour Diversity in a Walking and Climbing Centipede-Like Virtual Creature,Emma Stensby Norstein; Kotaro Yasui; Takeshi Kano; Akio Ishiguro; Kyrre Glette,31,3,10.1162/artl_a_00476,https://doi.org/10.1162/artl_a_00476,article,Artificial Life,https://openalex.org/W4412531688
Artificial Life,MIT Press,2025,2025-01-01,Benefit Game 2.0: Alien Seaweed Swarms—Exploring the Interplay of Human Activity and Environmental Sustainability,Dan-Lu Fei; Ziwei Wu; Kang Zhang,31,3,10.1162/artl_a_00468,https://doi.org/10.1162/artl_a_00468,article,Artificial Life,https://openalex.org/W4408517924
Artificial Life,MIT Press,2025,2025-01-01,Camouflage From Coevolution of Predator and Prey,Craig W. Reynolds,31,2,10.1162/artl_a_00473,https://doi.org/10.1162/artl_a_00473,article,Artificial Life,https://openalex.org/W4409924655
Artificial Life,MIT Press,2025,2025-01-01,Cognitive Distinctions as a Language for Cognitive Science: Comparing Methods of Description in a Model of Referential Communication,Thomas M. Gaul; Eduardo J. Izquierdo,31,3,10.1162/artl_a_00475,https://doi.org/10.1162/artl_a_00475,article,Artificial Life,https://openalex.org/W4412531948
Artificial Life,MIT Press,2025,2025-01-01,Continuous Evolution in the NK Treadmill Model,Priyanka Mehra; Arend Hintze,31,3,10.1162/artl_a_00467,https://doi.org/10.1162/artl_a_00467,article,Artificial Life,https://openalex.org/W4407695000
Artificial Life,MIT Press,2025,2025-01-01,"Ecology, Spatial Structure, and Selection Pressure Induce Strong Signatures in Phylogenetic Structure",Matthew Andres Moreno; Santiago Rodriguez-Papa; Emily L. Dolson,31,2,10.1162/artl_a_00470,https://doi.org/10.1162/artl_a_00470,article,Artificial Life,https://openalex.org/W4409924281
Artificial Life,MIT Press,2025,2025-01-01,Editorial Introduction to the 2023 Conference on Artificial Life Special Issue,Hiroyuki Iizuka; Keisuke Suzuki; Reiji Suzuki; Eduardo J. Izquierdo; Manuel Baltieri,31,2,10.1162/artl_e_00474,https://doi.org/10.1162/artl_e_00474,editorial,Artificial Life,https://openalex.org/W4409924661
Artificial Life,MIT Press,2025,2025-01-01,Flow-Lenia: Emergent Evolutionary Dynamics in Mass Conservative Continuous Cellular Automata,Erwan Plantec; Gautier Hamon; Mayalen Etcheverry; Bert Wang-Chak Chan; Pierre‐Yves Oudeyer; Clément Moulin-Frier,31,2,10.1162/artl_a_00471,https://doi.org/10.1162/artl_a_00471,article,Artificial Life,https://openalex.org/W4409924315
Artificial Life,MIT Press,2025,2025-01-01,System 0/1/2/3: Quad-Process Theory for Multitimescale Embodied Collective Cognitive Systems,Tadahiro Taniguchi; Yasushi Hirai; Masahiro Suzuki; Shingo Murata; Takato Horii; Kazutoshi Tanaka,31,4,10.1162/artl.a.12,https://doi.org/10.1162/artl.a.12,article,Artificial Life,https://openalex.org/W4417498599
Artificial Life,MIT Press,2025,2025-01-01,"To Engineer an Angel, First Validate the Devil: Analyzing the “Could Be” in Artificial Life’s “Life as-It-Could-Be”",Alan Dorin; Susan Stepney,31,4,10.1162/artl.e.452,https://doi.org/10.1162/artl.e.452,article,Artificial Life,https://openalex.org/W4417464217
Artificial Life,MIT Press,2025,2025-01-01,Untapped Potential in Self-Optimization of Hopfield Networks: The Creativity of Unsupervised Learning,Natalya Weber; Christian Guckelsberger; Tom Froese,31,4,10.1162/artl.a.10,https://doi.org/10.1162/artl.a.10,article,Artificial Life,https://openalex.org/W4415377105
Artificial Life,MIT Press,2025,2025-01-01,Vants and Turmites,Greg Turk,31,4,10.1162/artl.a.9,https://doi.org/10.1162/artl.a.9,article,Artificial Life,https://openalex.org/W4415403734
Artificial Life,MIT Press,2025,2025-04-28,Of Typewriters and PCs: How the Complication of Computers Limits Us and What to Do About It,Federico Pigozzi,31,2,10.1162/artl_a_00472,https://doi.org/10.1162/artl_a_00472,article,Artificial Life,https://openalex.org/W4409924311
Artificial Life,MIT Press,2026,2026-01-01,A Word from the Editors,Alan Dorin; Susan Stepney,32,2,10.1162/artl.e.484,https://doi.org/10.1162/artl.e.484,editorial,Artificial Life,https://openalex.org/W7204146115
Artificial Life,MIT Press,2026,2026-01-01,An Area Exploration Algorithm With Swarm Robots Using Cellular Automata Based on Multi-information Superposition,Qianwen Xia; Jishuo Wang; Weifeng Yuan,32,2,10.1162/artl.a.458,https://doi.org/10.1162/artl.a.458,article,Artificial Life,https://openalex.org/W7204144786
Artificial Life,MIT Press,2026,2026-01-01,An Open and Accessible Platform for Evolving Virtual Creatures,Michael Finn; Thomas Bräunl,32,1,10.1162/artl.a.457,https://doi.org/10.1162/artl.a.457,article,Artificial Life,https://openalex.org/W7171552281
Artificial Life,MIT Press,2026,2026-01-01,Book Review: Exploring the Boundaries of Life-as-It-Is,Susan Stepney,32,2,10.1162/artl.a.453,https://doi.org/10.1162/artl.a.453,book-review,Artificial Life,https://openalex.org/W7127442478
Artificial Life,MIT Press,2026,2026-01-01,"Communication, Embodiment, and Coordination in an El Farol Bar-Inspired LLM Society",Ryosuke Takata; Atsushi Masumori; Takashi Ikegami,32,2,10.1162/artl.a.459,https://doi.org/10.1162/artl.a.459,article,Artificial Life,https://openalex.org/W7204095885
Artificial Life,MIT Press,2026,2026-01-01,Discovering Partial Differential Equations With Neural Cellular Automata,Ehsan Pajouheshgar; Yitao Xu; Sabine E. Susstrunk,32,1,10.1162/artl.a.454,https://doi.org/10.1162/artl.a.454,article,Artificial Life,https://openalex.org/W7150711889
Artificial Life,MIT Press,2026,2026-01-01,Editorial Introduction to the 2024 Conference on Artificial Life Special Issue,Andrés Faíña; Eric Medvet; Rodrigo Moreno; Giorgia Nadizar,32,1,10.1162/artl.e.463,https://doi.org/10.1162/artl.e.463,editorial,Artificial Life,https://openalex.org/W7171570019
Artificial Life,MIT Press,2026,2026-01-01,Financial Market as a Self-Organized Ecosystem: Simulation via Learning with Heterogeneous Preferences,Ryuji Hashimoto; Ryosuke Takata; Masahiro Suzuki; Yuki Tanaka; Kiyoshi Izumi,32,2,10.1162/artl.a.461,https://doi.org/10.1162/artl.a.461,article,Artificial Life,https://openalex.org/W7156598980
Artificial Life,MIT Press,2026,2026-01-01,How Reward and the Elimination of Dependence Thereon Lead Evolution to High-Bandwidth Learning,Solvi Arnold; Reiji Suzuki; Takaya Arita,32,1,10.1162/artl.a.464,https://doi.org/10.1162/artl.a.464,article,Artificial Life,https://openalex.org/W7171545276
Artificial Life,MIT Press,2026,2026-01-01,If Turing Played Piano With an Artificial Partner,Dobromir G. Dotov; Dante Camarena; Zack Harris; Joanna Spyra; Pietro Gagliano; Laurel J. Trainor,32,2,10.1162/artl.a.455,https://doi.org/10.1162/artl.a.455,article,Artificial Life,https://openalex.org/W4391835313
Artificial Life,MIT Press,2026,2026-01-01,L-Systems Viruses and Symmetry-Step Procedures for Enhancing Fractal Computer Graphics,Sancho Salcedo‐Sanz; Pablo Álvarez-Couso; Luis Castelo-Sardina; Jorge Pérez-Aracil,32,2,10.1162/artl.a.462,https://doi.org/10.1162/artl.a.462,article,Artificial Life,https://openalex.org/W7204150963
Artificial Life,MIT Press,2026,2026-01-01,Obituary: Inman Harvey (1948–2026),Ezequiel Alejandro Di Paolo; Phil Husbands,32,2,10.1162/artl.a.473,https://doi.org/10.1162/artl.a.473,other,Artificial Life,https://openalex.org/W7203453997
Artificial Life,MIT Press,2026,2026-01-01,Optimising Weakly Connected Chemical Oscillators in a Hybrid Digital–Chemical Platform via Generative AI Surrogate Modelling,Juan Manuel Parrilla Gutiérrez; Abhishek Sharma; Soichiro Tsuda; Leroy Cronin,32,1,10.1162/artl.a.460,https://doi.org/10.1162/artl.a.460,article,Artificial Life,https://openalex.org/W7171515205
Artificial Life,MIT Press,2026,2026-01-01,"Sniffing, Physiology, and Search: Odor Navigation in Embodied Neural Networks",Gabriel J. Severino; Ann‐Sophie Barwich,32,1,10.1162/artl.a.456,https://doi.org/10.1162/artl.a.456,article,Artificial Life,https://openalex.org/W7171524987
Artificial Life,MIT Press,2026,2026-08-12,Symbiotic Alignment via Collective Predictive Coding: A Theoretical Framework for Co-Creative Human–AI Ecosystems,Tadahiro Taniguchi; Yusuke Hayashi; Momoha Hirose; Mizuki Oka; Ken Suzuki; Olaf Witkowski; Audrey Tang,,,10.1162/artl.a.475,https://doi.org/10.1162/artl.a.475,article,Artificial Life,https://openalex.org/W7203493404
Artificial Life,MIT Press,2026,2026-08-12,Temporal Membranes: Delay-Induced Self-Retention Without Clocks or Memory Substrates,Nobuchika Yamaki; Tenna Churiki,,,10.1162/artl.a.474,https://doi.org/10.1162/artl.a.474,article,Artificial Life,https://openalex.org/W7203460262
Artificial Life,MIT Press,2026,2026-09-04,Growing Echo State Networks through Graph-Based Morphogenesis with Developmental Graph Cellular Automata,Matias Barandiaran; James Stovold,,,10.1162/artl.a.486,https://doi.org/10.1162/artl.a.486,article,Artificial Life,https://openalex.org/W7212159350
Artificial Life,MIT Press,2026,2026-09-04,Numerical Examples of Evolutionary Processes [English Translation of “ Esempi Numerici di Processi di Evoluzione ” (1954)],Nils Aall Barricelli; Giulia Bianchi; Tim Taylor,,,10.1162/artl.a.485,https://doi.org/10.1162/artl.a.485,article,Artificial Life,https://openalex.org/W7212136582
Artificial Life,MIT Press,2026,2026-09-14,A Consideration of the Zoetic Engineering Grand Challenge,Andrew Walter,,,10.1162/artl.a.490,https://doi.org/10.1162/artl.a.490,article,Artificial Life,https://openalex.org/W7212833776
