journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Bibliography,,,,10.1075/nlp.16.refs,https://doi.org/10.1075/nlp.16.refs,paratext,Natural language processing,https://openalex.org/W4414058607
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Data and analysis,,,,10.1075/nlp.16.c4,https://doi.org/10.1075/nlp.16.c4,book-chapter,Natural language processing,https://openalex.org/W4414057848
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Dedication,,,,10.1075/nlp.16.ded,https://doi.org/10.1075/nlp.16.ded,paratext,Natural language processing,https://openalex.org/W4414080064
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Designing experiments,,,,10.1075/nlp.16.c3,https://doi.org/10.1075/nlp.16.c3,book-chapter,Natural language processing,https://openalex.org/W4414057860
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Empirical perspectives,,,,10.1075/nlp.16.c6,https://doi.org/10.1075/nlp.16.c6,book-chapter,Natural language processing,https://openalex.org/W4414058600
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Eye movements in reading,,,,10.1075/nlp.16.c2,https://doi.org/10.1075/nlp.16.c2,book-chapter,Natural language processing,https://openalex.org/W4414080044
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Eyes on Text,Cengiz Acartürk,,,10.1075/nlp.16,https://doi.org/10.1075/nlp.16,book,Natural language processing,https://openalex.org/W4414058630
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Index,,,,10.1075/nlp.16.index,https://doi.org/10.1075/nlp.16.index,paratext,Natural language processing,https://openalex.org/W4414058434
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Introduction,,,,10.1075/nlp.16.c1,https://doi.org/10.1075/nlp.16.c1,book-chapter,Natural language processing,https://openalex.org/W4414058612
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Modeling perspectives,,,,10.1075/nlp.16.c5,https://doi.org/10.1075/nlp.16.c5,book-chapter,Natural language processing,https://openalex.org/W4414058631
Natural Language Processing,Cambridge University Press,2025,2025-09-08,NLP applications,,,,10.1075/nlp.16.c9,https://doi.org/10.1075/nlp.16.c9,book-chapter,Natural language processing,https://openalex.org/W4414058402
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Preface,,,,10.1075/nlp.16.pre,https://doi.org/10.1075/nlp.16.pre,paratext,Natural language processing,https://openalex.org/W4414058394
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Prelim pages,,,,10.1075/nlp.16.prelim,https://doi.org/10.1075/nlp.16.prelim,book-chapter,Natural language processing,https://openalex.org/W4414058667
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Reader-oriented perspectives,,,,10.1075/nlp.16.c7,https://doi.org/10.1075/nlp.16.c7,book-chapter,Natural language processing,https://openalex.org/W4414058710
Natural Language Processing,Cambridge University Press,2025,2025-09-08,Table of contents,,,,10.1075/nlp.16.toc,https://doi.org/10.1075/nlp.16.toc,paratext,Natural language processing,https://openalex.org/W4414058578
Natural Language Processing,Cambridge University Press,2025,2025-09-08,The Joseph’s coat,,,,10.1075/nlp.16.c8,https://doi.org/10.1075/nlp.16.c8,book-chapter,Natural language processing,https://openalex.org/W4414058474
