journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-02,Reusability report: Deep learning-based analysis of images and spectroscopy data with AtomAI,Pragalbh Vashishtha; Hitesh Gupta Kattamuri; Nikhil Thawari; Murugaiyan Amirthalingam; Rohit Batra,7,1,10.1038/s42256-024-00958-9,https://doi.org/10.1038/s42256-024-00958-9,article,Nature Machine Intelligence,https://openalex.org/W4405995627
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-06,Towards highly sensitive deep learning-based end-to-end database search for tandem mass spectrometry,Yonghan Yu; Ming Li,7,1,10.1038/s42256-024-00960-1,https://doi.org/10.1038/s42256-024-00960-1,article,Nature Machine Intelligence,https://openalex.org/W4406104136
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-13,Exploring scalable medical image encoders beyond text supervision,Fernando Pérez‐García; Harshita Sharma; Sam Bond-Taylor; Kenza Bouzid; Valentina Salvatelli; Maximilian Ilse; Shruthi Bannur; Daniel C. Castro; Anton Schwaighofer; Matthew P. Lungren; Maria Teodora Wetscherek; Noel Codella; Stephanie L. Hyland; Javier Alvarez-Valle; Ozan Oktay,7,1,10.1038/s42256-024-00965-w,https://doi.org/10.1038/s42256-024-00965-w,article,Nature Machine Intelligence,https://openalex.org/W4406353025
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-13,Investigating machine moral judgement through the Delphi experiment,Liwei Jiang; Jena D. Hwang; Chandra Bhagavatula; Ronan Joseph Le Bras; Jenny T. Liang; Sydney Levine; Jesse Dodge; Keisuke Sakaguchi; Maxwell Forbes; Jack Hessel; Jon Borchardt; Taylor Sorensen; Saadia Gabriel; Yulia Tsvetkov; Oren Etzioni; Maarten Sap; Regina A. Rini; Yejin Choi,7,1,10.1038/s42256-024-00969-6,https://doi.org/10.1038/s42256-024-00969-6,article,Nature Machine Intelligence,https://openalex.org/W4406334158
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-13,Modern maxims for an AI oracle,Molly J. Crockett,7,1,10.1038/s42256-024-00970-z,https://doi.org/10.1038/s42256-024-00970-z,article,Nature Machine Intelligence,https://openalex.org/W4406331519
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-15,Battery lifetime prediction across diverse ageing conditions with inter-cell deep learning,Han Zhang; Yuqi Li; Shun Zheng; Ziheng Lu; Xiaofan Gui; Wei Xu; Jiang Bian,7,2,10.1038/s42256-024-00972-x,https://doi.org/10.1038/s42256-024-00972-x,article,Nature Machine Intelligence,https://openalex.org/W4406406714
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-15,Causal chambers as a real-world physical testbed for AI methodology,Juan L. Gamella; Jonas Peters; Peter Bühlmann,7,1,10.1038/s42256-024-00964-x,https://doi.org/10.1038/s42256-024-00964-x,article,Nature Machine Intelligence,https://openalex.org/W4406401114
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-15,The design space of E(3)-equivariant atom-centred interatomic potentials,Ilyes Batatia; Simon Batzner; Dávid Péter Kovács; Albert Musaelian; Gregor N. C. Simm; Ralf Drautz; Christoph Ortner; Boris Kozinsky; Gábor Cśanyi,7,1,10.1038/s42256-024-00956-x,https://doi.org/10.1038/s42256-024-00956-x,article,Nature Machine Intelligence,https://openalex.org/W4406405186
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-15,Visual cognition in multimodal large language models,Luca M. Schulze Buschoff; Elif Akata; Matthias Bethge; Eric R. Schulz,7,1,10.1038/s42256-024-00963-y,https://doi.org/10.1038/s42256-024-00963-y,article,Nature Machine Intelligence,https://openalex.org/W4406400870
Nature Machine Intelligence,Nature Portfolio,2025,2025-01-16,A machine learning approach to leveraging electronic health records for enhanced omics analysis,Samson J. Mataraso; Camilo A. Espinosa; David C. Seong; S. Momsen Reincke; Eloïse Berson; Jonathan D. Reiss; Yeasul Kim; Marc Ghanem; Chi-Hung Shu; Tomin K. James; Yuqi Tan; Sayane Shome; Ina A. Stelzer; Dorien Feyaerts; Ronald J. Wong; Gary M. Shaw; Martin S. Angst; Brice L Gaudilliere; David K. Stevenson; Nima Aghaeepour,7,2,10.1038/s42256-024-00974-9,https://doi.org/10.1038/s42256-024-00974-9,article,Nature Machine Intelligence,https://openalex.org/W4406472643
