journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Science Robotics,AAAS,2025,2025-01-15,"Acrobatics at the insect scale: A durable, precise, and agile micro–aerial robot",Suhan Kim; Yi‐Hsuan Hsiao; Zhijian Ren; Jasmine L. Huang; Yufeng Chen,10,98,10.1126/scirobotics.adp4256,https://doi.org/10.1126/scirobotics.adp4256,article,Science Robotics,https://openalex.org/W4406387144
Science Robotics,AAAS,2025,2025-01-15,Merging motoneuron and postural synergies in prosthetic hand design for natural bionic interfacing,Patricia Capsi‐Morales; Deren Y. Barsakcioglu; Manuel G. Catalano; Giorgio Grioli; Antonio Bicchi; Dario Farina,10,98,10.1126/scirobotics.ado9509,https://doi.org/10.1126/scirobotics.ado9509,article,Science Robotics,https://openalex.org/W4406387148
Science Robotics,AAAS,2025,2025-01-15,Surmounting the ceiling effect of motor expertise by novel sensory experience with a hand exoskeleton,Shinichi Furuya; Takanori Oku; Hayato Nishioka; Masato Hirano,10,98,10.1126/scirobotics.adn3802,https://doi.org/10.1126/scirobotics.adn3802,article,Science Robotics,https://openalex.org/W4406387080
Science Robotics,AAAS,2025,2025-01-22,A neuromechanics solution for adjustable robot compliance and accuracy,Ignacio Abadía; Alice Bruel; Grégoire Courtine; Auke Jan Ijspeert; Eduardo Ros; Niceto R. Luque,10,98,10.1126/scirobotics.adp2356,https://doi.org/10.1126/scirobotics.adp2356,article,Science Robotics,https://openalex.org/W4406728007
Science Robotics,AAAS,2025,2025-01-22,Development of compositionality through interactive learning of language and action of robots,Prasanna Vijayaraghavan; Jeffrey Frederic Queißer; Sergio Oscar Verduzco-Flores; Jun Tani,10,98,10.1126/scirobotics.adp0751,https://doi.org/10.1126/scirobotics.adp0751,article,Science Robotics,https://openalex.org/W4406728015
Science Robotics,AAAS,2025,2025-01-22,Humanoid robot learning of complex behaviors with LLMs,Amos Matsiko,10,98,10.1126/scirobotics.adv4627,https://doi.org/10.1126/scirobotics.adv4627,article,Science Robotics,https://openalex.org/W4406728757
Science Robotics,AAAS,2025,2025-01-22,Would a robot ever get angry enough to attack a person?,Robin Roberson Murphy,10,98,10.1126/scirobotics.adv3128,https://doi.org/10.1126/scirobotics.adv3128,article,Science Robotics,https://openalex.org/W4406728051
Science Robotics,AAAS,2025,2025-01-29,A hyperelastic torque-reversal mechanism for soft joints with compression-responsive transient bistability,Woo-Young Choi; Woongbae Kim; Jin-Sung Choi; Sung Yol Yu; Seunguk Moon; Yong-Jai Park; Kyu‐Jin Cho,10,98,10.1126/scirobotics.ado7696,https://doi.org/10.1126/scirobotics.ado7696,article,Science Robotics,https://openalex.org/W4406947935
Science Robotics,AAAS,2025,2025-01-29,"Light-emitting, self-healing robotic fibers",Melisa Yashinski,10,98,10.1126/scirobotics.adv7933,https://doi.org/10.1126/scirobotics.adv7933,article,Science Robotics,https://openalex.org/W4406947930
Science Robotics,AAAS,2025,2025-01-29,Safety-assured high-speed navigation for MAVs,Yunfan Ren; Fangcheng Zhu; Guozheng Lu; Yixi Cai; Longji Yin; Fanze Kong; Jiarong Lin; Nan Chen; Fu Zhang,10,98,10.1126/scirobotics.ado6187,https://doi.org/10.1126/scirobotics.ado6187,article,Science Robotics,https://openalex.org/W4406947749
Science Robotics,AAAS,2025,2025-01-29,The case against machine vision for the control of wearable robotics: Challenges for commercial adoption,Keya Ghonasgi; Kyle J. Kaveny; D. Langlois; Leifur D. Sigurðarson; Tim A. Swift; Jason W. Wheeler; Aaron J. Young,10,98,10.1126/scirobotics.adp5005,https://doi.org/10.1126/scirobotics.adp5005,article,Science Robotics,https://openalex.org/W4406947960
Science Robotics,AAAS,2025,2025-02-12,Biohybrid hand actuated by multiple human muscle tissues,Xinzhu Ren; Yuya Morimoto; Shoji Takeuchi,10,99,10.1126/scirobotics.adr5512,https://doi.org/10.1126/scirobotics.adr5512,article,Science Robotics,https://openalex.org/W4407394565
Science Robotics,AAAS,2025,2025-02-12,Bioinspired design of a tissue-engineered ray with machine learning,John F. Zimmerman; Daniel J. Drennan; James Ikeda; Qianru Jin; Herdeline Ann M. Ardoña; Sean L. Kim; Ryoma Ishii; Kevin Kit Parker,10,99,10.1126/scirobotics.adr6472,https://doi.org/10.1126/scirobotics.adr6472,article,Science Robotics,https://openalex.org/W4407394347
Science Robotics,AAAS,2025,2025-02-19,A democratized bimodal model of research for soft robotics: Integrating slow and fast science,Nana Obayashi; David Howard; Kyle L. Walker; Jonas Jørgensen; Maks Gepner; Dan Sameoto; Adam A. Stokes; Fumiya Iida; Josie Hughes,10,99,10.1126/scirobotics.adr2708,https://doi.org/10.1126/scirobotics.adr2708,article,Science Robotics,https://openalex.org/W4407736498
Science Robotics,AAAS,2025,2025-02-19,Head-mounted surgical robots are an enabling technology for subretinal injections,Nicholas R. Posselli; Eileen S. Hwang; Zachary J. Olson; Aaron Nagiel; Paul S. Bernstein; Jake J. Abbott,10,99,10.1126/scirobotics.adp7700,https://doi.org/10.1126/scirobotics.adp7700,article,Science Robotics,https://openalex.org/W4407736872
Science Robotics,AAAS,2025,2025-02-19,Highly agile flat swimming robot,Florian Hartmann; Mrudhula Baskaran; G Raynaud; Mehdi Benbedda; Karen Mülleners; Herbert R. Shea,10,99,10.1126/scirobotics.adr0721,https://doi.org/10.1126/scirobotics.adr0721,article,Science Robotics,https://openalex.org/W4407736517
Science Robotics,AAAS,2025,2025-02-19,It is hard to be a robot in the wild,Robin Roberson Murphy,10,99,10.1126/scirobotics.adw1608,https://doi.org/10.1126/scirobotics.adw1608,article,Science Robotics,https://openalex.org/W4407736510
Science Robotics,AAAS,2025,2025-02-19,Restoration of tactile sensation in bionic hands,Amos Matsiko,10,99,10.1126/scirobotics.adw3630,https://doi.org/10.1126/scirobotics.adw3630,article,Science Robotics,https://openalex.org/W4407736882
Science Robotics,AAAS,2025,2025-02-26,A springtail-inspired multimodal walking-jumping microrobot,Francisco Ramirez Serrano; Nak-seung Patrick Hyun; Emma Steinhardt; Pierre-Louis Lechère; Robert J. Wood,10,99,10.1126/scirobotics.adp7854,https://doi.org/10.1126/scirobotics.adp7854,article,Science Robotics,https://openalex.org/W4407948885
Science Robotics,AAAS,2025,2025-02-26,Robotic locomotion through active and passive morphological adaptation in extreme outdoor environments,Max Polzin; Qinghua Guan; Josie Hughes,10,99,10.1126/scirobotics.adp6419,https://doi.org/10.1126/scirobotics.adp6419,article,Science Robotics,https://openalex.org/W4407948815
Science Robotics,AAAS,2025,2025-02-26,Telesurgery and the importance of context,Florian Heemeyer; Quentin Boehler; Min‐Soo Kim; Bernard R. Bendok; Evelyn L. Turcotte; H. Hunt Batjer; Ryan D. Madder; Vítor Mendes Pereira; Bradley J. Nelson,10,99,10.1126/scirobotics.adq0192,https://doi.org/10.1126/scirobotics.adq0192,article,Science Robotics,https://openalex.org/W4407948542
