journal,publisher_family,status,source_ids,source_names,issns,count,notes
ACM Computing Surveys (CSUR),ACM,OK,S157921468,S157921468:ACM Computing Surveys,0360-0300;1557-7341,642,
ACM Journal on Responsible Computing (JRC),ACM,OK,S4387289179,S4387289179:ACM Journal on Responsible Computing,2832-0565,37,
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM,OK,S16632050,S16632050:ACM Transactions on Autonomous and Adaptive Systems,1556-4665;1556-4703,101,
ACM Transactions on Cyber-Physical Systems (TCPS),ACM,OK,S2506189754,S2506189754:ACM Transactions on Cyber-Physical Systems,2378-962X;2378-9638,106,
ACM Transactions on Evolutionary Learning and Optimization (TELO),ACM,OK,S4210221532,S4210221532:ACM Transactions on Evolutionary Learning and Optimization,2688-299X;2688-3007,66,
ACM Transactions on Human-Robot Interaction (THRI),ACM,OK,S4210193251,S4210193251:ACM Transactions on Human-Robot Interaction,2573-9522,161,
ACM Transactions on Information Systems (TOIS),ACM,OK,S4394735545,S4394735545:ACM Transactions on Information Systems,1046-8188;1558-2868,293,
ACM Transactions on Intelligent Systems and Technology (TIST),ACM,OK,S2492086750,S2492086750:ACM Transactions on Intelligent Systems and Technology,2157-6904;2157-6912,306,
ACM Transactions on Interactive Intelligent Systems (TiiS),ACM,OK,S4210173818,S4210173818:ACM Transactions on Interactive Intelligent Systems,2160-6455;2160-6463,51,
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,OK,S41523882,S41523882:ACM Transactions on Knowledge Discovery from Data,1556-4681;1556-472X,257,
ACM Transactions on Probabilistic Machine Learning (TOPML),ACM,OK,S4404675036,S4404675036:ACM transactions on probabilistic machine learning.,2836-8924,23,
ACM Transactions on Recommender Systems (TORS),ACM,OK,S4387284325,S4387284325:ACM Transactions on Recommender Systems,2770-6699,120,
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,OK,S142627899,S142627899:ACM Transactions on Software Engineering and Methodology,1049-331X;1557-7392,744,
AI Open,Elsevier,OK,S4210194376,S4210194376:AI Open,2666-6510,37,
Applied Intelligence,Springer Nature,OK,S74726891,S74726891:Applied Intelligence,0924-669X;1573-7497,1334,
Applied Soft Computing,Elsevier,OK,S140556538,S140556538:Applied Soft Computing,1568-4946;1872-9681,3348,
Artificial Intelligence,Elsevier,OK,S196139623,S196139623:Artificial Intelligence,0004-3702;1872-7921,188,
Artificial Intelligence Review,Springer Nature,OK,S122814990,S122814990:Artificial Intelligence Review,0269-2821;1573-7462,646,
Artificial Life,MIT Press,OK,S2181302,S2181302:Artificial Life,1064-5462;1530-9185,34,
Autonomous Agents and Multi-Agent Systems,Springer Nature,OK,S5405189,S5405189:Autonomous Agents and Multi-Agent Systems,1387-2532;1573-7454,82,
Cognitive Systems Research,Elsevier,OK,S96254641,S96254641:Cognitive Systems Research,1389-0417;2214-4366,125,
Collective Intelligence,ACM/SAGE,OK,S4220651559,S4220651559:Collective Intelligence,2633-9137,20,
Computational Linguistics,MIT Press,OK,S155526855,S155526855:Computational Linguistics,0891-2017;1530-9312,75,
Data Mining and Knowledge Discovery,Springer Nature,OK,S121920818,S121920818:Data Mining and Knowledge Discovery,1384-5810;1573-756X,186,
Engineering Applications of Artificial Intelligence,Elsevier,OK,S900972176,S900972176:Engineering Applications of Artificial Intelligence,0952-1976;1873-6769,5511,
Evolutionary Computation,MIT Press,OK,S38677346,S38677346:Evolutionary Computation,1063-6560;1530-9304,37,
Expert Systems with Applications,Elsevier,OK,S13144211,S13144211:Expert Systems with Applications,0957-4174;1873-6793,7377,
Genetic Programming and Evolvable Machines,Springer Nature,OK,S47930974,S47930974:Genetic Programming and Evolvable Machines,1389-2576;1573-7632,40,
