SCORE=80	PATH=/Users/wesleyshu/openclaw/integrations/openclaw_youtube_ui	REASONS=package-lock.json,ui-like-path,launcher-files	LAUNCHERS=run_studio_ui.sh,run_ui.sh
SCORE=40	PATH=/Users/wesleyshu/openclaw/integrations/codex_ui	REASONS=ui-like-path,launcher-files	LAUNCHERS=run_openclaw_codex_ui.sh
SCORE=35	PATH=/Users/wesleyshu/openclaw/integrations/openclaw_youtube_ui/ui	REASONS=index.html,ui-like-path	LAUNCHERS=
SCORE=35	PATH=/Users/wesleyshu/openclaw/integrations/openclaw_youtube_ui/studio	REASONS=index.html,ui-like-path	LAUNCHERS=
SCORE=35	PATH=/Users/wesleyshu/openclaw/_ui_link_backups/20260314_094334/studio	REASONS=index.html,ui-like-path	LAUNCHERS=
SCORE=25	PATH=/Users/wesleyshu/openclaw	REASONS=launcher-files	LAUNCHERS=run_cmd_prepare.sh,run_openclaw_film.sh,run_openclaw_film_prompt.sh,run_openclaw_youtube_ui_bridge.sh,run_script_input_gui.sh,run_script_input_web.sh
SCORE=15	PATH=/Users/wesleyshu/openclaw/tools/ui_link_runtime	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/tools/openclaw_youtube_ui_bridge	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/tools/openclaw_youtube_runtime	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/tools/openclaw_ui_runtime	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/integrations/codex_ui/ui	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/integrations/codex_ui/studio	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/integrations/codex_ui/runtime/jobs	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/integrations/codex_ui/runtime	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/_ui_link_logs	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/_ui_link_backups/20260314_094334	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/_ui_link_backups/20260314_093720	REASONS=ui-like-path	LAUNCHERS=
SCORE=15	PATH=/Users/wesleyshu/openclaw/_ui_link_backups	REASONS=ui-like-path	LAUNCHERS=
